№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,формирование социальной стратификации,Нет,содержание,структурно-функциональный подход,мгновенные/постепенные,Аналоги
2,мобилизация классов,Условно,отношения,эмпирическая верификация,дискретные/континуальные,Аналоги
3,артикуляция интересов,Да,состояние,критическая теория,индивидуальные/коллективные,Аналоги
4,агрегация интересов,Нет,функция,поведенческий подход,эндогенные/экзогенные,Уникальный
5,формирование социальных движений,Условно,поведение,институционализм,институциональные/неформальные,Аналоги
6,коллективное действие,Да,нормы,культурный релятивизм,цикличные/каскадные,Аналоги
7,мобилизация протеста,Нет,институты,гегельянская диалектика,явные/латентные,Аналоги
8,репрессия протеста,Условно,дискурс,онтологический анализ,необходимые/возможные,Уникальный
9,мобилизация революции,Да,символы,герменевтика,мгновенные/постепенные,Аналоги
10,подавление революции,Нет,значения,прагматизм,дискретные/континуальные,Аналоги
11,формирование государства,Условно,пространство,феноменология,индивидуальные/коллективные,Аналоги
12,консолидация государства,Да,время/ритм,системный анализ,эндогенные/экзогенные,Уникальный
13,упадок государства,Нет,технология/инфраструктура,стохастическое моделирование,институциональные/неформальные,Аналоги
14,легитимация режима,Условно,тело/материя,рациональный выбор,цикличные/каскадные,Аналоги
15,делегитимация режима,Да,экономика/обмен,структурно-функциональный подход,явные/латентные,Аналоги
16,циркуляция элит,Нет,идентичность/границы,эмпирическая верификация,необходимые/возможные,Уникальный
17,воспроизводство элит,Условно,память/наследие,критическая теория,мгновенные/постепенные,Аналоги
18,мобилизация гражданского общества,Да,структура,поведенческий подход,дискретные/континуальные,Аналоги
19,формирование идентичностной политики,Нет,содержание,институционализм,индивидуальные/коллективные,Аналоги
20,эскалация группового конфликта,Условно,отношения,культурный релятивизм,эндогенные/экзогенные,Уникальный
21,разрешение группового конфликта,Да,состояние,гегельянская диалектика,институциональные/неформальные,Аналоги
22,обратная связь политики,Нет,функция,онтологический анализ,цикличные/каскадные,Аналоги
23,расширение социального государства,Условно,поведение,герменевтика,явные/латентные,Аналоги
24,сокращение социального государства,Да,нормы,прагматизм,необходимые/возможные,Уникальный
25,формирование сетей,Нет,институты,феноменология,мгновенные/постепенные,Аналоги
26,фрагментация сетей,Условно,дискурс,системный анализ,дискретные/континуальные,Аналоги
27,распределение патронажа,Да,символы,стохастическое моделирование,индивидуальные/коллективные,Аналоги
28,клиентелизм,Нет,значения,рациональный выбор,эндогенные/экзогенные,Уникальный
29,коррупционные сети,Условно,пространство,структурно-функциональный подход,институциональные/неформальные,Аналоги
30,построение доверия,Да,время/ритм,эмпирическая верификация,цикличные/каскадные,Аналоги
31,эрозия доверия,Нет,технология/инфраструктура,критическая теория,явные/латентные,Аналоги
32,формирование солидарности,Условно,тело/материя,поведенческий подход,необходимые/возможные,Уникальный
33,преодоление расколов,Да,экономика/обмен,институционализм,мгновенные/постепенные,Аналоги
34,создание электоральных выравниваний,Нет,идентичность/границы,культурный релятивизм,дискретные/континуальные,Аналоги
35,электоральная перестройка,Условно,память/наследие,гегельянская диалектика,индивидуальные/коллективные,Аналоги
36,изменение ценностей,Да,структура,онтологический анализ,эндогенные/экзогенные,Уникальный
37,поколенческое изменение,Нет,содержание,герменевтика,институциональные/неформальные,Аналоги
38,межпоколенческая передача,Условно,отношения,прагматизм,цикличные/каскадные,Аналоги
39,политика памяти,Да,состояние,феноменология,явные/латентные,Аналоги
40,воспроизводство неравенства,Нет,функция,системный анализ,необходимые/возможные,Уникальный
41,накопление социального капитала,Условно,поведение,стохастическое моделирование,мгновенные/постепенные,Аналоги
42,упадок социального капитала,Да,нормы,рациональный выбор,дискретные/континуальные,Аналоги
43,подавление активизма,Нет,институты,структурно-функциональный подход,индивидуальные/коллективные,Аналоги
44,диффузия активизма,Условно,дискурс,эмпирическая верификация,эндогенные/экзогенные,Уникальный
45,патримониализация,Да,символы,критическая теория,институциональные/неформальные,Аналоги
46,формализация отношений,Нет,значения,поведенческий подход,цикличные/каскадные,Аналоги
47,социальная секуритизация,Условно,пространство,институционализм,явные/латентные,Аналоги
48,социальная детерминация,Да,время/ритм,культурный релятивизм,необходимые/возможные,Уникальный
49,коллективная идентификация,Нет,технология/инфраструктура,гегельянская диалектика,мгновенные/постепенные,Аналоги
50,коллективная демобилизация,Условно,тело/материя,онтологический анализ,дискретные/континуальные,Аналоги
51,ценностная социализация,Да,экономика/обмен,герменевтика,индивидуальные/коллективные,Аналоги
52,политизация эмоций,Нет,идентичность/границы,прагматизм,эндогенные/экзогенные,Уникальный
