№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,формирование концепта,Нет,содержание,структурно-функциональный подход,мгновенные/постепенные,Аналоги
2,пересмотр понятия,Условно,отношения,эмпирическая верификация,дискретные/континуальные,Аналоги
3,нормативная оценка,Да,состояние,критическая теория,индивидуальные/коллективные,Аналоги
4,концептуальное уточнение,Нет,функция,поведенческий подход,эндогенные/экзогенные,Уникальный
5,нормативное аргументирование,Условно,поведение,институционализм,институциональные/неформальные,Аналоги
6,теоретическая критика,Да,нормы,культурный релятивизм,цикличные/каскадные,Аналоги
7,генеалогический анализ,Нет,институты,гегельянская диалектика,явные/латентные,Аналоги
8,идеационная синтеза,Условно,дискурс,онтологический анализ,необходимые/возможные,Уникальный
9,нормативное сравнение,Да,символы,герменевтика,мгновенные/постепенные,Аналоги
10,проблематизация,Нет,значения,прагматизм,дискретные/континуальные,Аналоги
11,утопическое проектирование,Условно,пространство,феноменология,индивидуальные/коллективные,Аналоги
12,концептуальное картирование,Да,время/ритм,системный анализ,эндогенные/экзогенные,Уникальный
13,нормативная деконструкция,Нет,технология/инфраструктура,стохастическое моделирование,институциональные/неформальные,Аналоги
14,нормативное обоснование,Условно,тело/материя,рациональный выбор,цикличные/каскадные,Аналоги
15,идеализация,Да,экономика/обмен,структурно-функциональный подход,явные/латентные,Аналоги
16,гипотетическое моделирование,Нет,идентичность/границы,эмпирическая верификация,необходимые/возможные,Уникальный
17,концептуальный перевод,Условно,память/наследие,критическая теория,мгновенные/постепенные,Аналоги
18,реинтерпретация,Да,структура,поведенческий подход,дискретные/континуальные,Аналоги
19,лексикализация,Нет,содержание,институционализм,индивидуальные/коллективные,Аналоги
20,классификация,Условно,отношения,культурный релятивизм,эндогенные/экзогенные,Уникальный
21,остранение,Да,состояние,гегельянская диалектика,институциональные/неформальные,Аналоги
22,нормативное уравновешивание,Нет,функция,онтологический анализ,цикличные/каскадные,Аналоги
23,взвешивание прав,Условно,поведение,герменевтика,явные/латентные,Аналоги
24,диалектическое рассуждение,Да,нормы,прагматизм,необходимые/возможные,Уникальный
25,аналогическое рассуждение,Нет,институты,феноменология,мгновенные/постепенные,Аналоги
26,нормативная дедукция,Условно,дискурс,системный анализ,дискретные/континуальные,Аналоги
27,нормативная индукция,Да,символы,стохастическое моделирование,индивидуальные/коллективные,Аналоги
28,нормативная абдукция,Нет,значения,рациональный выбор,эндогенные/экзогенные,Уникальный
29,деонтическое обоснование,Условно,пространство,структурно-функциональный подход,институциональные/неформальные,Аналоги
30,утилитарный расчет,Да,время/ритм,эмпирическая верификация,цикличные/каскадные,Аналоги
31,эгалитарное балансирование,Нет,технология/инфраструктура,критическая теория,явные/латентные,Аналоги
32,формулирование общественного договора,Условно,тело/материя,поведенческий подход,необходимые/возможные,Уникальный
33,консенсусирование,Да,экономика/обмен,институционализм,мгновенные/постепенные,Аналоги
34,артикуляция несогласия,Нет,идентичность/границы,культурный релятивизм,дискретные/континуальные,Аналоги
35,нормативное переосмысление,Условно,память/наследие,гегельянская диалектика,индивидуальные/коллективные,Аналоги
36,нормативное кодифицирование,Да,структура,онтологический анализ,эндогенные/экзогенные,Уникальный
37,парадигмальная трансформация,Нет,содержание,герменевтика,институциональные/неформальные,Аналоги
38,ценностная артикуляция,Условно,отношения,прагматизм,цикличные/каскадные,Аналоги
39,дискурсивная реконструкция,Да,состояние,феноменология,явные/латентные,Аналоги
40,утверждение принципа,Нет,функция,системный анализ,необходимые/возможные,Уникальный
41,моделирование справедливости,Условно,поведение,стохастическое моделирование,мгновенные/постепенные,Аналоги
42,нормативное ранжирование,Да,нормы,рациональный выбор,дискретные/континуальные,Аналоги
43,конституирование субъекта,Нет,институты,структурно-функциональный подход,индивидуальные/коллективные,Аналоги
44,декларация прав,Условно,дискурс,эмпирическая верификация,эндогенные/экзогенные,Уникальный
45,формирование идеологии,Да,символы,критическая теория,институциональные/неформальные,Аналоги
46,детерминация приоритета,Нет,значения,поведенческий подход,цикличные/каскадные,Аналоги
47,демаркация границ,Условно,пространство,институционализм,явные/латентные,Аналоги
48,рационализация нормы,Да,время/ритм,культурный релятивизм,необходимые/возможные,Уникальный
49,проблематизация исключения,Нет,технология/инфраструктура,гегельянская диалектика,мгновенные/постепенные,Аналоги
50,обобщение,Условно,тело/материя,онтологический анализ,дискретные/континуальные,Аналоги
51,спецификация,Да,экономика/обмен,герменевтика,индивидуальные/коллективные,Аналоги
52,компаративная экстраполяция,Нет,идентичность/границы,прагматизм,эндогенные/экзогенные,Уникальный
53,концептуальная конфигурация,Условно,память/наследие,феноменология,институциональные/неформальные,Аналоги
