№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,регистрация избирателей,Нет,содержание,структурно-функциональный подход,мгновенные/постепенные,Аналоги
2,идентификация избирателей,Условно,отношения,эмпирическая верификация,дискретные/континуальные,Аналоги
3,разработка бюллетеней,Да,состояние,критическая теория,индивидуальные/коллективные,Аналоги
4,печать бюллетеней,Нет,функция,поведенческий подход,эндогенные/экзогенные,Уникальный
5,распространение бюллетеней,Условно,поведение,институционализм,институциональные/неформальные,Аналоги
6,измерение явки,Да,нормы,культурный релятивизм,цикличные/каскадные,Аналоги
7,экзит-поллинг,Нет,институты,гегельянская диалектика,явные/латентные,Аналоги
8,предвыборные опросы,Условно,дискурс,онтологический анализ,необходимые/возможные,Уникальный
9,подсчет голосов,Да,символы,герменевтика,мгновенные/постепенные,Аналоги
10,сводная табуляция,Нет,значения,прагматизм,дискретные/континуальные,Аналоги
11,прогнозирование результатов,Условно,пространство,феноменология,индивидуальные/коллективные,Аналоги
12,распределение мандатов,Да,время/ритм,системный анализ,эндогенные/экзогенные,Уникальный
13,расчет колебаний,Нет,технология/инфраструктура,стохастическое моделирование,институциональные/неформальные,Аналоги
14,расчет долей голосов,Условно,тело/материя,рациональный выбор,цикличные/каскадные,Аналоги
15,моделирование явки,Да,экономика/обмен,структурно-функциональный подход,явные/латентные,Аналоги
16,опросы намерений,Нет,идентичность/границы,эмпирическая верификация,необходимые/возможные,Уникальный
17,отбор кандидатов,Условно,память/наследие,критическая теория,мгновенные/постепенные,Аналоги
18,праймериз,Да,структура,поведенческий подход,дискретные/континуальные,Аналоги
19,финансирование кампании,Нет,содержание,институционализм,индивидуальные/коллективные,Аналоги
20,формирование посланий,Условно,отношения,культурный релятивизм,эндогенные/экзогенные,Уникальный
21,анкетирование на местах,Да,состояние,гегельянская диалектика,институциональные/неформальные,Аналоги
22,обход домов,Нет,функция,онтологический анализ,цикличные/каскадные,Аналоги
23,цифровое микротаргетирование,Условно,поведение,герменевтика,явные/латентные,Аналоги
24,телефонные обзвоны,Да,нормы,прагматизм,необходимые/возможные,Уникальный
25,обработка почтовых бюллетеней,Нет,институты,феноменология,мгновенные/постепенные,Аналоги
26,подсчет голосов по почте,Условно,дискурс,системный анализ,дискретные/континуальные,Аналоги
27,рассмотрение временных бюллетеней,Да,символы,стохастическое моделирование,индивидуальные/коллективные,Аналоги
28,пересчет,Нет,значения,рациональный выбор,эндогенные/экзогенные,Уникальный
29,аудит выборов,Условно,пространство,структурно-функциональный подход,институциональные/неформальные,Аналоги
30,закрытие участков,Да,время/ритм,эмпирическая верификация,цикличные/каскадные,Аналоги
31,взвешивание экзит-полла,Нет,технология/инфраструктура,критическая теория,явные/латентные,Аналоги
32,расчет погрешности,Условно,тело/материя,поведенческий подход,необходимые/возможные,Уникальный
33,логистическая регрессия,Да,экономика/обмен,институционализм,мгновенные/постепенные,Аналоги
34,использование свингометра,Нет,идентичность/границы,культурный релятивизм,дискретные/континуальные,Аналоги
35,сравнение опросов,Условно,память/наследие,гегельянская диалектика,индивидуальные/коллективные,Аналоги
36,создание агрегатора,Да,структура,онтологический анализ,эндогенные/экзогенные,Уникальный
37,моделирование мандатов,Нет,содержание,герменевтика,институциональные/неформальные,Аналоги
38,демографическое взвешивание,Условно,отношения,прагматизм,цикличные/каскадные,Аналоги
39,кластерная выборка,Да,состояние,феноменология,явные/латентные,Аналоги
40,стратифицированная выборка,Нет,функция,системный анализ,необходимые/возможные,Уникальный
41,случайная выборка,Условно,поведение,стохастическое моделирование,мгновенные/постепенные,Аналоги
42,обнаружение ошибок подсчета,Да,нормы,рациональный выбор,дискретные/континуальные,Аналоги
43,анализ на уровне участков,Нет,институты,структурно-функциональный подход,индивидуальные/коллективные,Аналоги
44,выявление джерримендеринга,Условно,дискурс,эмпирическая верификация,эндогенные/экзогенные,Уникальный
45,идентификация подавления избирателей,Да,символы,критическая теория,институциональные/неформальные,Аналоги
46,проверка правильности бюллетеней,Нет,значения,поведенческий подход,цикличные/каскадные,Аналоги
47,верификация подписей,Условно,пространство,институционализм,явные/латентные,Аналоги
48,наблюдение на участках,Да,время/ритм,культурный релятивизм,необходимые/возможные,Уникальный
49,планирование распределения участков,Нет,технология/инфраструктура,гегельянская диалектика,мгновенные/постепенные,Аналоги
