№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,establish diplomatic relations,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
2,send ambassador,Да,институты,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
3,receive credentials,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
4,present credentials,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
5,exchange letters of credence,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
6,issue diplomatic note,Да,дискурс,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
7,deliver demarche,Да,дискурс,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
8,sign bilateral treaty,Условно,нормы,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
9,ratify treaty,Условно,нормы,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
10,deposit instruments of ratification,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
11,conduct negotiations,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
12,conclude truce or ceasefire,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
13,form alliance,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
14,host state visit,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
15,undertake courtesy call,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
16,provide consular assistance,Да,институты,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
17,issue visa or passport,Да,права,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
18,offer asylum or safe conduct,Да,права,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
19,grant diplomatic immunity,Условно,права,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
20,waive diplomatic immunity,Условно,права,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
21,declare persona non grata,Условно,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
22,expel diplomat,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
23,recall diplomat,Да,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
24,recognize new state,Условно,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
25,withdraw recognition,Условно,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
26,recognize government,Условно,отношения,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
27,issue joint communique,Да,дискурс,суверенитет и взаимность,дискретный/институциональный/коллективный,уникален для традиционной дипломатии
