№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,organize cultural festivals,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
2,host art exhibitions,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
3,arrange film screenings,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
4,sponsor music concerts,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
5,sponsor dance performances,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
6,sponsor theatre tours,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
7,sponsor literature readings,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
8,establish cultural institutes,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
9,manage cultural centers,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
10,lend artifacts to museums,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
11,repatriate cultural artifacts,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
12,borrow artifacts from abroad,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
13,host craft workshops,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
14,organize culinary festivals,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
15,host cooking demonstrations,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
16,exchange cultural professionals,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
17,exchange artists,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
18,exchange musicians,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
19,exchange dancers,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
20,exchange writers,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
21,exchange filmmakers,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
22,exchange scholars,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
23,exchange athletes,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
24,exchange students in arts,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
25,exchange cultural administrators,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
26,produce joint cultural productions,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
27,co-produce films,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
28,co-produce theatre,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
29,co-produce music,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
30,co-produce exhibitions,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
31,broadcast cultural programming,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
32,publish literature translations,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
33,translate literary works,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
34,translate film subtitles,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
35,translate plays,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
36,provide language courses,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
37,open language schools,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
38,offer translation scholarships,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
39,run intangible heritage programs,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
40,support UNESCO heritage nominations,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
41,support heritage festivals,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
42,engage in cross-cultural dialogues,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
43,restore heritage sites,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
44,conduct archaeology missions,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
45,train in heritage conservation,Да,символы,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
46,undertake joint cultural research projects,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
47,produce cross-cultural media projects,Да,значения,культурный обмен и «мягкая сила»,постепенный/коллективный/институциональный,уникален для культурного обмена
