№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,negotiate trade agreements,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
2,sign free trade agreements,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
3,negotiate tariff reductions,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
4,negotiate quotas,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
5,promote exports,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
6,facilitate inbound investment,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
7,facilitate outbound investment,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
8,negotiate investment treaties,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
9,negotiate double taxation agreements,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
10,negotiate customs agreements,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
11,conduct trade missions,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
12,establish commercial consulates,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
13,lobby for market access,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
14,participate in economic forums,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
15,impose economic sanctions,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
16,lift economic sanctions,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
17,impose export controls,Условно,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
18,provide economic aid,Да,экономика/обмен,взаимная выгода и процветание,постепенный/институциональный/коллективный,аналог экономического госуправления
