№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Диагностика конфликта,Да,Содержание,Ясность,Активные,Аналоги: медицина (диагностика)
2,Мониторинг конфликта,Да,Содержание,Устойчивость,Постепенные,Аналоги: менеджмент
3,Профилирование сторон,Да,Содержание,Классификация,Активные,Аналоги: психология (профилирование)
4,Выбор стратегии управления,Да,Структура,Приоритет,Активные,Аналоги: менеджмент
5,Превентивное управление,Да,Структура,Регуляция,Активные,Аналоги: медицина (профилактика)
6,Реактивное управление,Да,Структура,Регуляция,Активные,Аналоги: кризис-менеджмент
7,Директивное управление,Да,Структура,Иерархия,Активные,Аналоги: армия
8,Коллаборативное управление,Да,Структура,Кооперация,Активные,Аналоги: социология
9,Управление через посредников,Да,Отношения,Медиация,Активные,Аналоги: юриспруденция
10,Адаптивное управление,Да,Структура,Адаптация,Активные,Аналоги: биология
11,Регуляция интенсивности конфликта,Да,Состояние,Баланс,Активные,Аналоги: физика (гашение колебаний)
12,Контроль коммуникации,Да,Отношения,Регуляция,Активные,Аналоги: коммуникация
13,Манипулятивное управление,Да,Содержание,Иерархия,Активные,Аналоги: психология влияния
14,Делегирование управления,Да,Отношения,Иерархия,Активные,Аналоги: менеджмент
15,Координация действий сторон,Да,Отношения,Гармония,Активные,Аналоги: менеджмент
16,Разделение сторон,Да,Структура,Дифференциация,Активные,Аналоги: политика (сепарация)
17,Сближение сторон,Да,Отношения,Интеграция,Активные,Аналоги: дипломатия
18,Создание правил взаимодействия,Да,Структура,Регуляция,Активные,Аналоги: юриспруденция
19,Формализация конфликтных процедур,Да,Структура,Упорядоченность,Активные,Аналоги: юриспруденция
20,Модерация конфликта,Да,Отношения,Регуляция,Активные,Аналоги: медиация
21,Использование санкций,Да,Отношения,Регуляция,Активные,Аналоги: международные отношения
22,Использование стимулов,Да,Отношения,Регуляция,Активные,Аналоги: экономика
23,Формирование коалиций,Да,Отношения,Интеграция,Активные,Аналоги: политика
24,Управление ресурсами конфликта,Да,Содержание,Экономия,Активные,Аналоги: экономика
25,Управление временем конфликта,Да,Содержание,Историческая динамика,Активные,Аналоги: хронотипология
26,Управление пространством конфликта,Да,Содержание,География,Активные,Аналоги: урбанистика
27,Институционализация управления,Да,Структура,Регуляция,Активные,Аналоги: право
28,Кризисное вмешательство,Да,Состояние,Регуляция,Активные,Аналоги: медицина (неотложка)
29,Создание альтернативных каналов коммуникации,Да,Отношения,Гибкость,Активные,Аналоги: ИТ (сетевые протоколы)
30,Использование третьих сил,Да,Отношения,Регуляция,Активные,Аналоги: международные отношения
31,Снижение эмоционального напряжения,Да,Состояние,Баланс,Активные,Аналоги: психология
32,Управление восприятием сторон,Да,Содержание,Экспрессия,Активные,Аналоги: психология
33,Психологическая поддержка сторон,Да,Содержание,Социальная динамика,Активные,Аналоги: психотерапия
34,Управление нарративами,Да,Содержание,Экспрессия,Активные,Аналоги: культура
35,Обеспечение информационной прозрачности,Да,Содержание,Ясность,Активные,Аналоги: медиа
36,Фрагментация конфликта для управления,Да,Структура,Дифференциация,Активные,Аналоги: системная теория
37,Интеграция новых участников,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
38,Вывод участников из конфликта,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
