№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Раннее выявление признаков конфликта,Да,Содержание,Предсказуемость,Активные,Аналоги: медицина (скрининг)
2,Мониторинг рисков,Да,Содержание,Устойчивость,Постепенные,Аналоги: менеджмент рисков
3,Анализ потенциальных триггеров,Да,Содержание,Критичность,Активные,Аналоги: психология
4,Прогнозирование развития ситуации,Да,Содержание,Предсказуемость,Активные,Аналоги: экономика (прогнозы)
5,Создание каналов коммуникации,Да,Отношения,Кооперация,Активные,Аналоги: коммуникация
6,Институционализация превенции,Да,Структура,Регуляция,Активные,Аналоги: право
7,Медиация на ранних стадиях,Да,Отношения,Регуляция,Активные,Аналоги: медиация
8,Образовательные программы по предотвращению конфликтов,Да,Содержание,Адаптация,Активные,Аналоги: педагогика
9,Формирование культуры мира,Да,Содержание,Социальная динамика,Постепенные,Аналоги: культура
10,Развитие толерантности,Да,Содержание,Социальная регуляция,Постепенные,Аналоги: психология
11,Межкультурное образование,Да,Содержание,Социальная динамика,Постепенные,Аналоги: антропология
12,Социальные кампании превенции,Да,Содержание,Экспрессия,Активные,Аналоги: медиа
13,Укрепление гражданского общества,Да,Отношения,Социальная динамика,Постепенные,Аналоги: социология
14,Интеграция маргинализированных групп,Да,Отношения,Социальная регуляция,Активные,Аналоги: социология
15,Программы занятости для уязвимых групп,Да,Содержание,Экономия,Активные,Аналоги: экономика
16,Социальная поддержка уязвимых групп,Да,Содержание,Социальная регуляция,Активные,Аналоги: психология
17,Мониторинг СМИ и социальных сетей,Да,Содержание,Регуляция,Активные,Аналоги: медиа-аналитика
18,Ранняя фасилитация диалога,Да,Отношения,Кооперация,Активные,Аналоги: фасилитация
19,Предупреждающая дипломатия,Да,Отношения,Регуляция,Активные,Аналоги: международные отношения
20,Создание механизмов обратной связи,Да,Структура,Регуляция,Активные,Аналоги: менеджмент
21,Программы по развитию критического мышления,Да,Содержание,Критичность,Активные,Аналоги: педагогика
22,Развитие эмоционального интеллекта,Да,Содержание,Социальная динамика,Активные,Аналоги: психология
23,Формирование доверия между группами,Да,Отношения,Социальная динамика,Постепенные,Аналоги: психология доверия
24,Снижение социального неравенства,Да,Содержание,Социальная регуляция,Постепенные,Аналоги: экономика
25,Снижение этнической дискриминации,Да,Содержание,Социальная регуляция,Постепенные,Аналоги: антропология
26,Снижение религиозной дискриминации,Да,Содержание,Социальная регуляция,Постепенные,Аналоги: религиоведение
27,Создание ранних предупреждающих систем (EWS),Да,Структура,Предсказуемость,Активные,Аналоги: инженерия
28,Использование ИКТ для превенции,Да,Структура,Интеграция,Активные,Аналоги: ИТ
29,Программы для молодёжи,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
30,Гендерно-чувствительные инициативы,Да,Содержание,Социальная регуляция,Активные,Аналоги: гендерные исследования
31,Интернациональные обмены,Да,Отношения,Социальная динамика,Активные,Аналоги: международные отношения
