№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Выявление предмета конфликта,Да,Содержание,Ясность,Активные,Аналоги: психология (идентификация проблемы)
2,Разделение позиций и интересов,Да,Содержание,Устойчивость,Активные,Аналоги: переговоры
3,Уточнение интересов сторон,Да,Содержание,Ясность,Активные,Аналоги: прагматика
4,Поиск общих интересов,Да,Отношения,Гармония,Активные,Аналоги: дипломатия
5,Формирование зоны возможного соглашения (ZOPA),Да,Структура,Приоритет,Активные,Аналоги: экономика
6,Разработка альтернатив (BATNA),Да,Структура,Адаптация,Активные,Аналоги: переговоры
7,Прямые переговоры сторон,Да,Отношения,Кооперация,Активные,Аналоги: дипломатия
8,Посредничество третьей стороны,Да,Отношения,Медиация,Активные,Аналоги: международные отношения
9,Арбитраж,Да,Отношения,Регуляция,Активные,Аналоги: юриспруденция
10,Компромисс,Да,Отношения,Баланс,Активные,Аналоги: психология
11,Консенсус,Да,Отношения,Интеграция,Активные,Аналоги: политика
12,Соглашение,Да,Отношения,Регуляция,Активные,Аналоги: юриспруденция
13,Договорённость о временном прекращении конфликта,Да,Состояние,Баланс,Активные,Аналоги: дипломатия (перемирие)
14,Урегулирование через уступки,Да,Отношения,Экономия,Активные,Аналоги: торговля
15,Урегулирование через интеграцию интересов,Да,Отношения,Гармония,Активные,Аналоги: менеджмент
16,Использование доверия как ресурса,Да,Отношения,Социальная динамика,Активные,Аналоги: психология доверия
17,Формирование новых норм взаимодействия,Да,Структура,Регуляция,Активные,Аналоги: социология
18,Эмоциональное примирение,Да,Состояние,Экспрессия,Активные,Аналоги: психология эмоций
19,Символическое примирение,Да,Содержание,Экспрессия,Активные,Аналоги: культура (ритуалы)
20,Духовное примирение,Да,Содержание,Экспрессия,Активные,Аналоги: религиоведение
21,Прощение,Да,Содержание,Экспрессия,Активные,Аналоги: психология
22,Реституция (возмещение ущерба),Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
23,Реабилитация отношений,Да,Отношения,Гармония,Постепенные,Аналоги: психотерапия
24,Восстановление доверия,Да,Отношения,Социальная динамика,Постепенные,Аналоги: психология доверия
25,Формирование общих целей,Да,Отношения,Интеграция,Активные,Аналоги: менеджмент
26,Создание совместных проектов,Да,Отношения,Кооперация,Активные,Аналоги: экономика
27,Нормативное урегулирование,Да,Структура,Регуляция,Активные,Аналоги: юриспруденция
28,Моральное урегулирование,Да,Содержание,Этика,Активные,Аналоги: философия
29,Использование санкций для принуждения к миру,Да,Отношения,Регуляция,Активные,Аналоги: международные отношения
30,Медиация с элементами фасилитации,Да,Отношения,Гибкость,Активные,Аналоги: фасилитация
31,Трансформация конфликта в сотрудничество,Да,Отношения,Интеграция,Активные,Аналоги: социология
32,Использование символов для закрепления мира,Да,Содержание,Экспрессия,Активные,Аналоги: культура
33,Коллективные ритуалы примирения,Да,Содержание,Социальная динамика,Активные,Аналоги: антропология
34,Реконсиляция,Да,Содержание,Экспрессия,Активные,Аналоги: международные отношения
35,Институционализация соглашений,Да,Структура,Устойчивость,Активные,Аналоги: право
36,Превращение конфликта в ресурс развития,Да,Содержание,Адаптация,Активные,Аналоги: менеджмент
