№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Прекращение огня,Да,Состояние,Регуляция,Активные,Аналоги: военное дело
2,Подписание мирного договора,Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
3,Разведение сторон,Да,Структура,Дифференциация,Активные,Аналоги: военное дело
4,Создание буферных зон,Да,Структура,Баланс,Активные,Аналоги: география
5,Размещение миротворческих сил,Да,Структура,Регуляция,Активные,Аналоги: международные отношения
6,Наблюдение за прекращением огня,Да,Содержание,Устойчивость,Постепенные,Аналоги: мониторинг
7,Международные санкции для принуждения к миру,Да,Отношения,Регуляция,Активные,Аналоги: политика
8,Посредничество международных организаций,Да,Отношения,Медиация,Активные,Аналоги: ООН
9,Использование гуманитарных миссий,Да,Содержание,Социальная динамика,Активные,Аналоги: гуманитарные науки
10,Формирование коалиций ради мира,Да,Отношения,Интеграция,Активные,Аналоги: политика
11,Информационные кампании за мир,Да,Содержание,Экспрессия,Активные,Аналоги: медиа
12,Культурные инициативы за мир,Да,Содержание,Экспрессия,Активные,Аналоги: культура
13,Образовательные программы по миротворчеству,Да,Содержание,Адаптация,Активные,Аналоги: педагогика
14,Экономические стимулы мира,Да,Содержание,Экономия,Активные,Аналоги: экономика
15,Демобилизация вооружённых сил,Да,Состояние,Баланс,Активные,Аналоги: военное дело
16,Реинтеграция бывших комбатантов,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
17,Реституция и компенсации,Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
18,Символические акты примирения,Да,Содержание,Экспрессия,Активные,Аналоги: культура
19,Религиозные инициативы мира,Да,Содержание,Экспрессия,Активные,Аналоги: религиоведение
20,Использование искусства для миротворчества,Да,Содержание,Экспрессия,Активные,Аналоги: искусство
21,Восстановление каналов коммуникации,Да,Отношения,Кооперация,Активные,Аналоги: коммуникация
22,Создание совместных мирных проектов,Да,Отношения,Кооперация,Активные,Аналоги: менеджмент
23,Формирование институциональных рамок мира,Да,Структура,Устойчивость,Активные,Аналоги: право
24,Мониторинг и контроль мирных соглашений,Да,Содержание,Устойчивость,Постепенные,Аналоги: менеджмент
25,Участие гражданского общества,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
26,Интеркультурный обмен,Да,Содержание,Социальная динамика,Активные,Аналоги: антропология
27,Вовлечение диаспор,Да,Отношения,Социальная динамика,Активные,Аналоги: миграционные исследования
28,Использование ИКТ для миротворчества,Да,Структура,Интеграция,Активные,Аналоги: ИТ
29,Геймификация миротворческих инициатив,Да,Содержание,Экспрессия,Активные,Аналоги: культура (игры)
30,Молодёжные движения за мир,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
