№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Реинтеграция бывших комбатантов,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
2,Разоружение,Да,Состояние,Регуляция,Активные,Аналоги: военное дело
3,Демобилизация,Да,Состояние,Баланс,Активные,Аналоги: военное дело
4,Восстановление инфраструктуры,Да,Структура,Сохранение,Постепенные,Аналоги: инженерия
5,Восстановление экономики,Да,Содержание,Экономия,Постепенные,Аналоги: экономика
6,Восстановление образования,Да,Содержание,Адаптация,Постепенные,Аналоги: педагогика
7,Восстановление здравоохранения,Да,Содержание,Адаптация,Постепенные,Аналоги: медицина
8,Восстановление правовой системы,Да,Структура,Регуляция,Постепенные,Аналоги: юриспруденция
9,Формирование институтов демократии,Да,Структура,Регуляция,Постепенные,Аналоги: политология
10,Социальная реабилитация населения,Да,Содержание,Социальная динамика,Постепенные,Аналоги: социология
11,Психологическая реабилитация населения,Да,Содержание,Экспрессия,Постепенные,Аналоги: психология
12,Культурное восстановление,Да,Содержание,Экспрессия,Постепенные,Аналоги: культура
13,Религиозное восстановление,Да,Содержание,Экспрессия,Постепенные,Аналоги: религиоведение
14,Этническое примирение,Да,Отношения,Социальная динамика,Постепенные,Аналоги: антропология
15,Формирование новых норм взаимодействия,Да,Структура,Регуляция,Постепенные,Аналоги: социология
16,Реконструкция доверия,Да,Отношения,Социальная динамика,Постепенные,Аналоги: психология доверия
17,Компенсация жертвам,Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
18,Символические акты примирения,Да,Содержание,Экспрессия,Активные,Аналоги: культура
19,Создание совместных проектов,Да,Отношения,Кооперация,Активные,Аналоги: экономика
20,Программы примирения,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
21,Образовательные инициативы,Да,Содержание,Адаптация,Активные,Аналоги: педагогика
22,Программы занятости,Да,Содержание,Экономия,Активные,Аналоги: экономика
23,Развитие гражданского общества,Да,Отношения,Социальная динамика,Постепенные,Аналоги: социология
24,Интеркультурные программы,Да,Содержание,Социальная динамика,Активные,Аналоги: антропология
25,Возвращение беженцев,Да,Отношения,Социальная динамика,Активные,Аналоги: миграционные исследования
26,Мониторинг постконфликтных процессов,Да,Содержание,Устойчивость,Постепенные,Аналоги: менеджмент
27,Юридическое закрепление постконфликтных норм,Да,Структура,Регуляция,Активные,Аналоги: право
28,Международная поддержка восстановления,Да,Отношения,Интеграция,Активные,Аналоги: международные отношения
29,Использование ИКТ в восстановлении,Да,Структура,Адаптация,Активные,Аналоги: ИТ
30,Гендерно-ориентированные программы,Да,Содержание,Социальная регуляция,Активные,Аналоги: гендерные исследования
