№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Композиция элементов,Да,Структура,Гармония,Активные,Аналоги: живопись
2,Типографика,Да,Содержание,Иконичность,Активные,Аналоги: лингвистика
3,Выбор цветовой палитры,Да,Содержание,Гармония,Активные,Аналоги: искусствоведение
4,Контраст и сопоставление,Да,Содержание,Дифференциация,Активные,Аналоги: физика света
5,Баланс и симметрия,Да,Структура,Устойчивость,Активные,Аналоги: математика (геометрия)
6,Иерархия визуальных элементов,Да,Структура,Регуляция,Активные,Аналоги: менеджмент
7,Модульная сетка,Да,Структура,Упорядоченность,Активные,Аналоги: архитектура
8,Ритм и повтор,Да,Структура,Устойчивость,Активные,Аналоги: музыка
9,Пропорции и масштабирование,Да,Структура,Гармония,Активные,Аналоги: математика
10,Форма и силуэт,Да,Содержание,Экспрессия,Активные,Аналоги: скульптура
11,Позитивное и негативное пространство,Да,Структура,Дифференциация,Активные,Аналоги: психология восприятия
12,Текстурирование,Да,Содержание,Экспрессия,Активные,Аналоги: живопись
13,Визуальная метафора,Да,Содержание,Экспрессия,Активные,Аналоги: литература
14,Иконография,Да,Содержание,Иконичность,Активные,Аналоги: религиоведение
15,Семиотика визуальных знаков,Да,Содержание,Смысл,Активные,Аналоги: семиотика
16,Генеративный дизайн,Да,Структура,Адаптация,Активные,Аналоги: алгоритмы
17,Инфографика,Да,Содержание,Экономия,Активные,Аналоги: аналитика
18,Брендинг и айдентика,Да,Содержание,Устойчивость,Активные,Аналоги: маркетинг
19,Разработка логотипа,Да,Содержание,Иконичность,Активные,Аналоги: символика
20,Плакатный дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: театр
21,Редакционный дизайн,Да,Структура,Упорядоченность,Активные,Аналоги: журналистика
22,Цифровая графика,Да,Содержание,Адаптация,Активные,Аналоги: компьютерные науки
23,Анимация и движение,Да,Содержание,Историческая динамика,Активные,Аналоги: кино
24,Гибридизация стилей,Да,Содержание,Интеграция,Активные,Аналоги: культура
25,Минимализм,Да,Содержание,Экономия,Активные,Аналоги: философия
26,Максимализм,Да,Содержание,Экспрессия,Активные,Аналоги: культура
27,Ретро-стилизация,Да,Содержание,Историческая динамика,Активные,Аналоги: история искусства
28,Футуризм в графике,Да,Содержание,Адаптация,Активные,Аналоги: футурология
29,Экспериментальный дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: наука
30,Эко-дизайн в графике,Да,Содержание,Социальная регуляция,Активные,Аналоги: экология
31,Инклюзивный дизайн,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
