№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Эргономический анализ,Да,Структура,Гармония,Активные,Аналоги: биомеханика
2,Прототипирование,Да,Структура,Адаптация,Активные,Аналоги: инженерия
3,Моделирование формы,Да,Содержание,Экспрессия,Активные,Аналоги: скульптура
4,Выбор материалов,Да,Содержание,Устойчивость,Активные,Аналоги: материаловедение
5,Функциональная оптимизация,Да,Содержание,Экономия,Активные,Аналоги: инженерия
6,Тестирование прочности,Да,Содержание,Устойчивость,Активные,Аналоги: физика
7,Адаптация к производству,Да,Структура,Регуляция,Активные,Аналоги: производственные технологии
8,Учет экологических факторов,Да,Содержание,Социальная регуляция,Активные,Аналоги: экология
9,Формообразование,Да,Содержание,Экспрессия,Активные,Аналоги: архитектура
10,Оптимизация веса,Да,Содержание,Экономия,Активные,Аналоги: авиация
11,Оптимизация размеров,Да,Содержание,Экономия,Активные,Аналоги: инженерия
12,Массовое производство,Да,Структура,Регуляция,Активные,Аналоги: экономика
13,Персонализация дизайна,Да,Содержание,Адаптация,Активные,Аналоги: маркетинг
14,Модульный дизайн,Да,Структура,Интеграция,Активные,Аналоги: архитектура
15,Унификация деталей,Да,Структура,Экономия,Активные,Аналоги: инженерия
16,Эстетическая стилизация,Да,Содержание,Экспрессия,Активные,Аналоги: искусствоведение
17,Имитация материалов,Да,Содержание,Экспрессия,Активные,Аналоги: графический дизайн
18,Использование CAD систем,Да,Структура,Адаптация,Активные,Аналоги: компьютерные науки
19,Тестирование безопасности,Да,Содержание,Регуляция,Активные,Аналоги: инженерия
20,Энергосбережение в дизайне,Да,Содержание,Экономия,Активные,Аналоги: энергетика
21,Ресайклинг и повторное использование,Да,Содержание,Социальная регуляция,Активные,Аналоги: экология
22,Биоинспирированный дизайн,Да,Содержание,Иконичность,Активные,Аналоги: биология
23,Кросс-дисциплинарный дизайн,Да,Структура,Интеграция,Активные,Аналоги: междисциплинарные исследования
24,Тестирование прототипа с пользователями,Да,Отношения,Социальная динамика,Активные,Аналоги: UX-дизайн
25,Оптимизация стоимости производства,Да,Содержание,Экономия,Активные,Аналоги: экономика
26,Эмоциональный дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: психология восприятия
27,Трансформация формы ради функции,Да,Содержание,Функциональность,Активные,Аналоги: архитектура
28,Адаптация под культурный контекст,Да,Содержание,Адаптация,Активные,Аналоги: антропология
29,Экспериментальные материалы,Да,Содержание,Инновация,Активные,Аналоги: материаловедение
30,Сенсорный дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: психология
