№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Выбор темы,Да,значения,Определение основной идеи,"дискретные, индивидуальные",Уникально для композиции
2,Разработка мотива,Да,структура,Создание повторяющегося элемента,"постепенные, индивидуальные",Аналоги: классический танец
3,Вариация мотива,Да,структура,Принцип вариации,"постепенные, индивидуальные",Аналоги: музыка
4,Секвенирование движений,Да,структура,Линейное соединение элементов,"постепенные, индивидуальные",Уникально
5,Определение структуры,Да,структура,"Формы AB, ABA, рондо","дискретные, индивидуальные",Уникально
6,Создание начала,Да,структура,Установка контекста,"дискретные, индивидуальные",Уникально
7,Построение развития,Да,структура,Постепенное наращивание напряжения,"постепенные, индивидуальные",Уникально
8,Организация кульминации,Да,структура,Высшая точка энергии,"дискретные, индивидуальные",Уникально
9,Завершение,Да,структура,Разрешение темы,"дискретные, индивидуальные",Уникально
10,Использование пространства,Да,пространство,Дизайн траекторий,"непрерывные, индивидуальные",Аналоги: лабан-анализ
11,Управление временем,Да,время/ритм,Ритмическая композиция,"непрерывные, индивидуальные",Аналоги: музыкальная композиция
12,Использование динамики,Да,функция,Контраст интенсивности,"дискретные, индивидуальные",Аналоги: современный танец
13,Переходы,Да,структура,Связывание частей,"непрерывные, индивидуальные",Уникально
14,Редактирование,Да,структура,Отбор и упрощение материала,"постепенные, индивидуальные",Уникально
15,Подбор музыки,Да,отношения,Создание звуковой среды,"дискретные, индивидуальные",Аналоги: народный танец
