№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Построение экспозиции,Да,структура,принцип введения,индивидуальные,аналог в повествовании
2,Завязывание конфликта,Нет,структура,принцип противоречия,индивидуальные,аналог в риторике
3,Формирование кульминации,Нет,структура,принцип напряжения,индивидуальные,аналог в музыке
4,Развязка действия,Да,структура,принцип завершения,индивидуальные,аналог в повествовании
5,Использование трёх единств,Нет,структура,принцип нормативности,институциональные,уникален для классики
6,Создание трагического героя,Нет,идентичность/границы,принцип гибрида достоинств и вины,индивидуальные,аналог в мифологии
7,Введение хора,Нет,функция,принцип коллективного голоса,коллективные,аналог в ритуале
8,Диалогизация действия,Да,дискурс,принцип реплики,индивидуальные,аналог в философии
9,Мономифическая структура (геройский путь),Нет,структура,принцип архетипа,индивидуальные,аналог в мифологии
10,Дихотомия трагическое–комическое,Нет,содержание,принцип контраста,индивидуальные,аналог в эстетике
11,Использование катарсиса,Нет,состояние,принцип очищения,коллективные,уникален для классики
12,Формирование пролога,Да,структура,принцип экспозиции,индивидуальные,аналог в литературе
13,Эпилогизация,Да,структура,принцип завершения,индивидуальные,аналог в повествовании
14,Вставные монологи,Да,дискурс,принцип рефлексии,индивидуальные,аналог в философии
15,Создание маски персонажа,Да,символы,принцип типизации,индивидуальные,аналог в ритуале
16,Использование метафорического языка,Да,дискурс,принцип переноса,индивидуальные,аналог в поэзии
17,Антитеза персонажей,Нет,структура,принцип оппозиции,индивидуальные,аналог в риторике
18,Формирование «перипетии»,Нет,структура,принцип поворота,индивидуальные,аналог в повествовании
19,Введение «анагнорисиса» (узнавания),Нет,содержание,принцип откровения,индивидуальные,аналог в мифологии
20,Архаизация языка,Да,дискурс,принцип традиции,индивидуальные,аналог в ритуале
21,Формирование сцепки сцен,Да,структура,принцип связности,индивидуальные,аналог в кинематографе
22,Использование мифологем,Нет,содержание,принцип архетипа,индивидуальные,аналог в культуре
23,Разделение на акты,Нет,структура,принцип ритма,институциональные,аналог в музыке
24,Создание характеров,Нет,идентичность/границы,принцип типизации,индивидуальные,аналог в психологии
25,Композиция реплик,Да,дискурс,принцип чередования,индивидуальные,аналог в диалектике
26,Использование судьбы как силы,Нет,содержание,принцип детерминизма,индивидуальные,аналог в философии
27,Контраст высокого и низкого стиля,Нет,дискурс,принцип сопоставления,индивидуальные,аналог в литературе
28,Формирование конфликтных линий,Нет,структура,принцип напряжения,индивидуальные,аналог в нарративе
29,Введение морализаторских вставок,Да,содержание,принцип дидактики,индивидуальные,аналог в педагогике
30,Создание символических предметов,Да,символы,принцип репрезентации,индивидуальные,аналог в культуре
31,Эстетизация насилия,Нет,содержание,принцип катарсиса,индивидуальные,аналог в мифологии
32,Формирование времени действия (сутки),Нет,время/ритм,принцип единства,институциональные,уникален для классики
33,Пространственная локализация (одно место),Нет,пространство,принцип единства,институциональные,уникален для классики
34,Введение deus ex machina,Нет,структура,принцип внезапного разрешения,индивидуальные,аналог в мифологии
35,Формирование арок персонажей,Да,структура,принцип развития,индивидуальные,аналог в психологии
36,Разделение на трагедию и комедию,Нет,структура,принцип жанрового дуализма,институциональные,аналог в эстетике
37,Использование аллюзий,Да,содержание,принцип цитирования,индивидуальные,аналог в литературе
38,Формирование патоса,Нет,содержание,принцип эмоциональной силы,индивидуальные,аналог в риторике
39,Создание идеализированных персонажей,Нет,идентичность/границы,принцип типизации,индивидуальные,аналог в философии
40,Распределение ролей,Нет,структура,принцип функциональности,индивидуальные,аналог в игре
41,Формирование «единства действия»,Нет,структура,принцип целостности,институциональные,уникален для классики
42,Символизация через костюм,Да,символы,принцип репрезентации,индивидуальные,аналог в сценографии
43,Развитие через хоровые оды,Нет,структура,принцип ритма,коллективные,аналог в ритуале
44,Использование афоризмов,Да,дискурс,принцип концентрированной мысли,индивидуальные,аналог в философии
45,Формирование трагической иронии,Нет,содержание,принцип контраста,индивидуальные,аналог в эстетике
46,Создание конфликтов поколений,Нет,содержание,принцип оппозиции,индивидуальные,аналог в социологии
47,Введение повествовательного голоса,Да,дискурс,принцип медиатора,индивидуальные,аналог в литературе
48,Использование масок (персонажей-типов),Да,символы,принцип типизации,индивидуальные,аналог в культуре
49,Формирование архаических ритуалов,Нет,нормы,принцип традиции,индивидуальные,аналог в антропологии
50,Создание параллельных линий действия,Да,структура,принцип многослойности,индивидуальные,аналог в литературе
51,Использование ретардации (задержки развязки),Нет,структура,принцип напряжения,индивидуальные,аналог в музыке
52,Формирование сцены дуэли,Нет,поведение,принцип конфликта,индивидуальные,аналог в культуре
53,Введение любовной линии,Нет,структура,принцип эмоционального дополнения,индивидуальные,аналог в повествовании
54,Создание антагониста,Нет,идентичность/границы,принцип оппозиции,индивидуальные,аналог в психологии
55,Использование аллегорий,Да,содержание,принцип переноса,индивидуальные,аналог в культуре
56,Формирование темпоритма сцен,Да,время/ритм,принцип гармонии,индивидуальные,аналог в музыке
57,Создание фаталистической атмосферы,Нет,состояние,принцип детерминизма,индивидуальные,аналог в философии
58,Разделение персонажей на «высоких» и «низких»,Нет,нормы,принцип иерархии,институциональные,аналог в социологии
59,Введение арий и песнопений,Нет,структура,принцип ритма,индивидуальные,аналог в музыке
60,Создание символического пространства (дворец, храм),Нет,пространство,принцип репрезентации,индивидуальные,аналог в архитектуре
121,Формирование сцены искушения,Нет,структура,принцип конфликта,индивидуальные,аналог в религии
122,Создание образа героя-мученика,Нет,идентичность/границы,принцип катарсиса,индивидуальные,аналог в мифологии
123,Использование символики тьмы,Нет,символы,принцип контраста,индивидуальные,аналог в культуре
124,Создание сцены массового плача,Нет,структура,принцип катарсиса,коллективные,аналог в ритуале
125,Формирование образа правителя-тирана,Нет,идентичность/границы,принцип иерархии,индивидуальные,аналог в истории
126,Введение сцен молений,Нет,структура,принцип традиции,коллективные,аналог в религии
127,Создание сцены жертвенной смерти,Нет,структура,принцип катарсиса,индивидуальные,аналог в мифологии
128,Формирование образа героя-освободителя,Нет,идентичность/границы,принцип возмездия,индивидуальные,аналог в истории
129,Использование символики света,Да,символы,принцип очищения,индивидуальные,аналог в культуре
130,Создание сцены массового торжества,Нет,структура,принцип возвышенности,коллективные,аналог в ритуале
131,Формирование образа коварной женщины,Нет,идентичность/границы,принцип оппозиции,индивидуальные,аналог в мифологии
132,Введение сцен пророчеств,Нет,структура,принцип предсказания,индивидуальные,аналог в культуре
133,Создание сцены самопожертвования,Нет,структура,принцип катарсиса,индивидуальные,аналог в религии
134,Формирование образа мудрого старца,Нет,идентичность/границы,принцип традиции,индивидуальные,аналог в мифологии
135,Использование символики животных,Нет,символы,принцип репрезентации,индивидуальные,аналог в культуре
136,Создание сцены изгнания народа,Нет,структура,принцип наказания,коллективные,аналог в истории
137,Формирование образа героя-победителя,Нет,идентичность/границы,принцип возвышенности,индивидуальные,аналог в мифологии
138,Введение сцен пророческих снов,Нет,структура,принцип предсказания,индивидуальные,аналог в культуре
139,Создание сцены примирения,Да,структура,принцип гармонии,индивидуальные,аналог в психологии
140,Формирование образа демона-искусителя,Нет,идентичность/границы,принцип оппозиции,индивидуальные,аналог в религии
141,Использование символики земли,Нет,символы,принцип корней,индивидуальные,аналог в культуре
142,Создание сцены восстания рабов,Нет,структура,принцип конфликта,коллективные,аналог в истории
143,Формирование образа героя-правителя,Нет,идентичность/границы,принцип иерархии,индивидуальные,аналог в истории
144,Введение сцен обожествления,Нет,структура,принцип возвышенности,индивидуальные,аналог в религии
145,Создание сцены чудесного исцеления,Нет,структура,принцип внезапности,индивидуальные,аналог в мифологии
146,Формирование образа злого советника,Нет,идентичность/границы,принцип оппозиции,индивидуальные,аналог в культуре
147,Использование символики металлов,Нет,символы,принцип репрезентации,индивидуальные,аналог в алхимии
148,Создание сцены присяги,Нет,структура,принцип традиции,индивидуальные,аналог в праве
149,Формирование образа героя-страшителя,Нет,идентичность/границы,принцип устрашения,индивидуальные,аналог в мифологии
150,Введение сцен пророческих речей,Нет,дискурс,принцип предсказания,индивидуальные,аналог в культуре
151,Создание сцены примирения народов,Да,структура,принцип гармонии,коллективные,аналог в истории
152,Формирование образа вестника бедствий,Нет,идентичность/границы,принцип предсказания,индивидуальные,аналог в мифологии
153,Использование символики неравенства,Нет,символы,принцип иерархии,индивидуальные,аналог в культуре
154,Создание сцены суда над богами,Нет,структура,принцип конфликта,индивидуальные,аналог в мифологии
155,Формирование образа героя-посланника,Нет,идентичность/границы,принцип медиатора,индивидуальные,аналог в культуре
156,Введение сцен кровной мести,Нет,структура,принцип возмездия,индивидуальные,аналог в истории
157,Создание сцены массовой молитвы,Нет,структура,принцип катарсиса,коллективные,аналог в религии
158,Формирование образа героя-путешественника,Нет,идентичность/границы,принцип пути,индивидуальные,аналог в эпосе
159,Использование символики камня,Нет,символы,принцип прочности,индивидуальные,аналог в культуре
160,Создание сцены прощения,Да,структура,принцип гармонии,индивидуальные,аналог в религии
161,Создание сцены обряда инициации,Нет,структура,принцип традиции,коллективные,аналог в антропологии
162,Формирование образа героя-изгнанника,Нет,идентичность/границы,принцип изоляции,индивидуальные,аналог в мифологии
163,Использование символики ветра,Нет,символы,принцип движения,индивидуальные,аналог в культуре
164,Создание сцены проклятия,Нет,структура,принцип возмездия,индивидуальные,аналог в мифологии
165,Формирование образа героя-пророка,Нет,идентичность/границы,принцип откровения,индивидуальные,аналог в религии
166,Введение сцен кровавых жертв,Нет,структура,принцип катарсиса,индивидуальные,аналог в ритуале
167,Создание сцены чудесного рождения,Нет,структура,принцип архетипа,индивидуальные,аналог в мифологии
168,Формирование образа антагониста-бога,Нет,идентичность/границы,принцип оппозиции,индивидуальные,аналог в мифологии
169,Использование символики зеркала,Да,символы,принцип отражения,индивидуальные,аналог в литературе
170,Создание сцены искупления,Да,структура,принцип очищения,индивидуальные,аналог в религии
171,Формирование образа мудрой царицы,Нет,идентичность/границы,принцип иерархии,индивидуальные,аналог в мифологии
172,Введение сцен небесных знамений,Нет,структура,принцип предсказания,индивидуальные,аналог в астрологии
173,Создание сцены массового изгнания,Нет,структура,принцип наказания,коллективные,аналог в истории
