№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Интерпретация драматургического текста,Да,содержание,принцип семиозиса,индивидуальные,аналог в литературоведении
2,Выстраивание мизансцен,Да,структура,принцип композиции,индивидуальные,аналог в хореографии
3,Определение ритма спектакля,Да,время/ритм,принцип темпоритма,индивидуальные,аналог в музыке
4,Организация пространства действия,Да,пространство,принцип сценической среды,индивидуальные,аналог в архитектуре
5,Работа с актёрскими этюдами,Да,поведение,принцип импровизации,индивидуальные,аналог в педагогике
6,Постановка массовых сцен,Да,структура,принцип синхронизации,коллективные,аналог в военном деле
7,Выбор ключевых акцентов,Да,содержание,принцип фокусировки,индивидуальные,аналог в риторике
8,Построение контраста сцен,Да,структура,принцип оппозиции,индивидуальные,аналог в искусстве
9,Использование пауз,Да,время/ритм,принцип напряжения,индивидуальные,аналог в музыке
10,Разработка сценических переходов,Да,структура,принцип связности,индивидуальные,аналог в монтажной логике
11,Работа с интонацией актёров,Да,дискурс,принцип модуляции,индивидуальные,аналог в лингвистике
12,Применение символических действий,Да,символы,принцип метафоризации,индивидуальные,аналог в ритуале
13,Организация взаимодействия актёров,Да,отношения,принцип коммуникации,индивидуальные,аналог в психологии
14,Выбор художественного стиля постановки,Да,содержание,принцип целостности,индивидуальные,аналог в искусствознании
15,Работа с жестом,Да,поведение,принцип выразительности,индивидуальные,аналог в танце
16,Создание сценической динамики,Да,структура,принцип движения,индивидуальные,аналог в кино
17,Разработка кульминационных точек,Да,структура,принцип катарсиса,индивидуальные,аналог в драматургии
18,Использование многоплановости,Да,структура,принцип стратификации,индивидуальные,аналог в живописи
19,Управление вниманием зрителя,Да,поведение,принцип фокусировки,индивидуальные,аналог в психологии
20,Организация сценического времени,Да,время/ритм,принцип замедления/ускорения,индивидуальные,аналог в кино
21,Постановка пластических решений,Да,тело/материя,принцип выразительности,индивидуальные,аналог в танце
22,Разработка визуальных метафор,Да,символы,принцип семиозиса,индивидуальные,аналог в литературе
23,Создание напряжения между персонажами,Да,отношения,принцип конфликта,индивидуальные,аналог в психологии
24,Использование повторов,Да,структура,принцип ритмичности,индивидуальные,аналог в музыке
25,Разработка сценического жеста-символа,Да,символы,принцип эмблематичности,индивидуальные,аналог в ритуале
26,Постановка финальных акцентов,Да,структура,принцип завершения,индивидуальные,аналог в риторике
27,Работа с мимикой,Да,поведение,принцип экспрессии,индивидуальные,аналог в психологии
28,Инсценировка внутренних монологов,Да,дискурс,принцип вербализации,индивидуальные,аналог в литературе
29,Организация взаимодействия с предметами,Да,функция,принцип инструментальности,индивидуальные,аналог в этнографии
30,Использование света как драматургического средства,Да,символы,принцип визуализации,индивидуальные,аналог в архитектуре
31,Работа с паузой-молчанием,Да,дискурс,принцип напряжения,индивидуальные,аналог в риторике
32,Создание сценической атмосферы,Да,состояние,принцип погружения,индивидуальные,аналог в музыке
33,Разработка конфликтных столкновений,Да,структура,принцип катарсиса,индивидуальные,аналог в драматургии
34,Постановка сценических акцентов,Да,структура,принцип выделения,индивидуальные,аналог в музыке
35,Работа с тишиной,Да,время/ритм,принцип контраста,индивидуальные,аналог в медитации
36,Инсценировка снов и фантазий,Да,содержание,принцип символизации,индивидуальные,аналог в психоанализе
37,Организация ансамблевых сцен,Да,структура,принцип гармонии,коллективные,аналог в музыке
38,Создание сценической интриги,Да,содержание,принцип неизвестности,индивидуальные,аналог в литературе
39,Разработка сценических метаморфоз,Да,структура,принцип трансформации,индивидуальные,аналог в мифологии
40,Работа с тенью,Да,символы,принцип контраста,индивидуальные,аналог в изобразительном искусстве
41,Инсценировка документальных материалов,Да,содержание,принцип свидетельства,индивидуальные,аналог в журналистике
42,Создание сценической полифонии,Да,структура,принцип многоголосия,индивидуальные,аналог в музыке
43,Постановка пантомимических сцен,Да,тело/материя,принцип невербальной коммуникации,индивидуальные,аналог в пантомиме
44,Работа с музыкальными вставками,Да,содержание,принцип синтеза,индивидуальные,аналог в музыке
45,Организация сценических дуэлей,Да,поведение,принцип конфликта,индивидуальные,аналог в спорте
46,Использование символических предметов,Да,символы,принцип эмблематичности,индивидуальные,аналог в антропологии
47,Разработка ритма диалогов,Да,дискурс,принцип темпо-ритма,индивидуальные,аналог в лингвистике
48,Постановка сцены-катастрофы,Нет,структура,принцип катарсиса,индивидуальные,аналог в кино
49,Работа с интонационной дугой,Да,дискурс,принцип модуляции,индивидуальные,аналог в музыке
50,Инсценировка письма/документа,Да,содержание,принцип документализма,индивидуальные,аналог в журналистике
51,Создание эффектов внезапности,Да,структура,принцип неожиданности,индивидуальные,аналог в литературе
52,Постановка параллельных сцен,Да,структура,принцип монтажности,индивидуальные,аналог в кино
53,Работа с круговыми движениями,Да,тело/материя,принцип цикличности,индивидуальные,аналог в танце
54,Инсценировка молитвы,Да,содержание,принцип сакрализации,индивидуальные,аналог в религии
55,Создание сценической метафоры пространства,Да,пространство,принцип символизации,индивидуальные,аналог в архитектуре
56,Разработка сценических пауз напряжения,Да,время/ритм,принцип катарсиса,индивидуальные,аналог в риторике
57,Постановка массовых движений,Да,поведение,принцип синхронизации,коллективные,аналог в военном деле
58,Работа с контрастом света и тьмы,Да,символы,принцип дуальности,индивидуальные,аналог в живописи
59,Инсценировка обряда,Да,содержание,принцип ритуализации,индивидуальные,аналог в антропологии
60,Организация сценического пространства с разными уровнями,Да,структура,принцип стратификации,индивидуальные,аналог в архитектуре
61,Работа с акцентами движений,Да,тело/материя,принцип выделения,индивидуальные,аналог в танце
62,Инсценировка массовых песен,Да,содержание,принцип синтеза,коллективные,аналог в хоровом пении
63,Создание сценической аллюзии,Да,содержание,принцип отсылки,индивидуальные,аналог в литературе
64,Постановка сцен с животными,Нет,тело/материя,принцип имитации,индивидуальные,аналог в цирке
65,Работа с динамикой диалогов,Да,дискурс,принцип ритма,индивидуальные,аналог в риторике
