№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Постановка декораций,Да,структура,принцип визуализации,индивидуальные,аналог в архитектуре
2,Монтаж световых приборов,Да,технология/инфраструктура,принцип освещения,индивидуальные,аналог в инженерии
3,Расстановка реквизита,Да,структура,принцип наполнения,индивидуальные,аналог в дизайне интерьера
4,Использование задников,Да,пространство,принцип фоновой репрезентации,индивидуальные,аналог в живописи
5,Проекция изображений,Да,технология/инфраструктура,принцип визуализации,индивидуальные,аналог в кино
6,Создание костюмов,Да,тело/материя,принцип идентификации,индивидуальные,аналог в моде
7,Грим актёров,Да,тело/материя,принцип трансформации,индивидуальные,аналог в косметологии
8,Световое моделирование сцен,Да,пространство,принцип драматизации,индивидуальные,аналог в архитектуре
9,Применение занавеса,Да,структура,принцип скрытия/раскрытия,индивидуальные,аналог в ритуале
10,Монтаж конструкций сцены,Да,технология/инфраструктура,принцип каркаса,индивидуальные,аналог в строительстве
11,Раскраска декораций,Да,символы,принцип визуализации,индивидуальные,аналог в живописи
12,Акустическая настройка,Да,технология/инфраструктура,принцип звучания,индивидуальные,аналог в акустике
13,Применение масок,Да,идентичность/границы,принцип символизации,индивидуальные,аналог в ритуале
14,Монтаж подиумов,Да,пространство,принцип возвышения,индивидуальные,аналог в архитектуре
15,Использование бутафорских предметов,Да,тело/материя,принцип имитации,индивидуальные,аналог в музейных практиках
16,Создание макетов сцен,Да,структура,принцип планирования,индивидуальные,аналог в архитектуре
17,Применение дым-машин,Да,технология/инфраструктура,принцип атмосферы,индивидуальные,аналог в шоу-индустрии
18,Световое выделение персонажей,Да,поведение,принцип фокусировки,индивидуальные,аналог в фотографии
19,Настройка цветовых фильтров,Да,технология/инфраструктура,принцип изменения восприятия,индивидуальные,аналог в кино
20,Размещение экранов,Да,пространство,принцип визуализации,индивидуальные,аналог в digital art
21,Применение лазеров,Да,технология/инфраструктура,принцип эффекта,индивидуальные,аналог в шоу-бизнесе
22,Создание 3D-декораций,Да,структура,принцип объёмности,индивидуальные,аналог в архитектуре
23,Использование сенсорных панелей,Да,технология/инфраструктура,принцип интерактивности,индивидуальные,аналог в HCI
