№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создавать раскадровку,Да,структура,Раскадровка,"постепенные, непрерывные, индивидуальные",Уникально для анимации
2,Разрабатывать персонажей,Да,идентичность/границы,Дизайн персонажей,"постепенные, индивидуальные, непрерывные",Общее с иллюстрацией
3,Моделировать объекты,Да,тело/материя,3D-моделирование,"постепенные, технические, индивидуальные",Уникально для CGI
4,Скелетировать персонажей,Да,технология/инфраструктура,Риггинг,"постепенные, технические, индивидуальные",Уникально для анимации
5,Рисовать ключевые кадры,Да,время/ритм,Ключевой кадр,"дискретные, непрерывные, индивидуальные",Уникально для традиционной анимации
6,Создавать промежуточные кадры,Да,время/ритм,Промежуточная анимация,"постепенные, непрерывные, индивидуальные",Аналогично интерполяции
7,Анимировать покадровое кино,Нет,тело/материя,Упор на зрительную задержку,"дискретные, экзогенные, мгновенные",Уникально для стоп-моушен
8,Применять squash and stretch,Да,состояние,Принципы Диснея,"постепенные, непрерывные, индивидуальные",Уникально для анимации
9,Синхронизировать губы с диалогом,Да,поведение,Липсинк,"постепенные, непрерывные, индивидуальные",Уникально для анимации
10,Рендерить кадры,Условно,технология/инфраструктура,Рендеринг,"постепенные, технические, непрерывные",Уникально для CGI
11,Компоновать слои,Да,структура,Композиция,"постепенные, непрерывные, технические",Общее с постпродакшеном
12,Добавлять визуальные эффекты,Да,состояние,VFX,"постепенные, непрерывные, технические",Общее с кинематографией
13,Озвучивать и микшировать звук,Да,технология/инфраструктура,Звуковая микшировка,"постепенные, непрерывные, индивидуальные",Общее со звукодизайном
14,Экспортировать окончательную версию,Нет,функция,Подготовка к дистрибуции,"дискретные, формальные, технические",Уникально для производства
15,Итерация по обратной связи,Да,поведение,Цикл обратной связи,"цикличные, непрерывные, коллективные",Общее с разработкой
