№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Записывать диалоги,Нет,содержание,Запись речи,"непрерывные, технические, индивидуальные",Уникально для звука
2,Записывать атмосферный звук,Да,пространство,Запись атмосферы,"постепенные, технические, непрерывные",Общее с документаликой
3,Создавать фоли,Да,тело/материя,Фоли,"постепенные, технические, непрерывные",Уникально для звука
4,Создавать звуковые эффекты,Да,состояние,Звуковые эффекты,"постепенные, экспериментальные, непрерывные",Уникально для звука
5,Сочинять музыкальное сопровождение,Да,содержание,Фильм-скор,"постепенные, творческие, непрерывные",Общее с композицией
6,Редактировать аудио дорожки,Да,структура,Аудиомонтаж,"постепенные, технические, непрерывные",Общее с монтажом
7,Микшировать аудио,Да,состояние,Аудиомикширование,"постепенные, технические, непрерывные",Уникально для звука
8,Мастеринг звука,Да,состояние,Мастеринг,"постепенные, технические, непрерывные",Общее с музыкой
9,Внедрять звуковой мотив,Да,символы,Лейтмотив,"постепенные, творческие, непрерывные",Уникально для саунд-дизайна
10,Калибровать многоканальный звук,Да,технология/инфраструктура,Сурраунд,"постепенные, технические, непрерывные",Уникально для звука
11,Применять звуковые переходы,Да,время/ритм,Звуковой мост,"постепенные, непрерывные, индивидуальные",Общее с монтажом
12,Синхронизировать дубляж (ADR),Да,время/ритм,ADR,"постепенные, технические, непрерывные",Уникально для постпродакшена
13,Генерировать диагетические/недиагетические звуки,Да,нормы,Диегезис,"возможные, концептуальные, непрерывные",Уникально для теории звука
14,Управлять звуковыми библиотеками,Да,память/наследие,Архивация,"постепенные, технические, непрерывные",Общее с документалистикой
15,Создавать динамический диапазон,Да,состояние,Динамический диапазон,"постепенные, технические, непрерывные",Уникально для звука
