№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Выбирать камеру,Да,технология/инфраструктура,Выбор оборудования,"дискретные, технические, индивидуальные",Уникально для кинематографии
2,Выбирать объективы,Да,пространство,Поле зрения,"дискретные, технические, индивидуальные",Уникально для кинематографии
3,Настраивать экспозицию,Да,состояние,Треугольник экспозиции,"постепенные, технические, непрерывные",Уникально для кинематографии
4,Компоновать кадр,Да,пространство,Правило третей,"постепенные, индивидуальные, непрерывные",Общее с фотографией
5,Регулировать освещение,Да,технология/инфраструктура,Световой дизайн,"постепенные, коллективные, непрерывные",Общее с театром
6,Двигать камеру,Да,время/ритм,Грамматика движения,"постепенные, непрерывные, индивидуальные",Уникально для кино
7,Фокусировать,Да,состояние,Глубина резкости,"постепенные, технические, непрерывные",Общее с фотографией
8,Настраивать баланс белого,Да,состояние,Температура цвета,"постепенные, технические, непрерывные",Общее с фото
9,Использовать фильтры,Да,состояние,Модификация света,"дискретные, технические, индивидуальные",Уникально для кино
10,Определять соотношение сторон,Да,структура,Визуальная эстетика,"дискретные, индивидуальные, формальные",Уникально для кинематографии
11,Снимать в замедленном режиме,Да,время/ритм,Кадровая частота,"дискретные, технические, индивидуальные",Общее с монтажом
12,Управлять камерами (ригами),Да,технология/инфраструктура,Стабилизация,"постепенные, технические, коллективные",Уникально для производства
13,Записывать в разных форматах,Да,технология/инфраструктура,Научная цветокоррекция,"дискретные, технические, индивидуальные",Общее с цифровым видео
14,Сотрудничать с режиссёром,Да,отношения,Сотрудничество,"коллективные, непрерывные, каскадные",Уникально для кино
15,Снимать establishing shot,Да,пространство,Установочный кадр,"дискретные, индивидуальные, непрерывные",Уникально для повествования
