№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разрабатывать логлайн,Да,содержание,Краткость,"необходимые, индивидуальные, мгновенные",Уникально для сценариев
2,Создавать биографии персонажей,Да,идентичность/границы,Разработка персонажей,"постепенные, индивидуальные, непрерывные",Общее с романистикой
3,Составлять трёхактную структуру,Да,структура,Трехактная структура,"дискретные, цикличные, индивидуальные",Общее с теорией
4,Писать описания сцен,Да,пространство,Визуальное письмо,"постепенные, индивидуальные, непрерывные",Уникально для кинодраматургии
5,Разрабатывать диалоги,Да,отношения,Натурализм,"постепенные, непрерывные, индивидуальные",Общее с театром
6,Включать подтекст,Да,дискурс,"Показывай, не рассказывай","постепенные, латентные, индивидуальные",Уникально для драматургии
7,Адаптировать исходный материал,Да,содержание,Верность и новаторство,"возможные, экзогенные, непрерывные",Аналогично переводам
8,Писать действия,Да,поведение,Ясность и краткость,"постепенные, индивидуальные, непрерывные",Уникально для сценариев
9,Структурировать сцены,Да,структура,Драматическая дуга,"цикличные, непрерывные, индивидуальные",Общее с театром
10,Вставлять переходы,Да,время/ритм,Монтажные указания,"дискретные, мгновенные, индивидуальные",Уникально для сценаристов
11,Переписывать черновики,Нет,содержание,Редактирование,"цикличные, непрерывные, индивидуальные",Общее с писательством
12,Разрабатывать дуги развития персонажей,Да,идентичность/границы,Рост персонажей,"постепенные, непрерывные, индивидуальные",Уникально для драматургии
13,Форматировать сценарий по стандарту индустрии,Да,нормы,Стандартизация,"необходимые, технические, индивидуальные",Общее с делопроизводством
14,Сотрудничать с продюсером/режиссёром,Да,отношения,Сотрудничество,"коллективные, непрерывные, каскадные",Уникально для кино
15,Регистрировать сценарий,Нет,институты,Авторское право,"дискретные, экзогенные, формальные",Уникально для правовых процедур
