№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разрабатывать творческое видение,Да,функция,Авторское видение,"постепенные, индивидуальные, непрерывные",Уникально для режиссуры
2,Набирать актёров,Да,отношения,Кастинг,"дискретные, коллективные, непрерывные",Уникально для кино
3,Проводить репетиции,Да,поведение,Репетиция,"постепенные, коллективные, непрерывные",Общее с театром
4,Ставить мизансцены,Да,пространство,Блокировка,"дискретные, коллективные, непрерывные",Уникально для режиссуры
5,Сотрудничать с оператором,Да,отношения,Сотрудничество,"коллективные, непрерывные, каскадные",Уникально для кино
6,Руководить игрой актёров,Да,поведение,Направление актёров,"постепенные, индивидуальные, непрерывные",Уникально для режиссуры
7,Определять углы камеры,Да,пространство,Визуальная грамматика,"дискретные, технические, непрерывные",Общее с кинематографией
8,Контролировать продакшн-дизайн,Да,символы,Мизансцена,"постепенные, коллективные, непрерывные",Уникально для режиссуры
9,Управлять рабочим процессом на площадке,Да,структура,Эффективность,"коллективные, непрерывные, каскадные",Уникально для режиссуры
10,Оценивать ежедневные съемки,Да,память/наследие,Контроль качества,"постепенные, индивидуальные, непрерывные",Уникально для режиссуры
11,Давать обратную связь монтажеру,Да,отношения,Сотрудничество,"коллективные, непрерывные, каскадные",Уникально для кино
12,Контролировать звукозапись,Да,технология/инфраструктура,Качество звука,"постепенные, технические, непрерывные",Общее с звукодизайном
13,Корректировать режиссуру во время производства,Да,поведение,Гибкость,"постепенные, непрерывные, индивидуальные",Уникально для творчества
14,Контролировать цветокоррекцию и постпродакшен,Да,состояние,Постпродакшен,"постепенные, технические, непрерывные",Уникально для режиссуры
15,Продвигать фильм,Да,экономика/обмен,Маркетинг,"экзогенные, непрерывные, коллективные",Общее с продвижением
