№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализировать структуру повествования,Да,дискурс,Трехактная структура,"постепенные, индивидуальные, латентные",Уникально для теории кино
2,Изучать мизансцену,Да,пространство,Теория мизансцены,"необходимые, наблюдательные, индивидуальные",Общее с кинематографией
3,Применять жанровую теорию,Да,нормы,Жанровые конвенции,"возможные, дискретные, индивидуальные",Аналогично культурологии
4,Критиковать эстетику кинематографии,Да,символы,Визуальная семиотика,"постепенные, индивидуальные, экзогенные",Общее с искусствоведением
5,Интерпретировать идеологические сообщения,Да,ценности,Культурная критика,"постепенные, коллективные, латентные",Аналогично культурологии
6,Применять теорию автора (auteur),Да,идентичность/границы,Авторская теория,"необходимые, индивидуальные, непрерывные",Уникально для кино
7,Исследовать психоаналитическую теорию кино,Да,память/наследие,Фрейдизм,"возможные, латентные, индивидуальные",Аналогично психологии
8,Оценивать феминистскую/квир-теорию,Да,нормы,Феминистская критика,"неформальные, коллективные, постепенные",Общее с гендерными исследованиями
9,Оценивать позицию зрителя,Да,отношения,Аппаратная теория,"постепенные, индивидуальные, латентные",Уникально для теории кино
10,Изучать семиотику и знаки,Да,символы,Семиотика Пирса,"постепенные, непрерывные, индивидуальные",Общее с лингвистикой
11,Применять постмодернистскую теорию,Да,содержание,Постмодернизм,"возможные, дискретные, индивидуальные",Общее с культурологией
12,Изучать восприятие фильма,Да,поведение,Теория рецепции,"коллективные, постепенные, непрерывные",Аналогично психологии
13,Разрабатывать новые теоретические рамки,Нет,институты,Инновационные эвристики,"эндогенные, дискретные, коллективные",Уникально в научной сфере
14,Синтезировать междисциплинарные подходы,Да,отношения,Интердисциплинарность,"коллективные, непрерывные, каскадные",Общее с науками
15,Переоценивать канонические произведения,Да,память/наследие,Ревизионизм,"цикличные, постепенные, коллективные",Уникально для истории кино
