№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Бросать вызов нарративным конвенциям,Да,нормы,Формальный эксперимент,"возможные, непрерывные, творческие",Уникально для эксперимента
2,Исследовать нелинейный монтаж,Да,время/ритм,Нелинейность,"постепенные, непрерывные, индивидуальные",Общее с видеомонтажом
3,Манипулировать носителем фильма,Нет,тело/материя,Материальность,"дискретные, экспериментальные, индивидуальные",Уникально для авангарда
4,Использовать найденные кадры,Да,память/наследие,Коллаж,"постепенные, непрерывные, творческие",Общее с документаликой
5,Комбинировать лайв-экшен и анимацию,Да,технология/инфраструктура,Гибридизация,"возможные, непрерывные, индивидуальные",Общее с анимацией
6,Экспериментировать со звуком и изображением,Да,время/ритм,Диссоциация аудио-видео,"постепенные, непрерывные, творческие",Уникально для авангарда
7,Использовать абстрактные визуалы,Да,символы,Абстракция,"постепенные, непрерывные, индивидуальные",Общее с визуальным искусством
8,Использовать случайность,Да,процесс,Индетерминация,"случайные, непрерывные, индивидуальные",Уникально для экспериментального кино
9,Создавать структурный фильм,Нет,структура,Структурализм,"дискретные, predetermined, индивидуальные",Уникально для структурного кино
10,Использовать расширенное кино,Да,пространство,Расширенное кино,"коллективные, непрерывные, экзогенные",Уникально для перформанса
11,Бросать вызов восприятию зрителя,Да,поведение,Феноменология,"постепенные, непрерывные, латентные",Уникально для авангарда
12,Применять минимализм,Да,содержание,Минимализм,"постепенные, непрерывные, индивидуальные",Общее с искусством
13,Включать перформанс,Да,тело/материя,Хэппенинг,"коллективные, непрерывные, экзогенные",Общее с перформанс-артом
14,Использовать стробоскопическое мерцание,Да,время/ритм,Фликер-фильм,"постепенные, непрерывные, латентные",Уникально для авангарда
15,Использовать аналоговую видеообратную связь,Да,технология/инфраструктура,Обратная связь,"постепенные, непрерывные, экспериментальные",Общее с видеоартом
