№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Define audio vision,Да,отношения,принцип последовательности,явные,Уникальный
2,Design sound effects,Условно,функция,принцип адаптивности,неформальные,Аналоги существуют
3,Compose music themes,Нет,отношения,закон вероятностей,мгновенные,Аналоги существуют
4,Implement interactive music,Да,функция,принцип баланса,возможные,Уникальный
5,Integrate audio middleware,Условно,дискурс,принцип вовлечения,эндогенные,Уникальный
6,Design ambience layers,Условно,идентичность/границы,принцип честной игры,латентные,Уникальный
7,Implement adaptive music,Да,дискурс,принцип обратной связи,каскадные,Уникальный
8,Record foley sounds,Нет,институты,принцип последовательности,мгновенные,Уникальный
9,Mix audio channels,Да,значения,принцип последовательности,латентные,Аналоги существуют
10,Design user interface sounds,Условно,поведение,принцип адаптивности,неформальные,Уникальный
11,Record voice overs,Условно,символы,принцип честной игры,явные,Уникальный
12,Design character sounds,Нет,экономика/обмен,принцип обратной связи,континуальные,Аналоги существуют
13,Implement spatial audio,Да,поведение,принцип вовлечения,неформальные,Уникальный
14,Design environment soundscapes,Нет,символы,эвристика проб и ошибок,индивидуальные,Аналоги существуют
15,Implement dynamic mixing,Нет,тело/материя,принцип честной игры,дискретные,Аналоги существуют
16,Design weapon sounds,Условно,идентичность/границы,принцип сложности,институциональные,Уникальный
17,Implement interactive dialogue,Условно,идентичность/границы,закон вероятностей,мгновенные,Аналоги существуют
18,Design footstep sounds,Да,состояние,принцип сложности,неформальные,Уникальный
19,Implement occlusion effects,Нет,отношения,принцип последовательности,явные,Аналоги существуют
20,Design UI feedback sounds,Да,содержание,принцип баланса,коллективные,Уникальный
21,Implement compression techniques,Да,экономика/обмен,принцип развлечения,институциональные,Аналоги существуют
22,Design object collisions,Условно,технология/инфраструктура,принцип честной игры,эндогенные,Аналоги существуют
23,Implement real-time mixing,Условно,технология/инфраструктура,принцип вовлечения,латентные,Аналоги существуют
24,Design dynamic reverbs,Нет,тело/материя,принцип вовлечения,дискретные,Уникальный
25,Implement volume balancing,Условно,значения,принцип развлечения,дискретные,Аналоги существуют
26,Design audio cues,Да,технология/инфраструктура,закон вероятностей,дискретные,Аналоги существуют
27,Implement surround sound,Нет,дискурс,принцип честной игры,эндогенные,Аналоги существуют
28,Design enemy sounds,Да,значения,принцип последовательности,цикличные,Уникальный
29,Implement audio triggers,Да,структура,принцип сложности,возможные,Аналоги существуют
30,Design ambient loops,Условно,экономика/обмен,принцип последовательности,постепенные,Уникальный
31,Implement audio optimization,Нет,поведение,принцип вовлечения,коллективные,Аналоги существуют
32,Design dynamic filters,Условно,поведение,принцип честной игры,необходимые,Уникальный
33,Implement audio states,Условно,дискурс,закон вероятностей,латентные,Уникальный
34,Design dynamic intensity,Условно,память/наследие,принцип адаптивности,континуальные,Аналоги существуют
35,Implement audio layering,Нет,технология/инфраструктура,принцип развлечения,эндогенные,Аналоги существуют
36,Design sound libraries,Да,значения,принцип обратной связи,каскадные,Аналоги существуют
37,Implement randomization in audio,Да,функция,принцип честной игры,эндогенные,Уникальный
38,Design audio transitions,Нет,структура,принцип последовательности,эндогенные,Уникальный
39,Implement event-based sounds,Да,экономика/обмен,закон вероятностей,индивидуальные,Аналоги существуют
40,Design dynamic EQ,Условно,институты,принцип минимальной достаточности,возможные,Аналоги существуют
41,Implement audio streaming,Да,экономика/обмен,принцип обратной связи,индивидуальные,Аналоги существуют
42,Design wind and weather sounds,Условно,тело/материя,принцип последовательности,постепенные,Уникальный
43,Implement interactive stingers,Нет,институты,принцип адаптивности,экзогенные,Аналоги существуют
44,Design voice direction,Условно,функция,принцип вовлечения,возможные,Аналоги существуют
45,Implement audio occlusion,Условно,институты,закон вероятностей,экзогенные,Аналоги существуют
46,Design positional audio,Нет,символы,принцип последовательности,индивидуальные,Уникальный
47,Implement crossfades,Условно,отношения,принцип вовлечения,явные,Аналоги существуют
48,Design interactive props,Да,состояние,эвристика проб и ошибок,мгновенные,Уникальный
49,Implement parameter-driven mixing,Да,идентичность/границы,принцип последовательности,необходимые,Аналоги существуют
