№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Adjust damage values,Нет,структура,принцип последовательности,каскадные,Уникальный
2,Tune enemy health,Да,нормы,принцип минимальной достаточности,континуальные,Аналоги существуют
3,Balance resource generation,Да,нормы,эвристика проб и ошибок,коллективные,Аналоги существуют
4,Adjust player health regen,Условно,нормы,принцип адаптивности,возможные,Аналоги существуют
5,Tune ability cooldowns,Нет,память/наследие,принцип вовлечения,континуальные,Уникальный
6,Balance economy prices,Условно,структура,эвристика проб и ошибок,явные,Уникальный
7,Adjust reward frequency,Да,поведение,принцип адаптивности,постепенные,Аналоги существуют
8,Balance difficulty progression,Нет,функция,принцип вовлечения,постепенные,Уникальный
9,Tune AI difficulty,Условно,отношения,принцип обратной связи,коллективные,Аналоги существуют
10,Balance risk-reward ratios,Условно,память/наследие,принцип минимальной достаточности,экзогенные,Уникальный
11,Adjust drop rates,Нет,значения,принцип развлечения,мгновенные,Уникальный
12,Balance weapon stats,Нет,поведение,принцип развлечения,индивидуальные,Уникальный
13,Tune character classes,Условно,функция,принцип развлечения,каскадные,Уникальный
14,Adjust leveling speed,Условно,экономика/обмен,принцип сложности,институциональные,Уникальный
15,Balance multiplayer matchmaking,Да,память/наследие,принцип сложности,явные,Аналоги существуют
16,Tune spawn points,Нет,символы,принцип оптимизации,институциональные,Аналоги существуют
17,Balance skill requirements,Да,значения,принцип адаптивности,цикличные,Аналоги существуют
18,Adjust punishment severity,Условно,функция,принцип обратной связи,мгновенные,Аналоги существуют
19,Tune time limits,Да,институты,принцип адаптивности,цикличные,Аналоги существуют
20,Balance scoring system,Нет,функция,принцип сложности,цикличные,Аналоги существуют
21,Adjust random events,Да,память/наследие,принцип последовательности,возможные,Аналоги существуют
22,Balance defensive vs offensive options,Да,память/наследие,принцип развлечения,континуальные,Аналоги существуют
23,Adjust resource scarcity,Да,пространство,принцип развлечения,цикличные,Аналоги существуют
24,Tune progression rewards,Нет,отношения,принцип вовлечения,коллективные,Аналоги существуют
25,Balance event frequency,Нет,институты,принцип адаптивности,цикличные,Уникальный
26,Adjust upgrade costs,Условно,технология/инфраструктура,принцип минимальной достаточности,дискретные,Уникальный
27,Balance ability power,Условно,институты,принцип сложности,цикличные,Аналоги существуют
28,Tune randomness impact,Условно,функция,эвристика проб и ошибок,явные,Аналоги существуют
29,Adjust enemy respawn time,Нет,поведение,принцип вовлечения,возможные,Аналоги существуют
30,Balance scaling,Да,нормы,принцип адаптивности,континуальные,Уникальный
31,Adjust bonus multipliers,Нет,содержание,принцип вовлечения,необходимые,Аналоги существуют
32,Tune power-ups effect,Нет,отношения,принцип баланса,возможные,Уникальный
33,Balance hero roles,Нет,пространство,принцип сложности,коллективные,Уникальный
34,Adjust map advantages,Условно,технология/инфраструктура,принцип сложности,каскадные,Аналоги существуют
35,Tune energy consumption,Условно,содержание,принцип баланса,постепенные,Аналоги существуют
36,Balance cooperative mechanics,Нет,память/наследие,принцип адаптивности,постепенные,Аналоги существуют
37,Adjust friendly fire,Нет,институты,принцип минимальной достаточности,постепенные,Аналоги существуют
38,Tune stealth difficulty,Нет,структура,эвристика проб и ошибок,возможные,Аналоги существуют
39,Adjust stamina costs,Да,память/наследие,принцип минимальной достаточности,эндогенные,Аналоги существуют
40,Balance achievement requirements,Да,символы,принцип минимальной достаточности,дискретные,Уникальный
41,Tune boss difficulty,Условно,идентичность/границы,принцип минимальной достаточности,экзогенные,Аналоги существуют
42,Balance minigame rewards,Условно,структура,принцип адаптивности,экзогенные,Аналоги существуют
43,Adjust environmental hazards difficulty,Да,нормы,принцип вовлечения,явные,Аналоги существуют
44,Tune AI spawn frequency,Да,время/ритм,принцип оптимизации,цикличные,Уникальный
45,Balance campaign vs side content,Условно,дискурс,принцип последовательности,постепенные,Аналоги существуют
46,Adjust survival requirements,Условно,память/наследие,эвристика проб и ошибок,коллективные,Уникальный
47,Tune skill tree paths,Нет,тело/материя,принцип честной игры,континуальные,Аналоги существуют
48,Balance trade-offs,Условно,поведение,принцип вовлечения,латентные,Аналоги существуют
49,Adjust negative feedback,Да,экономика/обмен,принцип адаптивности,явные,Аналоги существуют
50,Balance dynamic difficulty,Условно,значения,закон вероятностей,постепенные,Аналоги существуют
