№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Identify target behaviors,Да,поведение,принцип оптимизации,возможные,Аналоги существуют
2,Define game goals,Нет,тело/материя,принцип минимальной достаточности,возможные,Аналоги существуют
3,Design point system,Да,экономика/обмен,эвристика проб и ошибок,необходимые,Уникальный
4,Create badges,Условно,пространство,принцип развлечения,индивидуальные,Уникальный
5,Implement leaderboards,Нет,символы,принцип честной игры,цикличные,Аналоги существуют
6,Provide feedback loops,Да,значения,принцип последовательности,необходимые,Аналоги существуют
7,Design challenges,Да,отношения,принцип сложности,экзогенные,Уникальный
8,Implement levels,Нет,тело/материя,принцип минимальной достаточности,мгновенные,Аналоги существуют
9,Use narrative context,Условно,идентичность/границы,принцип адаптивности,континуальные,Уникальный
10,Design virtual rewards,Условно,структура,принцип честной игры,постепенные,Уникальный
11,Provide social sharing,Да,структура,принцип оптимизации,континуальные,Аналоги существуют
12,Implement streaks,Нет,память/наследие,принцип вовлечения,неформальные,Аналоги существуют
13,Design quests,Нет,поведение,принцип оптимизации,мгновенные,Уникальный
14,Integrate progress bars,Нет,нормы,принцип оптимизации,континуальные,Аналоги существуют
15,Implement time-limited tasks,Условно,институты,принцип оптимизации,коллективные,Уникальный
16,Design avatars,Условно,дискурс,закон вероятностей,явные,Аналоги существуют
17,Use competition mechanics,Условно,институты,закон вероятностей,возможные,Уникальный
18,Implement random rewards,Условно,идентичность/границы,принцип обратной связи,эндогенные,Аналоги существуют
19,Design missions,Нет,экономика/обмен,принцип обратной связи,латентные,Уникальный
20,Provide tangible rewards,Условно,поведение,принцип честной игры,возможные,Уникальный
21,Use collaboration mechanics,Условно,символы,эвристика проб и ошибок,экзогенные,Уникальный
22,Provide personalized goals,Условно,отношения,принцип развлечения,экзогенные,Уникальный
23,Implement training modules,Условно,пространство,эвристика проб и ошибок,континуальные,Аналоги существуют
24,Use storytelling,Да,тело/материя,принцип последовательности,дискретные,Уникальный
25,Design social recognition,Да,память/наследие,закон вероятностей,институциональные,Уникальный
26,Provide feedback badges,Нет,тело/материя,принцип последовательности,явные,Аналоги существуют
27,Implement cooperative tasks,Да,память/наследие,принцип последовательности,латентные,Уникальный
28,Use quests sequences,Нет,содержание,принцип сложности,неформальные,Уникальный
29,Design surprise elements,Нет,пространство,принцип минимальной достаточности,каскадные,Аналоги существуют
30,Implement loyalty tiers,Нет,время/ритм,принцип последовательности,коллективные,Аналоги существуют
31,Provide mentoring systems,Да,тело/материя,принцип развлечения,неформальные,Уникальный
32,Use puzzles,Нет,тело/материя,закон вероятностей,постепенные,Уникальный
33,Design achievements,Нет,значения,принцип последовательности,постепенные,Уникальный
34,Integrate real-world rewards,Да,дискурс,закон вероятностей,необходимые,Аналоги существуют
35,Provide progress tracking,Условно,пространство,принцип сложности,неформальные,Уникальный
36,Use gamified onboarding,Нет,экономика/обмен,принцип адаптивности,институциональные,Уникальный
37,Implement user-generated content,Да,экономика/обмен,принцип обратной связи,континуальные,Аналоги существуют
38,Design social comparisons,Нет,значения,принцип баланса,индивидуальные,Аналоги существуют
39,Provide community support,Нет,дискурс,принцип адаптивности,возможные,Аналоги существуют
40,Use scarcity mechanics,Условно,функция,принцип баланса,дискретные,Уникальный
41,Design skill trees,Да,идентичность/границы,принцип оптимизации,континуальные,Уникальный
42,Implement experience points,Условно,поведение,эвристика проб и ошибок,институциональные,Аналоги существуют
43,Provide team challenges,Нет,значения,закон вероятностей,мгновенные,Уникальный
44,Use micro-learning modules,Нет,поведение,принцип оптимизации,дискретные,Аналоги существуют
45,Implement badges for milestones,Нет,время/ритм,принцип последовательности,латентные,Аналоги существуют
46,Design weekly challenges,Да,пространство,принцип последовательности,возможные,Уникальный
47,Use memory games,Условно,содержание,принцип баланса,явные,Аналоги существуют
48,Provide adaptive difficulty,Нет,структура,принцип вовлечения,коллективные,Аналоги существуют
49,Implement referral rewards,Условно,дискурс,принцип сложности,неформальные,Аналоги существуют
50,Create unlocking mechanisms,Нет,функция,закон вероятностей,коллективные,Аналоги существуют
