№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Develop world backstory,Да,отношения,принцип адаптивности,латентные,Аналоги существуют
2,Create character arcs,Условно,дискурс,эвристика проб и ошибок,индивидуальные,Аналоги существуют
3,Craft plot structure,Условно,тело/материя,принцип последовательности,постепенные,Аналоги существуют
4,Write dialogue trees,Да,тело/материя,закон вероятностей,цикличные,Уникальный
5,Design branching narratives,Да,экономика/обмен,закон вероятностей,мгновенные,Аналоги существуют
6,Define lore consistency,Нет,институты,принцип честной игры,экзогенные,Аналоги существуют
7,Develop NPC personalities,Нет,институты,принцип сложности,индивидуальные,Аналоги существуют
8,Integrate narrative with gameplay,Нет,память/наследие,принцип последовательности,континуальные,Аналоги существуют
9,Design side quests,Условно,состояние,принцип адаптивности,мгновенные,Аналоги существуют
10,Design moral choices,Да,технология/инфраструктура,принцип минимальной достаточности,постепенные,Аналоги существуют
11,Implement story pacing,Нет,нормы,принцип вовлечения,экзогенные,Аналоги существуют
12,Create cutscene scripts,Нет,структура,принцип минимальной достаточности,латентные,Уникальный
13,Develop narrative tone,Условно,дискурс,принцип развлечения,постепенные,Аналоги существуют
14,Design quest rewards,Условно,значения,принцип развлечения,неформальные,Аналоги существуют
15,Design player agency points,Условно,символы,принцип обратной связи,континуальные,Аналоги существуют
16,Write character backstories,Нет,память/наследие,принцип последовательности,латентные,Аналоги существуют
17,Create plot twists,Условно,время/ритм,принцип оптимизации,неформальные,Аналоги существуют
18,Design narrative UI,Условно,состояние,закон вероятностей,дискретные,Аналоги существуют
19,Implement memory sequences,Условно,идентичность/границы,принцип баланса,неформальные,Аналоги существуют
20,Develop interactive storytelling,Нет,память/наследие,принцип оптимизации,институциональные,Аналоги существуют
21,Design endings variations,Да,нормы,принцип оптимизации,дискретные,Аналоги существуют
22,Write in-game journals,Условно,содержание,принцип адаптивности,каскадные,Уникальный
23,Develop voice-over scripts,Да,пространство,принцип оптимизации,каскадные,Уникальный
24,Design environmental storytelling,Условно,символы,принцип адаптивности,каскадные,Аналоги существуют
25,Implement dialog options,Да,институты,принцип баланса,эндогенные,Аналоги существуют
26,Develop conversation triggers,Нет,тело/материя,принцип сложности,каскадные,Аналоги существуют
27,Integrate voice acting,Да,содержание,принцип честной игры,институциональные,Уникальный
28,Design narrative foreshadowing,Да,память/наследие,принцип сложности,коллективные,Аналоги существуют
29,Create antagonist motives,Условно,память/наследие,принцип развлечения,неформальные,Аналоги существуют
30,Design romance options,Условно,дискурс,принцип обратной связи,экзогенные,Уникальный
31,Develop moral dilemmas,Нет,пространство,принцип обратной связи,возможные,Аналоги существуют
32,Write item descriptions,Да,значения,принцип вовлечения,необходимые,Уникальный
33,Design narrative puzzles,Да,дискурс,принцип обратной связи,коллективные,Уникальный
34,Implement flashback sequences,Нет,время/ритм,закон вероятностей,неформальные,Аналоги существуют
35,Develop narrative arcs for DLC,Нет,тело/материя,принцип минимальной достаточности,латентные,Аналоги существуют
36,Write side character arcs,Условно,память/наследие,принцип баланса,каскадные,Уникальный
37,Design narrative achievements,Условно,значения,принцип честной игры,неформальные,Уникальный
38,Create hidden lore,Условно,идентичность/границы,закон вероятностей,постепенные,Уникальный
39,Implement narrative gating,Да,технология/инфраструктура,принцип оптимизации,экзогенные,Аналоги существуют
40,Write faction histories,Нет,пространство,принцип сложности,континуальные,Аналоги существуют
41,Design narrative branches,Да,институты,закон вероятностей,экзогенные,Уникальный
42,Integrate cinematics,Нет,состояние,эвристика проб и ошибок,коллективные,Аналоги существуют
43,Develop interactive cutscenes,Нет,состояние,принцип последовательности,возможные,Уникальный
44,Write codex entries,Условно,состояние,принцип честной игры,каскадные,Аналоги существуют
45,Design event triggers,Нет,институты,принцип честной игры,явные,Аналоги существуют
46,Implement narrative feedback,Условно,дискурс,принцип честной игры,мгновенные,Аналоги существуют
47,Develop protagonist goals,Условно,тело/материя,принцип вовлечения,дискретные,Уникальный
48,Create timeline consistency,Условно,технология/инфраструктура,эвристика проб и ошибок,постепенные,Аналоги существуют
49,Design epilogues,Да,поведение,принцип оптимизации,институциональные,Аналоги существуют
