№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сбор данных о выступлениях,Да,содержание,датчики и видеосъемка,экзогенные;дискретные,Уникально для аналитики
2,Очистка и нормализация данных,Да,содержание,статистическая обработка,экзогенные;дискретные,Уникально
3,Разработка метрик эффективности,Да,значения,метрический дизайн,экзогенные;дискретные,Пересечение с тренерской теорией
4,Анализ двигательной активности (GPS/IMU),Да,поведение,кинетическая аналитика,экзогенные;дискретные,Пересечение с биомеханикой
5,Моделирование вероятности исходов,Да,функция,предиктивное моделирование,экзогенные;дискретные,Пересечение с тактикой
6,Оптимизация тактики на основе данных,Да,поведение,алгоритмическая оптимизация,коллективные;постепенные,Пересечение с тактикой
7,Анализ рисков и травматизма,Да,состояние,регрессионный анализ,экзогенные;дискретные,Пересечение с спортмедициной
8,Мониторинг тренировочного прогресса,Да,содержание,панели мониторинга,экзогенные;дискретные,Пересечение с тренировкой
9,Визуализация данных и отчёты,Да,содержание,информационный дизайн,экзогенные;дискретные,Уникально
10,"Интеграция разных источников данных (видео, датчики, GPS)",Да,технология/инфраструктура,системная интеграция,экзогенные;постепенные,Пересечение с биомеханикой и тактикой
11,Анализ психофизиологических параметров,Да,состояние,мультифакторный анализ,экзогенные;дискретные,Пересечение с физиологией и психологией
12,Прогнозирование производительности игроков,Да,функция,машинное обучение,экзогенные;постепенные,Уникально
13,Оптимизация составов и замен,Да,институты,решение задач с ограничениями,экзогенные;дискретные,Пересечение с тактикой
14,Обнаружение закономерностей в игровых ситуациях,Да,отношения,кластерный анализ,экзогенные;дискретные,Пересечение с тактикой
15,Расчёт экономической эффективности инвестиций в спортсменов,Да,экономика/обмен,ROI-аналитика,экзогенные;дискретные,Пересечение с бизнесом и менеджментом
