№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Диагностика спортивных травм,Да,функция,клиническая оценка,экзогенные;дискретные,Уникально
2,Консервативное лечение повреждений,Условно,функция,медико-биологические принципы,индивидуальные;постепенные,Пересечение с физиологией
3,Оперативное вмешательство,Нет,тело/материя,хирургические техники,экзогенные;дискретные,Уникально
4,Реабилитация после травм,Да,поведение,принцип постепенной нагрузки,индивидуальные;постепенные,Пересечение с физиологией
5,Профилактика травм,Да,нормы,принципы безопасности,индивидуальные;коллективные;постепенные,Пересечение с биомеханикой
6,Фармакологическая поддержка и антидопинговый контроль,Да,институты,этические стандарты,институциональные;дискретные,Уникально
7,Использование физиотерапии и мануальной терапии,Да,функция,рефлекторные механизмы,индивидуальные;постепенные,Пересечение с физиологией
8,Медицинский осмотр и скрининг спортсменов,Да,состояние,превентивная медицина,индивидуальные;дискретные,Уникально
9,Разработка программ восстановления,Да,время/ритм,периодизация восстановления,индивидуальные;постепенные,Пересечение с тренировкой
10,Тестирование на наличие хронических заболеваний,Да,состояние,ранее выявление,индивидуальные;дискретные,Пересечение с общим здравоохранением
11,Исследование влияния питания на здоровье,Да,содержание,метаболизм,индивидуальные;постепенные,Пересечение с питанием
12,Введение вакцинации для предотвращения инфекций,Да,нормы,общественное здравоохранение,коллективные;дискретные;институциональные,Пересечение с медициной
13,Контроль нагрузки и перетренированности,Условно,состояние,индекс усталости,индивидуальные;постепенные,Пересечение с физиологией и психологией
14,Ранняя диагностика переломов стрессового типа,Да,структура,изотопные методы,экзогенные;дискретные,Уникально
15,Разработка программ безопасного возвращения к спорту,Да,поведение,критерии возврата,индивидуальные;постепенные,Пересечение с тренировкой
