№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разработка индивидуального плана питания,Да,содержание,энергетический баланс,индивидуальные;постепенные,Уникально для питания
2,Карбо‑загрузка перед соревнованием,Условно,состояние,суперкомпенсация гликогена,индивидуальные;дискретные,Пересечение с физиологией
3,Периодизация потребления белков,Да,содержание,протеиновый синтез,индивидуальные;постепенные,Пересечение с тренировкой
4,Гидратационные стратегии,Да,состояние,водно-солевой баланс,индивидуальные;континуальные,Уникально
5,Приём витаминов и минералов,Да,содержание,микроэлементы,индивидуальные;дискретные,Пересечение с медициной
6,"Использование спортивных добавок (креатин, BCAA)",Условно,содержание,эргогенные средства,индивидуальные;дискретные,Пересечение с физиологией
7,Манипуляции углеводами для регулирования веса,Условно,состояние,гликемический контроль,индивидуальные;постепенные,Пересечение с психологией
8,Питание для восстановления после нагрузок,Да,функция,окно восстановления,индивидуальные;дискретные,Пересечение с тренировкой
9,Принципы интуитивного питания у спортсменов,Да,поведение,авторегуляция,индивидуальные;постепенные,Пересечение с психология
10,Ротация продуктов для избежания дефицитов,Да,содержание,баланс микронутриентов,индивидуальные;постепенные,Уникально
11,Контроль пищеварительной переносимости,Да,состояние,гастроинтестинальное здоровье,индивидуальные;постепенные,Пересечение с медициной
12,Разработка растительной диеты для спортсменов,Да,содержание,альтернативные источники,индивидуальные;постепенные,Уникально
13,Настройка временного окна питания (intermittent fasting),Условно,время/ритм,метаболическая гибкость,индивидуальные;постепенные,Пересечение с физиологией
14,Обучение чтению этикеток и составу продуктов,Да,значения,потребительская грамотность,индивидуальные;постепенные,Пересечение с педагогикой
15,Коммуникация с диетологом и врачом,Да,отношения,мультидисциплинарный подход,индивидуальные;постепенные,Пересечение с медициной
