№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Демонстрация правильной техники упражнения,Да,поведение,наглядное обучение,индивидуальные;неформальные;мгновенные,Уникально
2,Планирование урока по физической культуре,Да,содержание,методический подход,индивидуальные;постепенные,Пересечение с тренировочной теорией
3,Использование обратной связи для коррекции навыков,Да,отношения,педагогическая коммуникация,коллективные;мгновенные,Пересечение с психологией
4,Оценивание прогресса учащихся,Да,состояние,формирующее оценивание,индивидуальные;дискретные,Пересечение с аналитикой
5,Создание мотивационной среды,Да,отношения,самоопределение,коллективные;постепенные,Пересечение с психологией
6,Приспособление упражнений под возрастные особенности,Да,тело/материя,возрастная анатомия,индивидуальные;постепенные,Уникально
7,Развитие кооперативных навыков через командные игры,Да,поведение,социальное обучение,коллективные;постепенные,Пересечение с социологией
8,Использование технологий для обучения движению,Да,технология/инфраструктура,мультимодальные средства,индивидуальные;экзогенные;дискретные,Пересечение с аналитикой
9,Разработка безопасной учебной среды,Да,нормы,предупредительные меры,коллективные;постепенные,Пересечение с спортмедициной
10,Поощрение самостоятельности и самооценки,Да,идентичность/границы,рефлексия,индивидуальные;постепенные,Пересечение с психологией
11,Внедрение инклюзивных практик,Да,отношения,равные возможности,коллективные;постепенные,Пересечение с адаптивным спортом
12,Комбинация теории и практики,Да,содержание,конструктивизм,индивидуальные;постепенные,Уникально
13,Организация соревнований и показательных выступлений,Да,пространство,проектный метод,коллективные;дискретные,Пересечение с тактикой
14,Учёт культурного контекста в обучении,Да,значения,культурный релятивизм,коллективные;постепенные,Уникально
15,Адаптация методик на основе обратной связи от участников,Да,содержание,рефлексивный цикл,индивидуальные;постепенные,Пересечение с тренерской теорией
