№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разработка стратегического плана на сезон,Да,содержание,SWOT-анализ,коллективные;постепенные,Уникально для стратегии
2,Анализ сильных и слабых сторон команды,Да,содержание,диагностика,коллективные;дискретные,Пересечение с аналитикой
3,Построение игровой схемы,Да,структура,пространственно-временная организация,коллективные;мгновенные,Пересечение с тренерской теорией
4,Разработка тактических шаблонов,Да,поведение,шаблонные решения,коллективные;постепенные,Уникально
5,"Подготовка стандартных положений (штрафные, угловые)",Да,поведение,специализация,коллективные;неформальные;дискретные,Пересечение с педагогикой
6,Корректировка стратегии по ходу игры,Да,поведение,адаптивность,коллективные;мгновенные,Пересечение с аналитикой
7,Определение состава и ротации игроков,Да,институты,ролевой баланс,коллективные;постепенные,Уникально
8,Использование психологических уловок,Условно,поведение,манипуляция вниманием,индивидуальные;коллективные;мгновенные,Пересечение с психология
9,Анализ поведения соперника,Да,содержание,противодействие,экзогенные;дискретные,Пересечение с аналитикой
10,Регулирование темпа и ритма игры,Да,время/ритм,контроль темпа,коллективные;мгновенные,Пересечение с физиологией
11,Принятие решения о замене игроков,Да,функция,оптимизация ресурса,коллективные;мгновенные,Уникально
12,Анализ эффективности тактики после матча,Да,содержание,ретроспективный анализ,коллективные;дискретные,Пересечение с аналитикой
13,Разработка сценариев для различных погодных условий,Да,поведение,компенсационные стратегии,коллективные;постепенные,Пересечение с биомеханикой и физиологией
14,Стратегия коммуникации тренера и команды,Да,отношения,лидерство и обратная связь,коллективные;мгновенные,Пересечение с педагогикой
15,Оптимизация использования времени тайм‑аутов,Да,время/ритм,распределение ресурсов,коллективные;дискретные,Уникально
