№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Планирование макроциклов,Да,время/ритм,периодизация,индивидуальные;постепенные,Уникально для теории тренировки
2,Построение мезоциклов и микроциклов,Да,время/ритм,циклический принцип,индивидуальные;постепенные,Пересечение с физиологией
3,Принцип прогрессивной нагрузки,Условно,функция,адаптационный стресс,индивидуальные;постепенные,Пересечение с физиологией
4,Принцип специфичности,Да,функция,специфика спорта,индивидуальные;неформальные,Уникально
5,Разработка кросс-тренинга,Да,поведение,вариабельность нагрузки,индивидуальные;постепенные,Пересечение с физиологией
6,Принцип вариабельности и разнообразия,Да,поведение,преодоление адаптации,индивидуальные;постепенные,Пересечение с психологией
7,Принцип суперкомпенсации,Да,функция,энергетический восстановительный цикл,индивидуальные;цикличные,Уникально
8,Тейперинг (снижение нагрузки перед соревнованием),Да,функция,экономия энергии,индивидуальные;постепенные,Уникально
9,Мониторинг и анализ тренировочной нагрузки,Да,содержание,объективная и субъективная оценка,индивидуальные;экзогенные;дискретные,Пересечение с аналитикой
10,Комбинация общеразвивающих и специальных упражнений,Да,функция,баланс развития,индивидуальные;постепенные,Пересечение с физиологией
11,Оценка факторов восстановления,Да,состояние,гомеостаз,индивидуальные;постепенные,Пересечение с медициной
12,Адаптация к психическим нагрузкам,Условно,поведение,психическое напряжение,индивидуальные;постепенные,Пересечение с психология
13,"Интеграция технической, тактической и физической подготовки",Да,функция,системный подход,индивидуальные;коллективные,Пересечение с тактикой и педагогикой
14,Контроль отдаленных эффектов тренировки (детренирование),Да,состояние,откат адаптации,индивидуальные;постепенные,Уникально
15,Применение обратной связи от спортсмена,Да,отношения,тренер-спортсмен взаимодействие,коллективные;мгновенные,Пересечение с педагогикой и психологией
