№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Картирование стадий развития на мышечные паттерны,Да,структура,развитие,необходимые; дискретные; индивидуальные; явные,Особенность бодинамики
2,Оценка эго-функций в семи стадиях,Да,функция,эго-анализ,необходимые; дискретные; индивидуальные; явные,
3,Идентификация характерных структур через позу,Да,тело/материя,постурология,возможные; дискретные; индивидуальные; явные,
4,"Работа с правами развития (существование, потребность, автономия и др.)",Да,ценности,право на развитие,возможные; постепенные; индивидуальные; явные,
5,"Разрешение защит, возникших из-за стрессов развития",Условно,идентичность/границы,разоружение,возможные; постепенные; индивидуальные; явные,
6,Развитие взаимной связи через движение,Да,отношения,взаимность,возможные; континуальные; коллективные; явные,
7,Укрепление недоразвитых мышц,Да,тело/материя,мышечное укрепление,возможные; постепенные; индивидуальные; явные,
8,Интеграция психологических инсайтов в физиотерапию,Да,институты,междисциплинарность,возможные; континуальные; коллективные; явные,
9,Работа с паттернами взаимодействия через тело,Да,отношения,психотелесный подход,возможные; постепенные; коллективные; явные,
10,Использование контакта и упражнений на границы,Да,идентичность/границы,границы,возможные; дискретные; коллективные; явные,
11,Обучение новых моделей межличностного общения,Да,отношения,коммуникация,возможные; континуальные; коллективные; явные,
12,Балансирование прав на достижение и солидарность,Да,ценности,баланс,возможные; постепенные; индивидуальные; явные,
13,Работа с эмоциональным бронированием,Условно,состояние,освобождение,возможные; постепенные; индивидуальные; явные,
14,Повышение устойчивости путем репаттернинга мышц,Да,функция,репаттернинг,возможные; постепенные; индивидуальные; явные,
15,Применение бодинамики в работе с группами,Да,отношения,групповая динамика,возможные; дискретные; коллективные; явные,
