№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Использование ментальных образов для выравнивания,Да,поведение,воображение,возможные; дискретные; индивидуальные; явные,Идеокинезис
2,Визуализация скелета для улучшения осанки,Да,структура,анатомическая визуализация,возможные; дискретные; индивидуальные; явные,
3,Представление себя вращающимся волчком для улучшения пируэтов,Да,поведение,метафора,возможные; дискретные; индивидуальные; явные,
4,Идеокинетические образы во время отдыха,Да,состояние,внутреннее обучение,возможные; континуальные; индивидуальные; явные,
5,Интеграция образов с функциональным движением,Да,функция,интеграция,возможные; постепенные; индивидуальные; явные,
6,Обучение новым мышечным паттернам через воображение,Да,функция,нейромоторное обучение,возможные; постепенные; индивидуальные; явные,
7,Уменьшение мышечного напряжения через образы,Да,тело/материя,релаксация,возможные; континуальные; индивидуальные; явные,
8,Ментальная репетиция хореографии,Да,память/наследие,репетиция,возможные; дискретные; индивидуальные; явные,
9,Связывание кинестетического ощущения с визуальными образами,Да,состояние,сенсомоторное связывание,возможные; континуальные; индивидуальные; явные,
10,Обучение клиентов созданию персональных образов,Да,нормы,коучинг,возможные; дискретные; индивидуальные; явные,
11,Применение идеокинезиса в реабилитации,Да,функция,реабилитация,возможные; постепенные; индивидуальные; явные,
12,Сочетание дыхания и образов,Да,время/ритм,дыхание,возможные; континуальные; индивидуальные; явные,
13,Фокус на течении энергии через тело,Да,состояние,энергетический поток,возможные; континуальные; индивидуальные; латентные,
14,Воображение линий поддержки для улучшения баланса,Да,идентичность/границы,линия поддержки,возможные; дискретные; индивидуальные; явные,
15,Использование метафорических образов (миска с водой и т.д.),Да,символы,метафора,возможные; дискретные; индивидуальные; явные,
