№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оценка состояния нервной системы (борьба/бегство/замирание),Да,состояние,психофизиологическая оценка,необходимые; дискретные; индивидуальные; явные,Относится к SE
2,Отслеживание ощущений для развития интероцептивной осознанности,Да,состояние,интероцепция,возможные; континуальные; индивидуальные; явные,
3,Титрация высвобождения травматической энергии,Да,состояние,титрация,возможные; постепенные; индивидуальные; явные,
4,Маятниковое перемещение между комфортом и дискомфортом,Да,время/ритм,маятник,возможные; дискретные; индивидуальные; явные,
5,Завершение оборонительных реакций,Да,поведение,завершение,возможные; дискретные; индивидуальные; явные,
6,Разрядка энергии выживания через дрожь,Да,тело/материя,дрожь,возможные; постепенные; индивидуальные; явные,
7,Ресурсирование позитивных ощущений,Да,состояние,ресурс,возможные; континуальные; индивидуальные; явные,
8,Заземление и ориентирование в настоящем,Да,пространство,заземление,необходимые; мгновенные; индивидуальные; явные,
9,Разрешение циклов активации и деактивации,Да,время/ритм,цикл,возможные; постепенные; индивидуальные; явные,
10,Отслеживание сигналов границы,Да,идентичность/границы,границы,возможные; континуальные; индивидуальные; явные,
11,Образовательная работа о физиологических реакциях,Да,знания,образование,возможные; дискретные; индивидуальные; явные,
12,Междисциплинарное сотрудничество,Да,институты,кооперация,возможные; континуальные; коллективные; явные,
13,Установление безопасности и согласия,Да,нормы,согласие,необходимые; мгновенные; индивидуальные; явные,
14,Повышение само-регуляции,Да,функция,саморегуляция,возможные; постепенные; индивидуальные; явные,
15,Интеграция культурных и традиционных практик,Да,культура/традиции,инклюзия,возможные; дискретные; коллективные; явные,
