№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание нового символа,Нет,символы,культурная инновация,индивидуальные/коллективные,аналог в антропологии
2,Забвение символа,Да,символы,культурная амнезия,коллективные/латентные,аналог в культурной антропологии
3,Переприсвоение символа,Да,символы,семиотическая реконфигурация,коллективные/латентные,аналог в семиотике
4,Создание мифа,Нет,значения,мифологизация,коллективные/латентные,аналог в мифологии
5,Разрушение мифа,Да,значения,демифологизация,коллективные/латентные,аналог в культурной критике
6,Формирование ритуала,Нет,поведение,ритуализация,коллективные/институциональные,аналог в антропологии
7,Упадок ритуала,Да,поведение,деритуализация,коллективные/латентные,аналог в истории культуры
8,Создание жанра,Нет,содержание,культурная дифференциация,коллективные/институциональные,аналог в литературоведении
9,Упадок жанра,Нет,содержание,культурная маргинализация,коллективные/постепенные,аналог в истории искусства
10,Переприсвоение жанра,Да,содержание,культурная рециклизация,коллективные/латентные,аналог в культурных исследованиях
11,Формирование канона,Нет,нормы,культурная легитимация,коллективные/институциональные,аналог в культурной социологии
12,Кризис канона,Да,нормы,делегитимация,коллективные/латентные,аналог в постмодернизме
13,Формирование контркультуры,Нет,структура,оппозиция,коллективные/неформальные,аналог в социологии девиации
14,Инкорпорация контркультуры,Да,структура,кооптация,коллективные/институциональные,аналог в культурной индустрии
15,Создание культурного мемa,Да,символы,меметика,индивидуальные/коллективные,аналог в цифровой культуре
16,Забвение культурного мемa,Да,символы,меметическая энтропия,коллективные/латентные,аналог в меметике
17,Культурная апроприация,Да,символы,перенос элементов культуры,коллективные/латентные,аналог в антропологии
18,Культурная гибридизация,Да,символы,смешение форм,коллективные/постепенные,аналог в культурной антропологии
19,Создание культурного кода,Нет,значения,семиотическая фиксация,коллективные/институциональные,аналог в семиотике
20,Эрозия культурного кода,Да,значения,размывание значений,коллективные/латентные,новый
21,Формирование стиля,Нет,символы,культурная артикуляция,индивидуальные/коллективные,аналог в искусствоведении
22,Забвение стиля,Да,символы,культурный сдвиг,коллективные/латентные,аналог в истории моды
23,Возрождение стиля,Да,символы,ретро-движение,коллективные/латентные,аналог в культурной социологии
24,Формирование субкультуры,Нет,структура,дифференциация,коллективные/неформальные,аналог в молодежных исследованиях
25,Упадок субкультуры,Нет,структура,распад,коллективные/латентные,аналог в культурологии
26,Коммодификация субкультуры,Да,структура,коммерциализация,коллективные/институциональные,аналог в культурной индустрии
27,Формирование культурного мифа о личности,Нет,идентичность/границы,героизация,коллективные/латентные,аналог в биографических исследованиях
28,Дегероизация личности,Да,идентичность/границы,развенчание,коллективные/латентные,аналог в культурной критике
29,Формирование традиции,Нет,память/наследие,культурная кристаллизация,коллективные/институциональные,аналог в антропологии
30,Разрушение традиции,Нет,память/наследие,декультурализация,коллективные/каскадные,аналог в истории
31,Создание культурной травмы,Нет,память/наследие,коллективная травматизация,коллективные/каскадные,аналог в теории А. Александера
32,Преодоление культурной травмы,Да,память/наследие,символическая реконструкция,коллективные/постепенные,аналог в культурной социологии
33,Формирование культурного поля,Нет,структура,Бурдьё: поле,коллективные/институциональные,уникален
34,Смена культурного поля,Нет,структура,структурный сдвиг,коллективные/институциональные,новый
35,Формирование культурного капитала,Нет,отношения,капитализация культуры,индивидуальные/коллективные,аналог в Бурдьё
36,Эрозия культурного капитала,Да,отношения,деконструкция ценности,индивидуальные/коллективные,новый
37,Создание культурного института,Нет,институты,институционализация,коллективные/институциональные,аналог в истории культуры
38,Закрытие культурного института,Нет,институты,деинституционализация,коллективные/институциональные,аналог в истории
39,Формирование «высокой культуры»,Нет,нормы,иерархизация,коллективные/институциональные,аналог в эстетике
40,Рост массовой культуры,Нет,содержание,демократизация,коллективные/постепенные,аналог в культурологии
41,Рост индустрии развлечений,Нет,экономика/обмен,коммодификация,коллективные/институциональные,аналог в культурной индустрии
42,Рост культурного потребления,Да,поведение,массовое участие,коллективные/постепенные,аналог в экономике культуры
43,Формирование культурной идентичности,Нет,идентичность/границы,самоопределение,индивидуальные/коллективные,аналог в социологии идентичности
44,Кризис культурной идентичности,Да,идентичность/границы,утрата границ,индивидуальные/коллективные,аналог в психологии
45,Культурная унификация,Нет,значения,стандартизация,коллективные/постепенные,аналог в глобализации
46,Культурная фрагментация,Нет,значения,плюрализация,коллективные/постепенные,аналог в постмодерне
47,Рост культурного многообразия,Нет,структура,инклюзия,коллективные/постепенные,аналог в мультикультурализме
48,Рост культурной изоляции,Нет,структура,локализм,коллективные/постепенные,аналог в истории
