№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формирование девиантного акта,Нет,поведение,нарушение нормы,индивидуальные/дискретные,аналог в криминологии
2,Повторение девиантного акта,Да,поведение,паттернизация,индивидуальные/цикличные,аналог в социологии привычек
3,Прекращение девиантного акта,Да,поведение,социализация,индивидуальные/постепенные,аналог в ресоциализации
4,Формирование девиантной идентичности,Нет,идентичность/границы,самоопределение,индивидуальные/коллективные,аналог в символическом интеракционизме
5,Стирание девиантной идентичности,Да,идентичность/границы,десигматизация,индивидуальные/постепенные,аналог в ресоциализации
6,Формирование субкультуры,Нет,структура,групповая солидарность,коллективные/неформальные,аналог в культурной социологии
7,Распад субкультуры,Нет,структура,децентрализация,коллективные/латентные,аналог в урбанистике
8,Формирование девиантного ярлыка,Нет,нормы,стигматизация,коллективные/институциональные,аналог в теории ярлыков
9,Снятие девиантного ярлыка,Да,нормы,десигматизация,коллективные/институциональные,аналог в ресоциализации
10,Формирование девиантного статуса,Нет,структура,иерархизация,коллективные/институциональные,аналог в стратификации
11,Утрата девиантного статуса,Да,структура,реинтеграция,коллективные/институциональные,аналог в восстановительном праве
12,Формирование преступной группы,Нет,структура,организация,коллективные/неформальные,аналог в криминологии
13,Распад преступной группы,Нет,структура,децентрализация,коллективные/латентные,аналог в криминологии
14,Формирование девиантной карьеры,Нет,поведение,накопление опыта,индивидуальные/постепенные,аналог в социологии профессий
15,Прекращение девиантной карьеры,Да,поведение,ресоциализация,индивидуальные/постепенные,аналог в криминологии
16,Формирование вторичной девиации,Нет,поведение,реакция на ярлык,индивидуальные/цикличные,аналог в теории Лемерта
17,Прекращение вторичной девиации,Да,поведение,десигматизация,индивидуальные/постепенные,новый
18,Формирование института социального контроля,Нет,институты,регуляция,коллективные/институциональные,аналог в праве
19,Эрозия института социального контроля,Да,институты,делегитимация,коллективные/латентные,аналог в аномии
20,Создание тюремного института,Нет,институты,изоляция,коллективные/институциональные,аналог в пенологии
21,Реформа тюремного института,Да,институты,ресоциализация,коллективные/институциональные,аналог в криминологии
22,Создание реабилитационного центра,Нет,институты,ресоциализация,коллективные/институциональные,аналог в социальной работе
23,Закрытие реабилитационного центра,Нет,институты,деинституционализация,коллективные/институциональные,новый
24,Формирование моральной паники,Нет,дискурс,эскалация,коллективные/каскадные,аналог в медиа-исследованиях
25,Угасание моральной паники,Да,дискурс,дестабилизация,коллективные/латентные,новый
26,Формирование девиантной стигмы,Нет,символы,негативная маркировка,коллективные/институциональные,аналог в культурной социологии
