№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формирование нового социального института,Нет,институты,институционализация,коллективные/институциональные,аналог в политологии
2,Упадок института,Нет,институты,деинституционализация,коллективные/институциональные,аналог в истории
3,Кодификация нормы,Да,нормы,юридизация,коллективные/институциональные,аналог в праве
4,Эрозия нормы,Да,нормы,нормативный дрейф,коллективные/латентные,аналог в культурной социологии
5,Смена типа стратификации,Нет,структура,классовая трансформация,коллективные/постепенные,аналог в истории
6,Рост урбанизации,Нет,пространство,демографический переход,коллективные/постепенные,аналог в демографии
7,Миграционный поток,Нет,структура,демографическая мобильность,коллективные/каскадные,аналог в географии
8,Формирование нового экономического сектора,Нет,экономика/обмен,структурная дифференциация,коллективные/постепенные,аналог в экономике
9,Кризис сектора экономики,Нет,экономика/обмен,структурный спад,коллективные/каскадные,аналог в истории
10,Рост неравенства,Да,отношения,дифференциация ресурсов,коллективные/постепенные,аналог в политэкономии
11,Сокращение неравенства,Да,отношения,перераспределение,коллективные/институциональные,аналог в политике
12,Индустриализация,Нет,технология/инфраструктура,технологический скачок,коллективные/постепенные,аналог в истории
13,Деиндустриализация,Нет,технология/инфраструктура,структурный спад,коллективные/постепенные,аналог в экономике
14,Дигитализация,Нет,технология/инфраструктура,цифровая трансформация,коллективные/постепенные,новый
15,Милитаризация,Нет,структура,расширение военных институтов,коллективные/институциональные,аналог в политологии
16,Демилитаризация,Нет,структура,сокращение армии,коллективные/институциональные,аналог в истории
17,Рост бюрократии,Да,структура,рационализация,коллективные/институциональные,аналог в теории Вебера
18,Сокращение бюрократии,Да,структура,дерегуляция,коллективные/институциональные,аналог в неолиберализме
19,Революция,Нет,структура,радикальный разрыв,коллективные/каскадные,аналог в истории
20,Эволюционная реформа,Нет,структура,постепенная трансформация,коллективные/постепенные,аналог в политологии
21,Культурная диффузия,Да,символы,перенос элементов культуры,коллективные/латентные,аналог в антропологии
22,Глобализация,Нет,структура,мировая интеграция,коллективные/постепенные,аналог в международных отношениях
23,Деглобализация,Нет,структура,фрагментация,коллективные/постепенные,новый
24,Секуляризация,Нет,нормы,снижение роли религии,коллективные/постепенные,аналог в культурной социологии
25,Ресакрализация,Нет,нормы,возрождение религии,коллективные/постепенные,аналог в антропологии
26,Рост этнической мобилизации,Нет,идентичность/границы,этнополитизация,коллективные/каскадные,аналог в политологии
