№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализ культурного происхождения танцев,Да,память/наследие,антропология,необходимые; дискретные; индивидуальные; явные,
2,Интеграция традиционных танцевальных форм,Да,поведение,культурная аутентичность,возможные; дискретные; коллективные; явные,
3,Учет культурной идентичности клиента,Да,идентичность/границы,культурная чувствительность,необходимые; континуальные; индивидуальные; явные,
4,Исследование ритуалов разных народов,Да,ритуалы,этнография,возможные; дискретные; коллективные; явные,
5,Обсуждение культурных табу и норм,Да,нормы,критическая рефлексия,возможные; дискретные; коллективные; явные,
6,Межкультурный обмен в группе,Да,отношения,диалог культур,возможные; дискретные; коллективные; явные,
7,"Подбор музыки, соответствующей культурным предпочтениям",Да,время/ритм,эстетика,необходимые; дискретные; коллективные; явные,
8,Создание мультикультурных ритуалов,Да,ритуалы,синкретизм,возможные; дискретные; коллективные; явные,
9,Развитие культурной компетентности терапевта,Да,нормы,обучение,необходимые; континуальные; индивидуальные; латентные,
10,Адаптация методов под культурный контекст,Да,нормы,культурная адаптация,необходимые; дискретные; индивидуальные; явные,
11,Перевод терминов и концепций на родной язык клиента,Да,дискурс,лингвистическая адаптация,необходимые; дискретные; индивидуальные; явные,
12,Учитывание миграционных и постколониальных травм,Да,память/наследие,деколонизация,возможные; постепенные; индивидуальные; явные,
13,Сотрудничество с культурными лидерами,Да,отношения,участие сообщества,возможные; континуальные; коллективные; явные,
14,"Использование костюмов и реквизита, значимых для клиента",Да,символы,материальная культура,возможные; дискретные; индивидуальные; явные,
15,Соблюдение этических принципов культурного заимствования,Да,нормы,этика,необходимые; континуальные; коллективные; явные,
