№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Наблюдение фаз моторного развития,Да,поведение,нейромоторное развитие,необходимые; континуальные; индивидуальные; явные,
2,Интеграция рефлексов раннего детства,Да,тело/материя,рефлексология,возможные; постепенные; индивидуальные; явные,
3,Развитие схем тела,Да,идентичность/границы,психомоторное обучение,возможные; постепенные; индивидуальные; явные,
4,Переигрывание этапов жизненного цикла,Да,память/наследие,регрессия,возможные; дискретные; индивидуальные; явные,
5,Работа с задержками развития,Условно,функция,раннее вмешательство,возможные; постепенные; индивидуальные; явные,
6,Применение сенсомоторных игр,Да,поведение,игра,возможные; континуальные; коллективные; явные,
7,Усиление навыков баланса и координации,Да,функция,координация,возможные; постепенные; индивидуальные; явные,
8,Обозначение границ и ролей в игровой форме,Да,идентичность/границы,ролевая игра,возможные; дискретные; коллективные; явные,
9,Мониторинг роста сенсомоторных навыков,Да,функция,оценка развития,необходимые; континуальные; индивидуальные; явные,
10,Переход от одноимпульсных движений к сложным,Да,поведение,градация,возможные; постепенные; индивидуальные; явные,
11,Стимуляция творческого мышления через движение,Да,поведение,нейропластичность,возможные; континуальные; индивидуальные; явные,
12,Развитие социальных навыков через парные игры,Да,отношения,кооперация,возможные; дискретные; коллективные; явные,
13,Работа с родителями в контексте развития,Да,отношения,семейная терапия,возможные; континуальные; коллективные; явные,
14,Установление рутин и ритмов,Да,время/ритм,структура,необходимые; континуальные; индивидуальные; явные,
15,Адаптация упражнений под возрастные особенности,Да,функция,возрастная адаптация,необходимые; дискретные; индивидуальные; явные,
