№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формирование доверия в группе,Да,отношения,групповая динамика,необходимые; постепенные; коллективные; явные,
2,Совместное разминание,Да,поведение,подготовка,необходимые; континуальные; коллективные; явные,
3,Групповое зеркальное отражение,Да,поведение,эмпатия,возможные; дискретные; коллективные; явные,
4,Импровизационные круговые танцы,Да,поведение,спонтанность,возможные; континуальные; коллективные; явные,
5,Выражение общих тем через движение,Да,дискурс,символизм,возможные; дискретные; коллективные; явные,
6,Смена лидера в групповом танце,Да,отношения,распределённое лидерство,возможные; дискретные; коллективные; явные,
7,Построение хореографий в малых подгруппах,Да,поведение,кооперация,возможные; дискретные; коллективные; явные,
8,Рефлексия после группового процесса,Да,дискурс,обратная связь,необходимые; дискретные; коллективные; явные,
9,Упражнения на доверие (ловля падения),Условно,поведение,доверие,возможные; дискретные; коллективные; явные,
10,Синхронные движения в едином ритме,Да,время/ритм,синхронизация,возможные; континуальные; коллективные; явные,
11,Коллективные ритуалы закрытия,Да,ритуалы,завершение,необходимые; дискретные; коллективные; явные,
12,Деление опыта через вербальный круг,Да,дискурс,активное слушание,необходимые; дискретные; коллективные; явные,
13,Импровизация по темам участников,Да,ценности,клиент-центрированность,возможные; дискретные; коллективные; явные,
14,Групповая регулировка темпа и интенсивности,Да,время/ритм,приспособление,возможные; континуальные; коллективные; явные,
15,Принятие обратной связи от группы,Да,отношения,взаимное обучение,необходимые; дискретные; коллективные; явные,
