№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание безопасного и контролируемого пространства,Да,пространство,безопасность,необходимые; мгновенные; коллективные; явные,
2,Постепенное знакомство с телесными ощущениями,Да,состояние,титрация,необходимые; постепенные; индивидуальные; явные,
3,Определение и соблюдение личных границ,Да,идентичность/границы,автономия,необходимые; континуальные; индивидуальные; явные,
4,Использование ресурсов и заземления,Да,состояние,заземление,необходимые; континуальные; индивидуальные; явные,
5,Техника маятника (pendulation),Да,время/ритм,перемежающая экспозиция,возможные; дискретные; индивидуальные; явные,
6,Выбор клиентом уровня участия,Да,нормы,эмпауэрмент,необходимые; континуальные; индивидуальные; явные,
7,"Избегание триггерных действий (закрытые глаза, физический контакт)",Да,поведение,предупреждение retraumatизации,необходимые; континуальные; коллективные; явные,
8,Установление заранее оговоренных сигналов остановки,Да,отношения,контроль,необходимые; мгновенные; индивидуальные; явные,
9,Формирование внутреннего ощущения силы,Да,состояние,ресурсность,возможные; постепенные; индивидуальные; явные,
10,Осознанное дыхание для регуляции,Да,состояние,дыхательные техники,возможные; континуальные; индивидуальные; явные,
11,"Изучение моделей реакции на угрозу (fight, flight, freeze)",Да,поведение,нейрофизиология,возможные; дискретные; индивидуальные; явные,
12,Постепенная экспозиция к трудным темам,Да,память/наследие,экспозиционная терапия,возможные; постепенные; индивидуальные; явные,
13,Согласование с другим специалистом по травме,Да,отношения,мультидисциплинарность,возможные; континуальные; коллективные; явные,
14,Интеграция ресурсов сообщества,Да,институты,социальная поддержка,возможные; континуальные; коллективные; явные,
15,Саморефлексия терапевта по этике и границам,Да,нормы,профессиональная этика,необходимые; континуальные; индивидуальные; латентные,
