№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разработка иерархии информационных элементов (логическое группирование),Да,структура,Принцип иерархии,возможные; дискретные; индивидуальные/коллективные,Уникально
2,Принцип консистентности дизайна экранов,Да,нормы,Принцип консистентности,постепенные; коллективные,Уникально
3,Оптимизация размера и расположения кнопок (закон Фиттса),Да,пространство,Закон Фиттса,дискретные; индивидуальные,Уникально
4,"Адаптивный интерфейс, изменяющийся в зависимости от контекста",Да,функция,Принцип контекстной адаптации,непрерывные; индивидуальные; экзогенные,Уникально
5,Внедрение темной и светлой темы для визуального комфорта,Да,символы,Принцип визуального комфорта,дискретные; индивидуальные,Уникально
6,Отзывчивый дизайн для разных устройств,Да,технология/инфраструктура,Принцип адаптивной верстки,непрерывные; коллективные,Уникально
7,Реализация клавиатурных сокращений и жестов,Да,поведение,Принцип сокращения взаимодействия,дискретные; индивидуальные,Уникально
8,Обеспечение доступности для людей с ограниченными возможностями (WCAG),Условно,нормы,Принцип доступности,постепенные; коллективные; институциональные,Уникально
9,"Использование обратной связи (визуальной, аудио, тактильной)",Да,функция,Принцип мультимодальной обратной связи,непрерывные; индивидуальные,Уникально
10,Ограничение глубины меню (минимизация уровней),Да,структура,Принцип минимальной вложенности,дискретные; индивидуальные,Уникально
11,Предикативный ввод и автозаполнение форм,Да,функция,Принцип предсказания,непрерывные; индивидуальные,Уникально
12,Обеспечение возможности отмены действия (undo),Да,процесс,Принцип обратимости действий,дискретные; индивидуальные,Уникально
13,Использование понятных иконок с подписями,Да,символы,Принцип семантической ясности,дискретные; индивидуальные,Уникально
14,Реализация устойчивых цветовых схем для цвето‑слепых пользователей,Да,символы,Принцип универсального цвета,дискретные; индивидуальные,Уникально
15,Разработка модульных интерфейсных компонентов для повторного использования,Да,технология/инфраструктура,Принцип модульности интерфейса,непрерывные; коллективные,Уникально
