№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Проведение антропометрических исследований для определения размеров продукта,Да,знание,Принцип антропометрического анализа,дискретные; коллективные; экзогенные,Уникально
2,Формирование ручек и кнопок под природный хват,Да,технология/инфраструктура,Принцип естественного хвата,дискретные; индивидуальные; экзогенные,Уникально
3,"Снижение усилия, необходимого для активации элементов управления",Да,функция,Принцип минимальной силы,дискретные; индивидуальные; экзогенные,Уникально
4,Использование материалов с приятной тактильной отдачей,Да,тело/материя,Принцип тактильного комфорта,дискретные; индивидуальные; экзогенные,Уникально
5,Оптимизация массы и баланса изделия,Да,технология/инфраструктура,Принцип оптимальной массы,дискретные; индивидуальные; экзогенные,Уникально
6,Разработка интуитивного интерфейса взаимодействия,Да,функция,Принцип интуитивного взаимодействия,непрерывные; индивидуальные; экзогенные,Уникально
7,Предотвращение ошибок с помощью защищённых от случайного срабатывания элементов,Да,технология/инфраструктура,Принцип защиты от ошибки,дискретные; индивидуальные; экзогенные,Уникально
8,Обеспечение модульности для подстройки под разных пользователей,Да,структура,Принцип модульности продукта,дискретные; индивидуальные; экзогенные,Уникально
9,Тестирование продуктов с участием конечных пользователей,Да,знание,Принцип пользовательского тестирования,непрерывные; коллективные; экзогенные,Уникально
10,Применение универсального дизайна (дизайн для всех),Условно,нормы,Принцип универсального дизайна,постепенные; коллективные; институциональные,Уникально
11,Учёт культурных и возрастных различий в дизайне,Условно,культура,Принцип культурной адаптации,постепенные; коллективные,Уникально
12,"Разработка инструкций и маркировок, понятных без текста",Да,дискурс,Принцип графической инструкции,дискретные; индивидуальные,Уникально
13,"Интеграция сенсорной обратной связи (щелчок, вибрация)",Да,функция,Принцип сенсорной обратной связи,непрерывные; индивидуальные; экзогенные,Уникально
14,Минимизация лишних функций (принцип KISS),Да,содержание,Принцип KISS,дискретные; индивидуальные,Уникально
15,Использование контрастных цветов и шрифтов для видимости,Да,символы,Принцип визуальной контрастности,дискретные; индивидуальные,Уникально
