№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,осмысление смысла жизни,Да,структура,принцип осознания,необходимые/возможные,аналогичный
2,принятие экзистенциальной ответственности,Нет,содержание,принцип интеграции,мгновенные/постепенные,аналогичный
3,исследование свободы выбора,Условно,отношения,принцип обратной связи,дискретные/континуальные,аналогичный
4,конфронтация со смертью,Да,состояние,принцип системности,индивидуальные/коллективные,аналогичный
5,осознание собственной конечности,Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналогичный
6,нормализация одиночества,Условно,поведение,принцип сотрудничества,институциональные/неформальные,аналогичный
7,исследование аутентичности,Да,нормы,принцип устойчивости,цикличные/каскадные,уникальный
8,освобождение от бессмысленности,Нет,институты,принцип баланса,явные/латентные,аналогичный
9,принятие ограничений времени,Условно,дискурс,принцип осознания,необходимые/возможные,аналогичный
10,поиск личных ценностей,Да,символы,принцип интеграции,мгновенные/постепенные,аналогичный
11,встреча с пустотой,Нет,значения,принцип обратной связи,дискретные/континуальные,аналогичный
12,осознание абсурда,Условно,пространство,принцип системности,индивидуальные/коллективные,аналогичный
13,принятие неопределенности,Да,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналогичный
14,исследование тревоги как сигнала роста,Нет,технология/инфраструктура,принцип сотрудничества,институциональные/неформальные,уникальный
15,проработка чувства вины,Условно,тело/материя,принцип устойчивости,цикличные/каскадные,аналогичный
16,выбор ответственности вместо виктимизации,Да,экономика/обмен,принцип баланса,явные/латентные,аналогичный
17,формирование личного кодекса,Нет,идентичность/границы,принцип осознания,необходимые/возможные,аналогичный
18,создание истории собственной жизни,Условно,память/наследие,принцип интеграции,мгновенные/постепенные,аналогичный
19,открытость опыту,Да,структура,принцип обратной связи,дискретные/континуальные,аналогичный
20,исследование свободы и судьбы,Нет,содержание,принцип системности,индивидуальные/коллективные,аналогичный
21,определение собственных приоритетов,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,уникальный
22,конструирование смысла в страдании,Да,состояние,принцип сотрудничества,институциональные/неформальные,аналогичный
23,осознание роли культурного контекста,Нет,функция,принцип устойчивости,цикличные/каскадные,аналогичный
24,конфронтация с парадоксами,Условно,поведение,принцип баланса,явные/латентные,аналогичный
25,интеграция противоположностей,Да,нормы,принцип осознания,необходимые/возможные,аналогичный
26,освобождение от внешних ожиданий,Нет,институты,принцип интеграции,мгновенные/постепенные,аналогичный
27,развитие мужества быть собой,Условно,дискурс,принцип обратной связи,дискретные/континуальные,аналогичный
28,принятие неизбежности изменений,Да,символы,принцип системности,индивидуальные/коллективные,уникальный
29,поиск цели через творчество,Нет,значения,принцип адаптивности,эндогенные/экзогенные,аналогичный
30,контакт с существующим моментом,Условно,пространство,принцип сотрудничества,институциональные/неформальные,аналогичный
