№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,осознание здесь-и-сейчас,Да,структура,принцип осознания,необходимые/возможные,аналогичный
2,техника пустого стула,Нет,содержание,принцип интеграции,мгновенные/постепенные,аналогичный
3,экспериментирование (проживание опыта),Условно,отношения,принцип обратной связи,дискретные/континуальные,аналогичный
4,гештальт-диалог,Да,состояние,принцип системности,индивидуальные/коллективные,аналогичный
5,работа с незавершенными ситуациями,Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналогичный
6,концентрация на ощущениях тела,Условно,поведение,принцип сотрудничества,институциональные/неформальные,аналогичный
7,осознание внутреннего голоса,Да,нормы,принцип устойчивости,цикличные/каскадные,уникальный
8,роли (переключение ролей),Нет,институты,принцип баланса,явные/латентные,аналогичный
9,усиление чувств (экспрессивные упражнения),Условно,дискурс,принцип осознания,необходимые/возможные,аналогичный
10,осознание и удовлетворение потребностей,Да,символы,принцип интеграции,мгновенные/постепенные,аналогичный
11,различение фигуры и фона,Нет,значения,принцип обратной связи,дискретные/континуальные,аналогичный
12,перепроживание эмоций,Условно,пространство,принцип системности,индивидуальные/коллективные,аналогичный
13,интеграция полярностей,Да,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналогичный
14,завершение гештальта,Нет,технология/инфраструктура,принцип сотрудничества,институциональные/неформальные,уникальный
15,работа с сопротивлением,Условно,тело/материя,принцип устойчивости,цикличные/каскадные,аналогичный
16,осознание контакта и отстранения,Да,экономика/обмен,принцип баланса,явные/латентные,аналогичный
17,проживание неудобства,Нет,идентичность/границы,принцип осознания,необходимые/возможные,аналогичный
18,вспоминание и проговаривание мыслей в настоящем времени,Условно,память/наследие,принцип интеграции,мгновенные/постепенные,аналогичный
19,создание безопасного пространства,Да,структура,принцип обратной связи,дискретные/континуальные,аналогичный
20,спонтанное выражение,Нет,содержание,принцип системности,индивидуальные/коллективные,аналогичный
21,тренировка ответственности,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,уникальный
22,исследование телесных реакций,Да,состояние,принцип сотрудничества,институциональные/неформальные,аналогичный
23,выражение подавленных чувств через голос,Нет,функция,принцип устойчивости,цикличные/каскадные,аналогичный
24,роль игры (role play),Условно,поведение,принцип баланса,явные/латентные,аналогичный
25,работа с внутренними диалогами,Да,нормы,принцип осознания,необходимые/возможные,аналогичный
26,принятие ограничений реальности,Нет,институты,принцип интеграции,мгновенные/постепенные,аналогичный
27,освобождение блокированной энергии,Условно,дискурс,принцип обратной связи,дискретные/континуальные,аналогичный
28,моделирование ситуаций,Да,символы,принцип системности,индивидуальные/коллективные,уникальный
29,освобождение эмоций через дыхание,Нет,значения,принцип адаптивности,эндогенные/экзогенные,аналогичный
30,недоделанные дела (осознание незаконченных эпизодов),Условно,пространство,принцип сотрудничества,институциональные/неформальные,аналогичный
31,работа с проекциями,Да,время/ритм,принцип устойчивости,цикличные/каскадные,аналогичный
32,интеграция противоположностей,Нет,технология/инфраструктура,принцип баланса,явные/латентные,аналогичный
33,фокусирование на ощущениях дыхания,Условно,тело/материя,принцип осознания,необходимые/возможные,аналогичный
34,осознание точки выбора,Да,экономика/обмен,принцип интеграции,мгновенные/постепенные,аналогичный
35,переформулирование убеждений,Нет,идентичность/границы,принцип обратной связи,дискретные/континуальные,уникальный
