№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,внешнее описание проблемы (externalization),Да,структура,принцип осознания,необходимые/возможные,аналогичный
2,дефинирование доминантной истории,Нет,содержание,принцип интеграции,мгновенные/постепенные,аналогичный
3,конструирование альтернативной истории,Условно,отношения,принцип обратной связи,дискретные/континуальные,аналогичный
4,разбор уникальных исходов,Да,состояние,принцип системности,индивидуальные/коллективные,аналогичный
5,деконструкция проблемного рассказа,Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналогичный
6,идентификация сюжетных линий,Условно,поведение,принцип сотрудничества,институциональные/неформальные,аналогичный
7,работа с метафорами,Да,нормы,принцип устойчивости,цикличные/каскадные,уникальный
8,писательское упражнение,Нет,институты,принцип баланса,явные/латентные,аналогичный
9,создание карты отношений персонажей,Условно,дискурс,принцип осознания,необходимые/возможные,аналогичный
10,именование проблемы,Да,символы,принцип интеграции,мгновенные/постепенные,аналогичный
11,толщение положительной истории (thickening),Нет,значения,принцип обратной связи,дискретные/континуальные,аналогичный
12,обнаружение сил и ресурсов,Условно,пространство,принцип системности,индивидуальные/коллективные,аналогичный
13,рефрейминг событий,Да,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналогичный
14,свидетельствование (outsider witness),Нет,технология/инфраструктура,принцип сотрудничества,институциональные/неформальные,уникальный
15,письма самому себе,Условно,тело/материя,принцип устойчивости,цикличные/каскадные,аналогичный
16,изменение угла зрения,Да,экономика/обмен,принцип баланса,явные/латентные,аналогичный
17,создание хроники изменений,Нет,идентичность/границы,принцип осознания,необходимые/возможные,аналогичный
18,составление временной линии жизни,Условно,память/наследие,принцип интеграции,мгновенные/постепенные,аналогичный
19,переписывание идентичности,Да,структура,принцип обратной связи,дискретные/континуальные,аналогичный
20,разворачивание ключевых событий,Нет,содержание,принцип системности,индивидуальные/коллективные,аналогичный
21,выявление паттернов повествования,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,уникальный
22,создание пространства для нового смысла,Да,состояние,принцип сотрудничества,институциональные/неформальные,аналогичный
23,публичная церемония признания,Нет,функция,принцип устойчивости,цикличные/каскадные,аналогичный
24,создание поддержки сообщества,Условно,поведение,принцип баланса,явные/латентные,аналогичный
