№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,установление бизнес-целей,Да,дискурс,принцип партнерства,индивидуальные/коллективные,—
2,разработка стратегии роста,Нет,функция,принцип эмпатии,институциональные/неформальные,—
3,оптимизация процессов,Условно,пространство,принцип развития,мгновенные/постепенные,—
4,управление изменениями,Да,отношения,принцип развития,цикличные/каскадные,—
5,развитие лидерских навыков,Да,отношения,принцип эмпатии,дискретные/континуальные,—
6,управление рисками,Нет,институты,принцип системности,явные/латентные,—
7,управление командой,Да,институты,принцип эмпатии,явные/латентные,—
8,финансовое планирование,Нет,функция,принцип осознанности,эндогенные/экзогенные,—
9,выстраивание продаж,Условно,символы,принцип осознанности,эндогенные/экзогенные,—
10,разработка маркетинг-плана,Условно,состояние,принцип партнерства,цикличные/каскадные,—
11,коучинг для стартапов,Да,память/наследие,принцип ответственности,необходимые/возможные,—
12,улучшение коммуникаций в бизнесе,Да,поведение,принцип осознанности,индивидуальные/коллективные,—
13,мотивация персонала,Условно,идентичность/границы,принцип эмпатии,дискретные/континуальные,—
14,делегирование задач,Условно,структура,принцип системности,мгновенные/постепенные,—
15,управление конфликтами,Условно,содержание,принцип партнерства,необходимые/возможные,—
16,работа с корпоративной культурой,Да,нормы,принцип нейропластичности,индивидуальные/коллективные,—
17,управление эффективностью,Да,дискурс,принцип ответственности,явные/латентные,—
18,наладка партнерских отношений,Да,значения,принцип эмпатии,институциональные/неформальные,—
19,повышение продуктивности,Да,время/ритм,принцип ответственности,необходимые/возможные,—
20,принятие стратегических решений,Да,значения,принцип эмпатии,необходимые/возможные,—
21,дополнительный процесс 1,Да,состояние,принцип осознанности,необходимые/возможные,—
22,дополнительный процесс 2,Нет,символы,принцип осознанности,институциональные/неформальные,—
23,дополнительный процесс 3,Нет,состояние,принцип эмпатии,дискретные/континуальные,—
24,дополнительный процесс 4,Условно,значения,принцип ответственности,эндогенные/экзогенные,—
25,дополнительный процесс 5,Условно,институты,принцип нейропластичности,дискретные/континуальные,—
26,дополнительный процесс 6,Нет,время/ритм,принцип развития,дискретные/континуальные,—
27,дополнительный процесс 7,Нет,институты,принцип ответственности,явные/латентные,—
28,дополнительный процесс 8,Да,состояние,принцип системности,дискретные/континуальные,—
29,дополнительный процесс 9,Условно,структура,принцип системности,дискретные/континуальные,—
30,дополнительный процесс 10,Да,состояние,принцип системности,явные/латентные,—
31,дополнительный процесс 11,Условно,отношения,принцип нейропластичности,индивидуальные/коллективные,—
32,дополнительный процесс 12,Условно,память/наследие,принцип системности,индивидуальные/коллективные,—
33,дополнительный процесс 13,Условно,нормы,принцип эмпатии,цикличные/каскадные,—
34,дополнительный процесс 14,Да,дискурс,принцип осознанности,дискретные/континуальные,—
35,дополнительный процесс 15,Условно,дискурс,принцип системности,дискретные/континуальные,—
36,дополнительный процесс 16,Да,время/ритм,принцип развития,явные/латентные,—
37,дополнительный процесс 17,Нет,технология/инфраструктура,принцип партнерства,институциональные/неформальные,—
38,дополнительный процесс 18,Нет,тело/материя,принцип осознанности,индивидуальные/коллективные,—
39,дополнительный процесс 19,Да,технология/инфраструктура,принцип нейропластичности,необходимые/возможные,—
40,дополнительный процесс 20,Да,нормы,принцип нейропластичности,цикличные/каскадные,—
41,дополнительный процесс 21,Нет,идентичность/границы,принцип системности,институциональные/неформальные,—
42,дополнительный процесс 22,Условно,пространство,принцип нейропластичности,эндогенные/экзогенные,—
43,дополнительный процесс 23,Да,идентичность/границы,принцип системности,мгновенные/постепенные,—
44,дополнительный процесс 24,Да,отношения,принцип ответственности,дискретные/континуальные,—
45,дополнительный процесс 25,Условно,технология/инфраструктура,принцип эмпатии,институциональные/неформальные,—
46,дополнительный процесс 26,Да,экономика/обмен,принцип осознанности,дискретные/континуальные,—
47,дополнительный процесс 27,Да,экономика/обмен,принцип нейропластичности,явные/латентные,—
48,дополнительный процесс 28,Да,структура,принцип ответственности,явные/латентные,—
49,дополнительный процесс 29,Нет,поведение,принцип партнерства,цикличные/каскадные,—
50,дополнительный процесс 30,Условно,память/наследие,принцип системности,институциональные/неформальные,—
