№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,оценка разных областей жизни,Да,время/ритм,принцип системности,дискретные/континуальные,—
2,разработка комплексной стратегии,Условно,институты,принцип развития,индивидуальные/коллективные,—
3,интеграция духовных практик,Условно,функция,принцип партнерства,необходимые/возможные,—
4,баланс между профессиональным и личным,Условно,идентичность/границы,принцип нейропластичности,дискретные/континуальные,—
5,комплексная диагностика,Да,тело/материя,принцип развития,цикличные/каскадные,—
6,формирование устойчивых изменений,Нет,технология/инфраструктура,принцип партнерства,необходимые/возможные,—
7,соединение физических и умственных практик,Да,дискурс,принцип осознанности,дискретные/континуальные,—
8,развитие внутреннего наблюдателя,Да,нормы,принцип эмпатии,институциональные/неформальные,—
9,работа с телесными ощущениями,Да,поведение,принцип системности,институциональные/неформальные,—
10,интеграция прошлых опытов,Нет,структура,принцип эмпатии,институциональные/неформальные,—
11,раскрытие потенциала,Условно,технология/инфраструктура,принцип партнерства,необходимые/возможные,—
12,трансформация ограничивающих схем,Да,тело/материя,принцип нейропластичности,эндогенные/экзогенные,—
13,развитие сочувствия,Нет,состояние,принцип осознанности,эндогенные/экзогенные,—
14,построение здоровых отношений,Условно,технология/инфраструктура,принцип эмпатии,необходимые/возможные,—
15,формирование миссии и видения,Да,отношения,принцип системности,мгновенные/постепенные,—
16,работа с энергией,Нет,идентичность/границы,принцип эмпатии,дискретные/континуальные,—
17,создание устойчивых практик,Условно,технология/инфраструктура,принцип эмпатии,цикличные/каскадные,—
18,поддержка долгосрочного роста,Да,тело/материя,принцип партнерства,институциональные/неформальные,—
19,планирование жизненного баланса,Условно,содержание,принцип развития,дискретные/континуальные,—
20,навыки рефлексии,Да,функция,принцип ответственности,цикличные/каскадные,—
21,дополнительный процесс 1,Условно,институты,принцип ответственности,дискретные/континуальные,—
22,дополнительный процесс 2,Да,отношения,принцип системности,необходимые/возможные,—
23,дополнительный процесс 3,Условно,отношения,принцип осознанности,эндогенные/экзогенные,—
24,дополнительный процесс 4,Да,тело/материя,принцип партнерства,институциональные/неформальные,—
25,дополнительный процесс 5,Нет,институты,принцип ответственности,цикличные/каскадные,—
26,дополнительный процесс 6,Да,память/наследие,принцип ответственности,необходимые/возможные,—
27,дополнительный процесс 7,Нет,память/наследие,принцип эмпатии,эндогенные/экзогенные,—
28,дополнительный процесс 8,Да,символы,принцип ответственности,необходимые/возможные,—
29,дополнительный процесс 9,Да,нормы,принцип осознанности,необходимые/возможные,—
30,дополнительный процесс 10,Нет,время/ритм,принцип системности,эндогенные/экзогенные,—
31,дополнительный процесс 11,Нет,нормы,принцип партнерства,мгновенные/постепенные,—
32,дополнительный процесс 12,Нет,дискурс,принцип ответственности,явные/латентные,—
33,дополнительный процесс 13,Условно,отношения,принцип системности,необходимые/возможные,—
34,дополнительный процесс 14,Нет,состояние,принцип осознанности,необходимые/возможные,—
35,дополнительный процесс 15,Да,состояние,принцип партнерства,мгновенные/постепенные,—
36,дополнительный процесс 16,Да,технология/инфраструктура,принцип ответственности,институциональные/неформальные,—
37,дополнительный процесс 17,Условно,функция,принцип эмпатии,цикличные/каскадные,—
38,дополнительный процесс 18,Нет,время/ритм,принцип партнерства,мгновенные/постепенные,—
39,дополнительный процесс 19,Условно,память/наследие,принцип системности,институциональные/неформальные,—
40,дополнительный процесс 20,Условно,время/ритм,принцип эмпатии,институциональные/неформальные,—
41,дополнительный процесс 21,Условно,содержание,принцип партнерства,индивидуальные/коллективные,—
42,дополнительный процесс 22,Условно,значения,принцип эмпатии,мгновенные/постепенные,—
43,дополнительный процесс 23,Да,отношения,принцип развития,дискретные/континуальные,—
44,дополнительный процесс 24,Да,память/наследие,принцип партнерства,индивидуальные/коллективные,—
45,дополнительный процесс 25,Условно,символы,принцип партнерства,институциональные/неформальные,—
46,дополнительный процесс 26,Нет,технология/инфраструктура,принцип партнерства,необходимые/возможные,—
47,дополнительный процесс 27,Нет,нормы,принцип осознанности,явные/латентные,—
48,дополнительный процесс 28,Условно,структура,принцип партнерства,мгновенные/постепенные,—
49,дополнительный процесс 29,Нет,отношения,принцип развития,эндогенные/экзогенные,—
50,дополнительный процесс 30,Условно,тело/материя,принцип системности,институциональные/неформальные,—
