№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,оценка карьерных интересов,Условно,тело/материя,принцип осознанности,мгновенные/постепенные,—
2,определение профессиональных целей,Условно,тело/материя,принцип ответственности,институциональные/неформальные,—
3,анализ рыночных возможностей,Нет,нормы,принцип системности,мгновенные/постепенные,—
4,подготовка резюме,Нет,институты,принцип системности,явные/латентные,—
5,подготовка к собеседованию,Нет,состояние,принцип осознанности,необходимые/возможные,—
6,развитие навыков самопрезентации,Условно,идентичность/границы,принцип системности,цикличные/каскадные,—
7,планирование карьерного роста,Нет,значения,принцип ответственности,эндогенные/экзогенные,—
8,разработка личного бренда,Да,символы,принцип партнерства,явные/латентные,—
9,управление профессиональным развитием,Нет,идентичность/границы,принцип партнерства,необходимые/возможные,—
10,баланс между работой и личной жизнью,Да,функция,принцип развития,цикличные/каскадные,—
11,освоение новых компетенций,Нет,тело/материя,принцип ответственности,институциональные/неформальные,—
12,переквалификация,Условно,экономика/обмен,принцип эмпатии,институциональные/неформальные,—
13,навигация в корпоративной среде,Да,время/ритм,принцип эмпатии,мгновенные/постепенные,—
14,расширение профессиональной сети,Да,идентичность/границы,принцип развития,цикличные/каскадные,—
15,переход на новую должность,Нет,пространство,принцип партнерства,институциональные/неформальные,—
16,разработка плана карьерного перехода,Нет,технология/инфраструктура,принцип нейропластичности,явные/латентные,—
17,мониторинг удовлетворенности работой,Нет,пространство,принцип развития,цикличные/каскадные,—
18,прохождение ассессмент-центра,Условно,содержание,принцип развития,дискретные/континуальные,—
19,подготовка к аттестации,Да,функция,принцип партнерства,мгновенные/постепенные,—
20,формирование менторских отношений,Нет,дискурс,принцип ответственности,индивидуальные/коллективные,—
21,дополнительный процесс 1,Да,идентичность/границы,принцип ответственности,эндогенные/экзогенные,—
22,дополнительный процесс 2,Условно,дискурс,принцип партнерства,индивидуальные/коллективные,—
23,дополнительный процесс 3,Нет,поведение,принцип нейропластичности,цикличные/каскадные,—
24,дополнительный процесс 4,Да,память/наследие,принцип системности,индивидуальные/коллективные,—
25,дополнительный процесс 5,Да,поведение,принцип нейропластичности,эндогенные/экзогенные,—
26,дополнительный процесс 6,Да,нормы,принцип эмпатии,цикличные/каскадные,—
27,дополнительный процесс 7,Нет,содержание,принцип системности,эндогенные/экзогенные,—
28,дополнительный процесс 8,Условно,технология/инфраструктура,принцип осознанности,дискретные/континуальные,—
29,дополнительный процесс 9,Нет,время/ритм,принцип эмпатии,необходимые/возможные,—
30,дополнительный процесс 10,Да,нормы,принцип развития,институциональные/неформальные,—
31,дополнительный процесс 11,Нет,нормы,принцип эмпатии,эндогенные/экзогенные,—
32,дополнительный процесс 12,Да,содержание,принцип осознанности,эндогенные/экзогенные,—
33,дополнительный процесс 13,Условно,структура,принцип нейропластичности,индивидуальные/коллективные,—
34,дополнительный процесс 14,Условно,технология/инфраструктура,принцип системности,явные/латентные,—
35,дополнительный процесс 15,Условно,экономика/обмен,принцип ответственности,дискретные/континуальные,—
36,дополнительный процесс 16,Условно,символы,принцип нейропластичности,явные/латентные,—
37,дополнительный процесс 17,Нет,идентичность/границы,принцип развития,индивидуальные/коллективные,—
38,дополнительный процесс 18,Нет,функция,принцип эмпатии,явные/латентные,—
39,дополнительный процесс 19,Условно,время/ритм,принцип эмпатии,цикличные/каскадные,—
40,дополнительный процесс 20,Условно,экономика/обмен,принцип партнерства,эндогенные/экзогенные,—
41,дополнительный процесс 21,Условно,функция,принцип ответственности,индивидуальные/коллективные,—
42,дополнительный процесс 22,Условно,время/ритм,принцип развития,цикличные/каскадные,—
43,дополнительный процесс 23,Условно,тело/материя,принцип ответственности,индивидуальные/коллективные,—
44,дополнительный процесс 24,Нет,нормы,принцип нейропластичности,индивидуальные/коллективные,—
45,дополнительный процесс 25,Да,символы,принцип осознанности,индивидуальные/коллективные,—
46,дополнительный процесс 26,Да,структура,принцип эмпатии,институциональные/неформальные,—
47,дополнительный процесс 27,Условно,институты,принцип нейропластичности,дискретные/континуальные,—
48,дополнительный процесс 28,Нет,тело/материя,принцип нейропластичности,эндогенные/экзогенные,—
49,дополнительный процесс 29,Нет,отношения,принцип нейропластичности,эндогенные/экзогенные,—
50,дополнительный процесс 30,Да,содержание,принцип осознанности,дискретные/континуальные,—
