№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,определение общей миссии,Да,экономика/обмен,принцип ответственности,индивидуальные/коллективные,—
2,разработка командных целей,Да,дискурс,принцип осознанности,дискретные/континуальные,—
3,развитие коммуникаций,Нет,идентичность/границы,принцип системности,институциональные/неформальные,—
4,навыки слушания,Нет,состояние,принцип эмпатии,цикличные/каскадные,—
5,управление конфликтами в команде,Нет,содержание,принцип партнерства,индивидуальные/коллективные,—
6,создание психологической безопасности,Условно,время/ритм,принцип развития,явные/латентные,—
7,выявление командных ролей,Нет,символы,принцип ответственности,институциональные/неформальные,—
8,формирование доверия,Нет,институты,принцип развития,дискретные/континуальные,—
9,обратная связь между участниками,Да,структура,принцип эмпатии,институциональные/неформальные,—
10,согласование индивидуальных и командных целей,Да,пространство,принцип осознанности,дискретные/континуальные,—
11,развитие сотрудничества,Условно,пространство,принцип ответственности,явные/латентные,—
12,управление изменениями,Нет,дискурс,принцип эмпатии,дискретные/континуальные,—
13,создание системы взаимопомощи,Нет,отношения,принцип развития,эндогенные/экзогенные,—
14,постановка правил взаимодействия,Да,отношения,принцип системности,дискретные/континуальные,—
15,оценка эффективности командных процессов,Условно,время/ритм,принцип ответственности,институциональные/неформальные,—
16,фасилитация собраний,Условно,экономика/обмен,принцип системности,явные/латентные,—
17,построение культуры взаимодействия,Нет,функция,принцип системности,необходимые/возможные,—
18,создание регулярных ретроспектив,Нет,функция,принцип осознанности,эндогенные/экзогенные,—
19,работа с межфункциональными командами,Нет,функция,принцип системности,цикличные/каскадные,—
20,повышение вовлеченности участников,Условно,структура,принцип системности,цикличные/каскадные,—
21,дополнительный процесс 1,Нет,нормы,принцип эмпатии,индивидуальные/коллективные,—
22,дополнительный процесс 2,Условно,технология/инфраструктура,принцип осознанности,дискретные/континуальные,—
23,дополнительный процесс 3,Условно,состояние,принцип осознанности,институциональные/неформальные,—
24,дополнительный процесс 4,Да,институты,принцип ответственности,дискретные/континуальные,—
25,дополнительный процесс 5,Условно,тело/материя,принцип нейропластичности,необходимые/возможные,—
26,дополнительный процесс 6,Да,пространство,принцип осознанности,мгновенные/постепенные,—
27,дополнительный процесс 7,Да,состояние,принцип нейропластичности,эндогенные/экзогенные,—
28,дополнительный процесс 8,Условно,символы,принцип системности,эндогенные/экзогенные,—
29,дополнительный процесс 9,Условно,функция,принцип нейропластичности,институциональные/неформальные,—
30,дополнительный процесс 10,Да,состояние,принцип нейропластичности,эндогенные/экзогенные,—
31,дополнительный процесс 11,Условно,дискурс,принцип осознанности,мгновенные/постепенные,—
32,дополнительный процесс 12,Условно,содержание,принцип эмпатии,институциональные/неформальные,—
33,дополнительный процесс 13,Условно,тело/материя,принцип развития,явные/латентные,—
34,дополнительный процесс 14,Условно,институты,принцип развития,необходимые/возможные,—
35,дополнительный процесс 15,Нет,идентичность/границы,принцип осознанности,дискретные/континуальные,—
36,дополнительный процесс 16,Да,дискурс,принцип партнерства,дискретные/континуальные,—
37,дополнительный процесс 17,Да,структура,принцип системности,эндогенные/экзогенные,—
38,дополнительный процесс 18,Да,отношения,принцип партнерства,мгновенные/постепенные,—
39,дополнительный процесс 19,Условно,память/наследие,принцип осознанности,индивидуальные/коллективные,—
40,дополнительный процесс 20,Да,память/наследие,принцип партнерства,цикличные/каскадные,—
41,дополнительный процесс 21,Условно,идентичность/границы,принцип нейропластичности,дискретные/континуальные,—
42,дополнительный процесс 22,Нет,время/ритм,принцип партнерства,мгновенные/постепенные,—
43,дополнительный процесс 23,Условно,структура,принцип эмпатии,индивидуальные/коллективные,—
44,дополнительный процесс 24,Нет,нормы,принцип эмпатии,явные/латентные,—
45,дополнительный процесс 25,Условно,идентичность/границы,принцип нейропластичности,эндогенные/экзогенные,—
46,дополнительный процесс 26,Да,структура,принцип ответственности,институциональные/неформальные,—
47,дополнительный процесс 27,Нет,состояние,принцип эмпатии,институциональные/неформальные,—
48,дополнительный процесс 28,Нет,состояние,принцип ответственности,мгновенные/постепенные,—
49,дополнительный процесс 29,Условно,содержание,принцип развития,эндогенные/экзогенные,—
50,дополнительный процесс 30,Нет,состояние,принцип осознанности,дискретные/континуальные,—
