№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,оценка потенциала лидера,Условно,время/ритм,принцип эмпатии,институциональные/неформальные,—
2,развитие видения,Да,функция,принцип системности,эндогенные/экзогенные,—
3,развитие командных навыков,Условно,структура,принцип осознанности,дискретные/континуальные,—
4,развитие уверенности,Условно,отношения,принцип системности,мгновенные/постепенные,—
5,управление ответственностью,Нет,время/ритм,принцип ответственности,индивидуальные/коллективные,—
6,мотивация команды,Нет,технология/инфраструктура,принцип системности,явные/латентные,—
7,предотвращение выгорания,Да,тело/материя,принцип нейропластичности,необходимые/возможные,—
8,планирование преемственности,Условно,время/ритм,принцип развития,мгновенные/постепенные,—
9,улучшение риторики и презентаций,Нет,значения,принцип партнерства,необходимые/возможные,—
10,управление сопротивлением,Условно,структура,принцип партнерства,явные/латентные,—
11,создание культуры обратной связи,Да,содержание,принцип осознанности,эндогенные/экзогенные,—
12,развитие стратегического мышления,Условно,функция,принцип системности,эндогенные/экзогенные,—
13,управление личным брендом,Условно,экономика/обмен,принцип нейропластичности,институциональные/неформальные,—
14,развитие креативности,Условно,идентичность/границы,принцип нейропластичности,мгновенные/постепенные,—
15,навыки адаптивного лидерства,Да,технология/инфраструктура,принцип осознанности,явные/латентные,—
16,умение слушать,Да,дискурс,принцип ответственности,мгновенные/постепенные,—
17,управление влиянием,Условно,пространство,принцип нейропластичности,дискретные/континуальные,—
18,развитие системного взгляда,Нет,память/наследие,принцип эмпатии,мгновенные/постепенные,—
19,управление изменениями,Условно,функция,принцип ответственности,индивидуальные/коллективные,—
20,планирование карьерного роста лидера,Условно,содержание,принцип партнерства,индивидуальные/коллективные,—
21,дополнительный процесс 1,Нет,технология/инфраструктура,принцип нейропластичности,необходимые/возможные,—
22,дополнительный процесс 2,Нет,отношения,принцип партнерства,дискретные/континуальные,—
23,дополнительный процесс 3,Нет,время/ритм,принцип эмпатии,эндогенные/экзогенные,—
24,дополнительный процесс 4,Да,структура,принцип развития,институциональные/неформальные,—
25,дополнительный процесс 5,Условно,структура,принцип развития,дискретные/континуальные,—
26,дополнительный процесс 6,Условно,идентичность/границы,принцип развития,эндогенные/экзогенные,—
27,дополнительный процесс 7,Да,институты,принцип эмпатии,эндогенные/экзогенные,—
28,дополнительный процесс 8,Условно,нормы,принцип эмпатии,дискретные/континуальные,—
29,дополнительный процесс 9,Условно,технология/инфраструктура,принцип осознанности,необходимые/возможные,—
30,дополнительный процесс 10,Условно,поведение,принцип системности,институциональные/неформальные,—
31,дополнительный процесс 11,Нет,дискурс,принцип эмпатии,явные/латентные,—
32,дополнительный процесс 12,Да,значения,принцип осознанности,явные/латентные,—
33,дополнительный процесс 13,Нет,дискурс,принцип осознанности,эндогенные/экзогенные,—
34,дополнительный процесс 14,Условно,отношения,принцип развития,необходимые/возможные,—
35,дополнительный процесс 15,Да,идентичность/границы,принцип партнерства,индивидуальные/коллективные,—
36,дополнительный процесс 16,Условно,поведение,принцип осознанности,эндогенные/экзогенные,—
37,дополнительный процесс 17,Да,содержание,принцип партнерства,мгновенные/постепенные,—
38,дополнительный процесс 18,Условно,пространство,принцип развития,явные/латентные,—
39,дополнительный процесс 19,Нет,время/ритм,принцип системности,цикличные/каскадные,—
40,дополнительный процесс 20,Условно,состояние,принцип партнерства,институциональные/неформальные,—
41,дополнительный процесс 21,Да,символы,принцип эмпатии,эндогенные/экзогенные,—
42,дополнительный процесс 22,Да,содержание,принцип осознанности,явные/латентные,—
43,дополнительный процесс 23,Да,символы,принцип ответственности,эндогенные/экзогенные,—
44,дополнительный процесс 24,Условно,дискурс,принцип осознанности,индивидуальные/коллективные,—
45,дополнительный процесс 25,Нет,значения,принцип ответственности,мгновенные/постепенные,—
46,дополнительный процесс 26,Нет,поведение,принцип системности,институциональные/неформальные,—
47,дополнительный процесс 27,Условно,институты,принцип осознанности,институциональные/неформальные,—
48,дополнительный процесс 28,Условно,состояние,принцип ответственности,цикличные/каскадные,—
49,дополнительный процесс 29,Да,функция,принцип эмпатии,цикличные/каскадные,—
50,дополнительный процесс 30,Нет,символы,принцип системности,эндогенные/экзогенные,—
