№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,осознание телесных ощущений,Условно,технология/инфраструктура,принцип нейропластичности,эндогенные/экзогенные,—
2,дыхательные практики,Нет,состояние,принцип осознанности,мгновенные/постепенные,—
3,телесные медитации,Да,память/наследие,принцип эмпатии,цикличные/каскадные,—
4,освобождение мышечных зажимов,Условно,значения,принцип ответственности,дискретные/континуальные,—
5,работа с осанкой,Условно,технология/инфраструктура,принцип осознанности,дискретные/континуальные,—
6,сенсомоторное осознавание,Условно,экономика/обмен,принцип развития,необходимые/возможные,—
7,перепросмотр привычных движений,Условно,экономика/обмен,принцип нейропластичности,дискретные/континуальные,—
8,интеграция чувства безопасности,Да,экономика/обмен,принцип эмпатии,дискретные/континуальные,—
9,настройка внимания на тело,Да,пространство,принцип осознанности,институциональные/неформальные,—
10,развитие гибкости,Да,тело/материя,принцип ответственности,дискретные/континуальные,—
11,растягивание и йога,Да,время/ритм,принцип системности,явные/латентные,—
12,установление границ,Да,пространство,принцип ответственности,эндогенные/экзогенные,—
13,работа с телесной памятью,Да,функция,принцип системности,явные/латентные,—
14,навыки центрирования,Условно,поведение,принцип системности,необходимые/возможные,—
15,осознание реакций на стресс,Условно,поведение,принцип развития,необходимые/возможные,—
16,практики расслабления,Условно,структура,принцип эмпатии,необходимые/возможные,—
17,освобождение эмоциональных блоков,Нет,состояние,принцип эмпатии,дискретные/континуальные,—
18,гармонизация дыхания,Да,память/наследие,принцип нейропластичности,явные/латентные,—
19,развитие телесной устойчивости,Да,тело/материя,принцип ответственности,дискретные/континуальные,—
20,саморегуляция через тело,Да,тело/материя,принцип развития,необходимые/возможные,—
21,дополнительный процесс 1,Условно,тело/материя,принцип эмпатии,индивидуальные/коллективные,—
22,дополнительный процесс 2,Условно,идентичность/границы,принцип нейропластичности,институциональные/неформальные,—
23,дополнительный процесс 3,Условно,технология/инфраструктура,принцип системности,институциональные/неформальные,—
24,дополнительный процесс 4,Нет,нормы,принцип нейропластичности,индивидуальные/коллективные,—
25,дополнительный процесс 5,Да,нормы,принцип партнерства,дискретные/континуальные,—
26,дополнительный процесс 6,Условно,тело/материя,принцип партнерства,необходимые/возможные,—
27,дополнительный процесс 7,Да,технология/инфраструктура,принцип партнерства,цикличные/каскадные,—
28,дополнительный процесс 8,Условно,дискурс,принцип партнерства,явные/латентные,—
29,дополнительный процесс 9,Нет,состояние,принцип нейропластичности,институциональные/неформальные,—
30,дополнительный процесс 10,Условно,технология/инфраструктура,принцип осознанности,дискретные/континуальные,—
31,дополнительный процесс 11,Условно,символы,принцип развития,индивидуальные/коллективные,—
32,дополнительный процесс 12,Да,поведение,принцип системности,цикличные/каскадные,—
33,дополнительный процесс 13,Да,идентичность/границы,принцип нейропластичности,необходимые/возможные,—
34,дополнительный процесс 14,Условно,содержание,принцип развития,индивидуальные/коллективные,—
35,дополнительный процесс 15,Нет,институты,принцип партнерства,мгновенные/постепенные,—
36,дополнительный процесс 16,Да,идентичность/границы,принцип ответственности,явные/латентные,—
37,дополнительный процесс 17,Да,символы,принцип ответственности,мгновенные/постепенные,—
38,дополнительный процесс 18,Да,поведение,принцип развития,явные/латентные,—
39,дополнительный процесс 19,Условно,содержание,принцип партнерства,мгновенные/постепенные,—
40,дополнительный процесс 20,Условно,время/ритм,принцип ответственности,институциональные/неформальные,—
41,дополнительный процесс 21,Нет,функция,принцип системности,дискретные/континуальные,—
42,дополнительный процесс 22,Да,идентичность/границы,принцип нейропластичности,дискретные/континуальные,—
43,дополнительный процесс 23,Нет,память/наследие,принцип осознанности,необходимые/возможные,—
44,дополнительный процесс 24,Нет,память/наследие,принцип ответственности,индивидуальные/коллективные,—
45,дополнительный процесс 25,Да,нормы,принцип партнерства,мгновенные/постепенные,—
46,дополнительный процесс 26,Условно,экономика/обмен,принцип развития,дискретные/континуальные,—
47,дополнительный процесс 27,Нет,технология/инфраструктура,принцип ответственности,явные/латентные,—
48,дополнительный процесс 28,Да,поведение,принцип развития,эндогенные/экзогенные,—
49,дополнительный процесс 29,Условно,состояние,принцип ответственности,явные/латентные,—
50,дополнительный процесс 30,Да,структура,принцип нейропластичности,эндогенные/экзогенные,—
