№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,обнаружение ограничивающих стереотипов,Нет,институты,принцип нейропластичности,мгновенные/постепенные,—
2,изменение установок,Да,пространство,принцип эмпатии,необходимые/возможные,—
3,перепрограммирование убеждений,Условно,отношения,принцип партнерства,индивидуальные/коллективные,—
4,глубокая работа с ценностями,Условно,институты,принцип системности,институциональные/неформальные,—
5,формирование новых навыков,Нет,технология/инфраструктура,принцип эмпатии,явные/латентные,—
6,переосмысление идентичности,Да,состояние,принцип системности,эндогенные/экзогенные,—
7,проработка внутренних конфликтов,Нет,состояние,принцип развития,институциональные/неформальные,—
8,освобождение от страха,Условно,экономика/обмен,принцип партнерства,явные/латентные,—
9,выход из зоны комфорта,Да,нормы,принцип партнерства,индивидуальные/коллективные,—
10,создание вдохновляющего видения,Условно,структура,принцип партнерства,цикличные/каскадные,—
11,развитие осознанности,Условно,символы,принцип нейропластичности,институциональные/неформальные,—
12,интеграция нового опыта,Условно,тело/материя,принцип эмпатии,эндогенные/экзогенные,—
13,формирование новых привычек,Нет,отношения,принцип осознанности,необходимые/возможные,—
14,принятие изменений,Да,нормы,принцип ответственности,эндогенные/экзогенные,—
15,развитие уверенности,Да,содержание,принцип развития,эндогенные/экзогенные,—
16,создание поддерживающей среды,Да,память/наследие,принцип развития,явные/латентные,—
17,переоценка жизненного пути,Да,идентичность/границы,принцип развития,необходимые/возможные,—
18,проработка травматичного опыта,Условно,технология/инфраструктура,принцип системности,цикличные/каскадные,—
19,формирование внутренней мотивации,Нет,содержание,принцип развития,институциональные/неформальные,—
20,ориентация на долгосрочный успех,Нет,содержание,принцип партнерства,институциональные/неформальные,—
21,дополнительный процесс 1,Нет,символы,принцип нейропластичности,дискретные/континуальные,—
22,дополнительный процесс 2,Нет,символы,принцип системности,необходимые/возможные,—
23,дополнительный процесс 3,Условно,нормы,принцип ответственности,дискретные/континуальные,—
24,дополнительный процесс 4,Нет,пространство,принцип эмпатии,необходимые/возможные,—
25,дополнительный процесс 5,Да,структура,принцип нейропластичности,необходимые/возможные,—
26,дополнительный процесс 6,Условно,идентичность/границы,принцип системности,мгновенные/постепенные,—
27,дополнительный процесс 7,Условно,тело/материя,принцип развития,институциональные/неформальные,—
28,дополнительный процесс 8,Нет,экономика/обмен,принцип системности,индивидуальные/коллективные,—
29,дополнительный процесс 9,Нет,содержание,принцип нейропластичности,институциональные/неформальные,—
30,дополнительный процесс 10,Условно,отношения,принцип системности,мгновенные/постепенные,—
31,дополнительный процесс 11,Да,пространство,принцип осознанности,дискретные/континуальные,—
32,дополнительный процесс 12,Да,институты,принцип развития,явные/латентные,—
33,дополнительный процесс 13,Да,институты,принцип развития,цикличные/каскадные,—
34,дополнительный процесс 14,Условно,функция,принцип нейропластичности,индивидуальные/коллективные,—
35,дополнительный процесс 15,Условно,время/ритм,принцип эмпатии,институциональные/неформальные,—
36,дополнительный процесс 16,Да,символы,принцип эмпатии,дискретные/континуальные,—
37,дополнительный процесс 17,Условно,нормы,принцип системности,институциональные/неформальные,—
38,дополнительный процесс 18,Условно,тело/материя,принцип ответственности,явные/латентные,—
39,дополнительный процесс 19,Нет,состояние,принцип осознанности,институциональные/неформальные,—
40,дополнительный процесс 20,Условно,идентичность/границы,принцип партнерства,мгновенные/постепенные,—
41,дополнительный процесс 21,Нет,институты,принцип развития,дискретные/континуальные,—
42,дополнительный процесс 22,Условно,время/ритм,принцип эмпатии,дискретные/континуальные,—
43,дополнительный процесс 23,Да,функция,принцип осознанности,эндогенные/экзогенные,—
44,дополнительный процесс 24,Да,экономика/обмен,принцип партнерства,индивидуальные/коллективные,—
45,дополнительный процесс 25,Да,тело/материя,принцип эмпатии,дискретные/континуальные,—
46,дополнительный процесс 26,Да,память/наследие,принцип развития,эндогенные/экзогенные,—
47,дополнительный процесс 27,Нет,значения,принцип системности,эндогенные/экзогенные,—
48,дополнительный процесс 28,Условно,содержание,принцип развития,цикличные/каскадные,—
49,дополнительный процесс 29,Да,состояние,принцип нейропластичности,необходимые/возможные,—
50,дополнительный процесс 30,Нет,тело/материя,принцип осознанности,необходимые/возможные,—
