№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Осознание шагов при ходьбе,Условно,эмоции,принцип осознанности,"необходимые, явные",Аналоги существуют
2,Соединение дыхания и движения,Да,технология/инфраструктура,принцип осознанности,"континуальные, латентные",Уникальный
3,Медленные растяжки,Да,память/наследие,принцип осознанности,"постепенные, мгновенные",Аналоги существуют
4,Практика йоги как медитации,Условно,тело/материя,принцип сострадания,"цикличные, латентные",Уникальный
5,Круговые движения рук,Нет,функция,принцип сострадания,"коллективные, явные",Аналоги существуют
6,Исполнение цигун,Нет,память/наследие,принцип пустоты,"цикличные, индивидуальные",Уникальный
7,Тай-чи формы,Нет,экономика/обмен,принцип самонаблюдения,"неформальные, необходимые",Уникальный
8,Осознанная ходьба в природе,Да,время/ритм,принцип осознанности,"возможные, мгновенные",Аналоги существуют
9,Танцевальная медитация,Да,пространство,принцип присутствия,"явные, мгновенные",Уникальный
10,Осознанное мытье посуды,Нет,дискурс,принцип нравственности,"цикличные, явные",Аналоги существуют
11,Плавные повороты головы,Нет,память/наследие,принцип сосредоточенности,"возможные, институциональные",Уникальный
12,Ритмичное покачивание,Да,внимание,принцип равновесия,"неформальные, возможные",Аналоги существуют
13,Сканирование тела в движении,Да,институты,принцип присутствия,"латентные, индивидуальные",Уникальный
14,Фокусировка на ощущениях стоп,Условно,внимание,принцип нравственности,"мгновенные, континуальные",Уникальный
15,Слушание музыки и движение,Нет,состояние,принцип сострадания,"дискретные, экзогенные",Уникальный
16,Синхронизация дыхания и шагов,Условно,функция,принцип нравственности,"необходимые, мгновенные",Уникальный
17,Наблюдение за балансом тела,Нет,тело/материя,принцип присутствия,"неформальные, индивидуальные",Уникальный
18,Медленное поднятие и опускание рук,Условно,содержание,принцип сострадания,"явные, необходимые",Аналоги существуют
19,Осознанная работа в саду,Условно,состояние,принцип осознанности,"эндогенные, континуальные",Уникальный
20,Катание на велосипеде с вниманием,Условно,функция,принцип равновесия,"мгновенные, возможные",Уникальный
21,Объятия деревьев,Да,значения,принцип пустоты,"неформальные, экзогенные",Аналоги существуют
22,Наблюдение изменения веса на стопах,Да,структура,принцип присутствия,"дискретные, индивидуальные",Аналоги существуют
23,Медленное приседание,Да,функция,принцип пустоты,"неформальные, латентные",Уникальный
24,Ритмичное дыхание,Условно,идентичность/границы,принцип присутствия,"континуальные, мгновенные",Аналоги существуют
25,Упражнения на координацию,Условно,экономика/обмен,принцип равновесия,"институциональные, мгновенные",Аналоги существуют
26,Хождение по лабиринту,Нет,поведение,принцип присутствия,"институциональные, неформальные",Аналоги существуют
27,Наблюдение за ветром на коже,Условно,структура,принцип нравственности,"явные, латентные",Уникальный
28,Практика взглядом вперёд,Нет,функция,принцип нейрофидбек,"эндогенные, мгновенные",Аналоги существуют
29,Использование метронома для ритма,Нет,нормы,принцип сострадания,"каскадные, институциональные",Уникальный
30,Создание собственных движений,Условно,сознание,принцип нравственности,"необходимые, дискретные",Уникальный
31,Совмещение движения с песнопением,Нет,поведение,принцип непостоянства,"явные, дискретные",Уникальный
32,Умышленная замедленность,Условно,внимание,принцип нейрофидбек,"каскадные, мгновенные",Аналоги существуют
33,Смена темпа,Нет,поведение,принцип сострадания,"неформальные, институциональные",Аналоги существуют
34,Медленное вращение туловища,Нет,технология/инфраструктура,принцип сосредоточенности,"дискретные, явные",Уникальный
35,Осознание тишины между движениями,Условно,значения,принцип сосредоточенности,"каскадные, явные",Аналоги существуют
36,Сочетание дыхательных упражнений,Да,время/ритм,принцип осознанности,"цикличные, мгновенные",Аналоги существуют
37,Состояние потока при беге,Да,память/наследие,принцип осознанности,"эндогенные, экзогенные",Уникальный
38,Осознанная походка босиком,Условно,состояние,принцип нравственности,"экзогенные, эндогенные",Аналоги существуют
39,Наблюдение за мышечным напряжением,Условно,технология/инфраструктура,принцип равновесия,"институциональные, коллективные",Уникальный
40,Удержание внимания на настоящем моменте,Условно,функция,принцип нейрофидбек,"институциональные, неформальные",Уникальный
