№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Подключение EEG датчиков,Нет,символы,принцип нейрофидбек,"возможные, каскадные",Аналоги существуют
2,Регистрация базовой активности,Нет,значения,принцип нравственности,"каскадные, индивидуальные",Аналоги существуют
3,Получение аудиофидбека,Условно,институты,принцип присутствия,"цикличные, возможные",Уникальный
4,Получение визуального фидбека,Условно,идентичность/границы,принцип пустоты,"неформальные, возможные",Уникальный
5,Наблюдение мозговых волн,Да,структура,принцип нравственности,"индивидуальные, явные",Аналоги существуют
6,Регулирование дыхания,Нет,функция,принцип нравственности,"необходимые, экзогенные",Уникальный
7,Фокусирование внимания для изменения сигнала,Да,дискурс,принцип сосредоточенности,"каскадные, неформальные",Уникальный
8,Оценка изменений в режиме реального времени,Нет,идентичность/границы,принцип равновесия,"постепенные, индивидуальные",Аналоги существуют
9,Снижение напряжения,Да,значения,принцип пустоты,"неформальные, постепенные",Уникальный
10,Коррекция позы для улучшения сигнала,Условно,технология/инфраструктура,принцип сосредоточенности,"коллективные, экзогенные",Аналоги существуют
11,Запись данных сессии,Нет,символы,принцип самонаблюдения,"эндогенные, коллективные",Уникальный
12,Обратная связь от специалиста,Да,внимание,принцип нравственности,"постепенные, институциональные",Уникальный
13,Настройка параметров протокола,Условно,дискурс,принцип самонаблюдения,"каскадные, эндогенные",Уникальный
14,Сравнение с эталонной картой мозга,Нет,содержание,принцип присутствия,"дискретные, экзогенные",Аналоги существуют
15,Игра с использованием мозгового сигнала,Условно,структура,принцип самонаблюдения,"дискретные, каскадные",Аналоги существуют
16,Управление громкостью звука,Да,дискурс,принцип равновесия,"коллективные, возможные",Аналоги существуют
17,Отслеживание прогресса,Нет,внимание,принцип нравственности,"возможные, необходимые",Аналоги существуют
18,Медитативная концентрация,Условно,ум/сознание,принцип осознанности,"эндогенные, дискретные",Уникальный
19,Регулярные сеансы,Да,функция,принцип нейрофидбек,"неформальные, необходимые",Уникальный
20,Использование приложения для контроля,Условно,технология/инфраструктура,принцип присутствия,"экзогенные, институциональные",Аналоги существуют
21,Регулирование эмоционального состояния,Да,отношения,принцип пустоты,"континуальные, латентные",Уникальный
22,Разработка навыка саморегуляции,Да,память/наследие,принцип нейрофидбек,"мгновенные, цикличные",Уникальный
23,Контроль внешних артефактов,Да,технология/инфраструктура,принцип самонаблюдения,"постепенные, экзогенные",Уникальный
24,Переход к более сложным протоколам,Да,экономика/обмен,принцип нейрофидбек,"постепенные, континуальные",Уникальный
25,Совмещение с традиционной медитацией,Да,нормы,принцип присутствия,"дискретные, эндогенные",Уникальный
26,Отдых между сессиями,Да,состояние,принцип нейрофидбек,"институциональные, явные",Уникальный
27,Сохранение журнала,Условно,нормы,принцип непостоянства,"необходимые, коллективные",Уникальный
28,Выбор музыки для обратной связи,Нет,отношения,принцип равновесия,"институциональные, каскадные",Аналоги существуют
29,Контроль длительности сессии,Да,эмоции,принцип сосредоточенности,"латентные, возможные",Аналоги существуют
30,Настройка чувствительности устройства,Нет,пространство,принцип нейрофидбек,"неформальные, возможные",Уникальный
31,Синхронизация с дыханием,Условно,экономика/обмен,принцип самонаблюдения,"необходимые, коллективные",Уникальный
32,Наблюдение за альфа и тета диапазонами,Да,дискурс,принцип нейрофидбек,"институциональные, эндогенные",Уникальный
33,Минимизация движений,Нет,символы,принцип непостоянства,"цикличные, индивидуальные",Уникальный
34,Регулирование внимания на цель,Нет,значения,принцип нравственности,"дискретные, коллективные",Уникальный
35,Использование сигналов для предотвращения отвлечения,Да,институты,принцип нравственности,"возможные, цикличные",Аналоги существуют
36,Анализ результатов,Нет,эмоции,принцип сострадания,"необходимые, коллективные",Аналоги существуют
37,Постановка целей,Условно,идентичность/границы,принцип нравственности,"институциональные, экзогенные",Аналоги существуют
38,Обучение у сертифицированного специалиста,Нет,экономика/обмен,принцип сосредоточенности,"экзогенные, необходимые",Уникальный
39,Тестирование новых устройств,Да,время/ритм,принцип равновесия,"постепенные, индивидуальные",Уникальный
