№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Наблюдение дыхания в ноздрях,Условно,память/наследие,принцип непостоянства,"дискретные, латентные",Уникальный
2,Наблюдение телесных ощущений,Условно,внимание,принцип нравственности,"эндогенные, экзогенные",Уникальный
3,Пошаговое сканирование тела,Условно,отношения,принцип присутствия,"явные, постепенные",Аналоги существуют
4,Развитие невозмутимости,Да,значения,принцип нейрофидбек,"постепенные, дискретные",Уникальный
5,Осознавание возникающих и проходящих ощущений,Да,экономика/обмен,принцип осознанности,"неформальные, дискретные",Уникальный
6,Соблюдение нравственных предписаний,Условно,внимание,принцип пустоты,"цикличные, возможные",Уникальный
7,Практика анапанасати (осознанное дыхание),Нет,отношения,принцип непостоянства,"институциональные, неформальные",Аналоги существуют
8,Понимание непостоянства (аничча),Нет,функция,принцип нейрофидбек,"коллективные, цикличные",Аналоги существуют
9,Наблюдение желания и отвращения,Да,дискурс,принцип нейрофидбек,"каскадные, цикличные",Аналоги существуют
10,Принятие молчания (благородное молчание),Нет,сознание,принцип нравственности,"мгновенные, необходимые",Аналоги существуют
11,Наблюдение мыслительных процессов,Да,нормы,принцип сосредоточенности,"эндогенные, континуальные",Уникальный
12,Развитие любящей доброты в конце сессии,Условно,отношения,принцип самонаблюдения,"индивидуальные, явные",Аналоги существуют
13,Поддержание прямой осанки,Условно,функция,принцип осознанности,"возможные, латентные",Аналоги существуют
14,Закрытие глаз во время практики,Нет,технология/инфраструктура,принцип осознанности,"неформальные, эндогенные",Уникальный
15,Наблюдение взаимосвязи тела и ума,Да,ум/сознание,принцип присутствия,"постепенные, явные",Уникальный
16,Наблюдение сенсорных ощущений в последовательности,Нет,ум/сознание,принцип равновесия,"коллективные, явные",Аналоги существуют
17,Осознавание чувств,Нет,институты,принцип непостоянства,"индивидуальные, необходимые",Аналоги существуют
18,Принятие физического дискомфорта,Условно,отношения,принцип осознанности,"институциональные, латентные",Аналоги существуют
19,Перерывы между сеансами,Условно,идентичность/границы,принцип пустоты,"эндогенные, коллективные",Уникальный
20,Наблюдение ментальных загрязнений,Да,экономика/обмен,принцип присутствия,"континуальные, цикличные",Аналоги существуют
21,Продолжительная практика,Нет,тело/материя,принцип самонаблюдения,"коллективные, дискретные",Аналоги существуют
22,Обратная связь без реагирования,Да,символы,принцип непостоянства,"неформальные, мгновенные",Уникальный
23,Отказ от коммерциализации практики,Нет,сознание,принцип присутствия,"латентные, каскадные",Уникальный
24,Десятидневный ретрит,Нет,экономика/обмен,принцип осознанности,"эндогенные, индивидуальные",Уникальный
25,Соблюдение дисциплины курса,Нет,символы,принцип присутствия,"каскадные, коллективные",Аналоги существуют
26,Развитие внимательности,Условно,содержание,принцип сострадания,"неформальные, возможные",Аналоги существуют
27,Отсутствие ожиданий,Нет,тело/материя,принцип равновесия,"дискретные, континуальные",Уникальный
28,Свободное донорство,Условно,время/ритм,принцип присутствия,"возможные, явные",Уникальный
29,Наблюдение голоса в голове,Да,поведение,принцип равновесия,"необходимые, явные",Аналоги существуют
30,Возвращение к объекту внимания,Условно,эмоции,принцип нравственности,"дискретные, цикличные",Уникальный
31,Осознание причин страдания,Условно,поведение,принцип равновесия,"эндогенные, мгновенные",Аналоги существуют
32,Прощение себя и других,Условно,идентичность/границы,принцип пустоты,"индивидуальные, экзогенные",Аналоги существуют
33,Деление опыта с другими,Условно,функция,принцип нравственности,"дискретные, необходимые",Уникальный
34,Поддержка ежедневной практики,Нет,институты,принцип самонаблюдения,"экзогенные, постепенные",Уникальный
35,Развитие терпения,Нет,структура,принцип нейрофидбек,"явные, необходимые",Аналоги существуют
36,Наблюдение смены эмоций,Нет,поведение,принцип непостоянства,"постепенные, каскадные",Уникальный
37,Проверка прогресса через самоанализ,Нет,символы,принцип нравственности,"континуальные, экзогенные",Аналоги существуют
38,Освобождение от привязанностей,Нет,институты,принцип сострадания,"континуальные, экзогенные",Аналоги существуют
39,Применение практики в быту,Условно,содержание,принцип самонаблюдения,"континуальные, латентные",Аналоги существуют
