№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение доминирующей доши,Да,идентичность/границы,эвристика,индивидуальные/неформальные,уникален в аюрведе
2,Балансировка доши (вата, питта, капха),Условно,состояние,закон,индивидуальные/коллективные,аналоги в TCM
3,Назначение пракрити-диеты,Да,содержание,эвристика,индивидуальные/постепенные,уникален
4,Детоксикация через панчакарму,Нет,тело/материя,закон,цикличные/институциональные,уникален
5,Применение масла для абхьянга,Да,тело/материя,эвристика,индивидуальные/мгновенные,аналоги в SPA
6,Широдхара (масляное орошение головы),Условно,состояние,эвристика,индивидуальные/дискретные,уникален
7,Аюрведическая диагностика пульса,Да,идентичность/границы,эвристика,индивидуальные/неформальные,аналоги в TCM
8,Регуляция агни (пищеварительного огня),Условно,функция,закон,индивидуальные/постепенные,уникален
9,Очищение через васти (клизмы),Нет,тело/материя,закон,индивидуальные/институциональные,аналоги в натуропатии
10,Введение травяных отваров (кашайям),Да,содержание,эвристика,индивидуальные/постепенные,уникален
11,Применение порошков (чурна),Да,тело/материя,эвристика,индивидуальные/мгновенные,уникален
12,Употребление гхи (топлёного масла),Да,содержание,эвристика,индивидуальные/постепенные,аналоги в диетологии
13,Использование расаяна (омолаживающих средств),Условно,состояние,эвристика,индивидуальные/постепенные,уникален
14,Медитация для балансировки дош,Да,состояние,эвристика,индивидуальные/коллективные,аналоги в йоге
15,Пранаяма как коррекция праны,Да,функция,закон,индивидуальные/дискретные,аналоги в йоге
16,Травяные компрессы (поттали),Да,тело/материя,эвристика,индивидуальные/дискретные,уникален
17,Применение насья (капли в нос),Условно,тело/материя,закон,индивидуальные/мгновенные,уникален
18,Регуляция сна (ритучарья),Да,время/ритм,эвристика,индивидуальные/цикличные,аналоги в психогигиене
19,Следование сезонным режимам (ритучарья),Да,время/ритм,закон,индивидуальные/цикличные,уникален
20,Следование суточным режимам (динучарья),Да,время/ритм,закон,индивидуальные/цикличные,уникален
21,Приём аюрведических минеральных смесей (бхасма),Условно,тело/материя,эвристика,индивидуальные/дискретные,уникален
22,Установление режима поста,Да,содержание,закон,индивидуальные/цикличные,аналоги в религиозных практиках
23,Терапия через мантры,Да,дискурс,эвристика,индивидуальные/коллективные,аналоги в ведической традиции
24,Введение ароматерапии (дханвантери масла),Да,состояние,эвристика,индивидуальные/дискретные,аналоги в натуропатии
25,Аюрведическая йога-терапия,Да,поведение,эвристика,индивидуальные/коллективные,аналоги в йога-терапии
26,Регуляция сексуальной энергии (брахмачарья),Условно,идентичность/границы,закон,индивидуальные/цикличные,аналоги в йоге
27,Применение ритуальных очищений (снадхана),Нет,символы,эвристика,индивидуальные/институциональные,аналоги в религии
