№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Спинальная манипуляция (adjustment),Да,структура,эвристика,индивидуальные/дискретные,уникален
2,Коррекция подвывихов позвонков (subluxation),Да,структура,эвристика,индивидуальные/дискретные,уникален
3,Регуляция нервной проводимости через позвоночник,Да,функция,эвристика,индивидуальные/дискретные,уникален
4,Мобилизация суставов конечностей,Да,структура,эвристика,индивидуальные/дискретные,универсален
5,Диагностика смещений позвоночника,Да,структура,эвристика,индивидуальные/дискретные,универсален
6,Регуляция биомеханики позвоночника,Да,структура,эвристика,индивидуальные/постепенные,уникален
7,Техника «high-velocity low-amplitude thrust» (HVLA),Да,структура,закон,индивидуальные/дискретные,уникален
8,Коррекция смещения таза,Да,структура,эвристика,индивидуальные/дискретные,универсален
9,Восстановление осанки через манипуляции,Да,структура,эвристика,индивидуальные/постепенные,универсален
10,Работа с межпозвоночными суставами,Да,структура,эвристика,индивидуальные/дискретные,универсален
11,Диагностика блоков в позвоночнике,Да,структура,эвристика,индивидуальные/дискретные,универсален
12,Регуляция движений шейных позвонков,Да,структура,эвристика,индивидуальные/дискретные,универсален
13,Манипуляции с грудным отделом позвоночника,Да,структура,эвристика,индивидуальные/дискретные,универсален
14,Коррекция поясничного отдела,Да,структура,эвристика,индивидуальные/дискретные,универсален
15,Восстановление подвижности крестца,Да,структура,эвристика,индивидуальные/дискретные,уникален
16,Диагностика постуральных дисбалансов,Да,структура,эвристика,индивидуальные/дискретные,универсален
17,Регуляция функций нервной системы через манипуляции,Да,функция,эвристика,индивидуальные/дискретные,уникален
18,Манипуляции с рёбрами,Да,структура,эвристика,индивидуальные/дискретные,универсален
19,Коррекция подвижности таза,Да,структура,эвристика,индивидуальные/дискретные,универсален
20,Диагностика асимметрий позвоночника,Да,структура,эвристика,индивидуальные/дискретные,универсален
21,Регуляция двигательных функций конечностей,Да,функция,эвристика,индивидуальные/дискретные,универсален
22,Спинальная декомпрессия,Да,структура,закон,индивидуальные/постепенные,уникален
23,Коррекция сколиотических искривлений,Условно,структура,эвристика,индивидуальные/постепенные,универсален
24,Диагностика подвижности суставов,Да,структура,эвристика,индивидуальные/дискретные,универсален
25,Регуляция кровообращения через спинальные техники,Да,функция,эвристика,индивидуальные/дискретные,универсален
26,Манипуляции с височно-нижнечелюстным суставом,Да,структура,эвристика,индивидуальные/дискретные,аналоги в стоматологии
27,Коррекция кифоза манипуляциями,Условно,структура,эвристика,индивидуальные/постепенные,универсален
28,Диагностика блоков шейного отдела,Да,структура,эвристика,индивидуальные/дискретные,универсален
29,Регуляция дыхательных функций через позвоночник,Да,функция,эвристика,индивидуальные/дискретные,универсален
30,Работа с крестцово-подвздошным суставом,Да,структура,эвристика,индивидуальные/дискретные,универсален
31,Манипуляции с коленным суставом,Да,структура,эвристика,индивидуальные/дискретные,универсален
32,Коррекция подвижности голеностопа,Да,структура,эвристика,индивидуальные/дискретные,универсален
33,Диагностика биомеханических нарушений,Да,структура,эвристика,индивидуальные/дискретные,универсален
34,Регуляция ликвородинамики через позвоночник,Да,функция,эвристика,индивидуальные/цикличные,уникален
35,Манипуляции с плечевым суставом,Да,структура,эвристика,индивидуальные/дискретные,универсален
36,Коррекция смещений позвонков при травмах,Да,структура,эвристика,индивидуальные/дискретные,уникален
37,Восстановление гибкости позвоночника,Да,структура,эвристика,индивидуальные/постепенные,универсален
38,Диагностика функциональных блоков таза,Да,структура,эвристика,индивидуальные/дискретные,универсален
