№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Использование фитотерапии,Да,содержание,эвристика,индивидуальные/постепенные,аналоги в ТКМ
2,Применение витаминной терапии,Да,функция,закон,индивидуальные/постепенные,уникален
3,Употребление минеральных добавок,Да,тело/материя,эвристика,индивидуальные/постепенные,универсален
4,Применение гидротерапии (контрастные души),Да,тело/материя,закон,индивидуальные/цикличные,уникален
5,Терапия солнечным светом (гелиотерапия),Да,состояние,закон,индивидуальные/цикличные,аналоги в физиотерапии
6,Применение свежего воздуха (аэроионотерапия),Да,состояние,эвристика,индивидуальные/цикличные,уникален
7,Соблюдение здорового питания,Да,содержание,закон,индивидуальные/цикличные,универсален
8,Применение лечебного голодания,Условно,функция,закон,индивидуальные/цикличные,аналоги в аюрведе
9,Использование ароматерапии,Да,состояние,эвристика,индивидуальные/дискретные,аналоги в энергетической медицине
10,Применение рефлексотерапии,Да,тело/материя,эвристика,индивидуальные/дискретные,универсален
11,Терапия грязями (пелоидотерапия),Да,тело/материя,эвристика,индивидуальные/дискретные,аналоги в SPA
12,Применение климатотерапии,Да,состояние,закон,индивидуальные/цикличные,уникален
13,Регуляция сна естественными методами,Да,состояние,эвристика,индивидуальные/цикличные,универсален
14,Использование медитации для релаксации,Да,состояние,эвристика,индивидуальные/цикличные,аналоги в йоге
15,Применение дыхательных упражнений,Да,функция,эвристика,индивидуальные/цикличные,универсален
16,Применение закаливания,Да,функция,закон,индивидуальные/цикличные,уникален
17,Использование лечебных ванн,Да,тело/материя,эвристика,индивидуальные/дискретные,аналоги в физиотерапии
18,Применение фитоаппликаций,Да,тело/материя,эвристика,индивидуальные/дискретные,уникален
19,Терапия через физическую активность,Да,поведение,закон,индивидуальные/цикличные,универсален
20,Применение остеопатических техник,Да,структура,эвристика,индивидуальные/дискретные,аналоги в остеопатии
21,Применение мануальных техник,Да,тело/материя,эвристика,индивидуальные/дискретные,аналоги в хиропрактике
22,Использование home remedies (народные средства),Да,содержание,эвристика,индивидуальные/дискретные,уникален
