№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Диагностика ограничений подвижности суставов,Да,структура,эвристика,индивидуальные/дискретные,уникален
2,Пальпация тканей для выявления напряжений,Да,тело/материя,эвристика,индивидуальные/дискретные,уникален
3,Коррекция суставных дисфункций,Да,структура,эвристика,индивидуальные/дискретные,аналоги в мануальной терапии
4,Мягкая мобилизация позвонков,Да,структура,эвристика,индивидуальные/дискретные,уникален
5,Нормализация тонуса мышц через растяжение,Да,функция,эвристика,индивидуальные/дискретные,универсален
6,Техника «индиректного подхода»,Да,структура,эвристика,индивидуальные/дискретные,уникален
7,Работа с фасциями (фасциальный релиз),Да,структура,эвристика,индивидуальные/постепенные,уникален
8,Краниосакральная коррекция,Да,структура,эвристика,индивидуальные/цикличные,уникален
9,Балансировка черепных швов,Да,структура,эвристика,индивидуальные/дискретные,уникален
10,Регуляция циркуляции жидкости (венозный дренаж),Да,функция,эвристика,индивидуальные/постепенные,уникален
11,Техника «мышечно-энергетическая коррекция»,Да,функция,эвристика,индивидуальные/дискретные,аналоги в физиотерапии
12,Коррекция диафрагмы,Да,структура,эвристика,индивидуальные/дискретные,уникален
13,Мягкая тракция позвоночника,Да,структура,эвристика,индивидуальные/дискретные,универсален
14,Работа с висцеральными органами (висцеральная остеопатия),Да,функция,эвристика,индивидуальные/постепенные,уникален
15,Диагностика краниального ритма,Да,состояние,эвристика,индивидуальные/дискретные,уникален
16,Нормализация краниосакрального ритма,Да,состояние,эвристика,индивидуальные/цикличные,уникален
17,Техника «баланс напряжений связок»,Да,структура,эвристика,индивидуальные/дискретные,уникален
18,Регуляция лимфатического оттока,Да,функция,эвристика,индивидуальные/цикличные,универсален
19,Восстановление осанки через мягкие техники,Да,структура,эвристика,индивидуальные/постепенные,аналоги в физиотерапии
20,Диагностика асимметрии таза,Да,структура,эвристика,индивидуальные/дискретные,уникален
21,Коррекция крестцово-подвздошного сочленения,Да,структура,эвристика,индивидуальные/дискретные,уникален
22,Техника «стил-пойнт» (остановка ритма),Да,состояние,эвристика,индивидуальные/цикличные,уникален
23,Регуляция дыхательной подвижности рёбер,Да,структура,эвристика,индивидуальные/цикличные,уникален
24,Мягкая коррекция костей таза,Да,структура,эвристика,индивидуальные/дискретные,универсален
25,Оценка и коррекция походки,Да,поведение,эвристика,индивидуальные/цикличные,универсален
26,Работа с затылочной костью,Да,структура,эвристика,индивидуальные/дискретные,уникален
27,Техника «баланс мембран напряжения»,Да,структура,эвристика,индивидуальные/дискретные,уникален
28,Коррекция челюстного сустава,Да,структура,эвристика,индивидуальные/дискретные,аналоги в стоматологии
29,Нормализация тонуса диафрагмы таза,Да,структура,эвристика,индивидуальные/дискретные,уникален
30,Диагностика напряжений в шейном отделе,Да,структура,эвристика,индивидуальные/дискретные,универсален
31,Мобилизация плечевого пояса,Да,структура,эвристика,индивидуальные/дискретные,универсален
32,Работа с психосоматическими паттернами через тело,Да,идентичность/границы,эвристика,индивидуальные/постепенные,аналоги в телесной терапии
33,Регуляция височной кости,Да,структура,эвристика,индивидуальные/дискретные,уникален
34,Техника «висцерального дренажа»,Да,функция,эвристика,индивидуальные/цикличные,уникален
35,Мягкая мобилизация стопы,Да,структура,эвристика,индивидуальные/дискретные,универсален
36,Восстановление подвижности черепа после травм,Да,структура,эвристика,индивидуальные/постепенные,уникален
37,Регуляция давления спинномозговой жидкости,Да,функция,эвристика,индивидуальные/цикличные,уникален
38,Техника «мягких тканей»,Да,структура,эвристика,индивидуальные/дискретные,универсален
39,Работа с напряжением в брюшной полости,Да,структура,эвристика,индивидуальные/дискретные,уникален
40,Коррекция ротационных дисфункций позвоночника,Да,структура,эвристика,индивидуальные/дискретные,уникален
41,Диагностика асимметрий черепа,Да,структура,эвристика,индивидуальные/дискретные,уникален
42,Регуляция венозного оттока головы,Да,функция,эвристика,индивидуальные/цикличные,уникален
43,Мягкая коррекция верхних конечностей,Да,структура,эвристика,индивидуальные/дискретные,универсален
44,Работа с крестцово-копчиковым сочленением,Да,структура,эвристика,индивидуальные/дискретные,уникален
45,Техника «релиза напряжений» (tissue release),Да,структура,эвристика,индивидуальные/дискретные,универсален
46,Восстановление дыхательных ритмов,Да,функция,эвристика,индивидуальные/цикличные,универсален
47,Коррекция грудного отдела позвоночника,Да,структура,эвристика,индивидуальные/дискретные,универсален
48,Диагностика функциональных блоков таза,Да,структура,эвристика,индивидуальные/дискретные,уникален
49,Техника «позиционного релиза»,Да,структура,эвристика,индивидуальные/дискретные,уникален
50,Регуляция осевого напряжения позвоночника,Да,структура,эвристика,индивидуальные/цикличные,уникален
51,Работа с краниобазисом,Да,структура,эвристика,индивидуальные/дискретные,уникален
52,Мобилизация локтевого сустава,Да,структура,эвристика,индивидуальные/дискретные,универсален
53,Коррекция плоскостопия мягкими техниками,Да,структура,эвристика,индивидуальные/постепенные,уникален
54,Диагностика ограничений фасций,Да,структура,эвристика,индивидуальные/дискретные,уникален
55,Регуляция сосудистого тонуса через остеопатию,Да,функция,эвристика,индивидуальные/цикличные,уникален
56,Техника «соматического баланса»,Да,структура,эвристика,индивидуальные/дискретные,уникален
57,Работа с дыхательной синхронизацией,Да,функция,эвристика,индивидуальные/цикличные,универсален
58,Мягкая мобилизация коленного сустава,Да,структура,эвристика,индивидуальные/дискретные,универсален
59,Оценка ритмов сердца через остеопатию,Да,функция,эвристика,индивидуальные/цикличные,уникален
60,Коррекция постурального баланса,Да,структура,эвристика,индивидуальные/постепенные,универсален
61,Диагностика напряжений в грудной клетке,Да,структура,эвристика,индивидуальные/дискретные,уникален
62,Работа с подвижностью крестца,Да,структура,эвристика,индивидуальные/дискретные,уникален
63,Регуляция дыхательной диафрагмы,Да,структура,эвристика,индивидуальные/цикличные,универсален
64,Техника «лигового баланса» (ligament balance),Да,структура,эвристика,индивидуальные/дискретные,уникален
65,Мобилизация таза при родовых травмах,Да,структура,эвристика,индивидуальные/дискретные,уникален
66,Коррекция кранио-вертебральных соединений,Да,структура,эвристика,индивидуальные/дискретные,уникален
67,Диагностика дыхательных нарушений через грудную клетку,Да,функция,эвристика,индивидуальные/дискретные,универсален
68,Регуляция связочного аппарата позвоночника,Да,структура,эвристика,индивидуальные/дискретные,уникален
69,Работа с соматическими дисфункциями таза,Да,структура,эвристика,индивидуальные/дискретные,уникален
70,Коррекция нарушений походки у детей,Да,поведение,эвристика,индивидуальные/цикличные,уникален
71,Мобилизация суставов стопы,Да,структура,эвристика,индивидуальные/дискретные,универсален
72,Работа с дыхательной подвижностью черепа,Да,структура,эвристика,индивидуальные/цикличные,уникален
73,Техника «освобождения нервных путей»,Да,функция,эвристика,индивидуальные/дискретные,уникален
74,Коррекция ротации таза,Да,структура,эвристика,индивидуальные/дискретные,универсален
75,Диагностика постуральных асимметрий,Да,структура,эвристика,индивидуальные/дискретные,универсален
76,Регуляция ритмов дыхания и сердца,Да,функция,эвристика,индивидуальные/цикличные,уникален
77,Мобилизация грудного отдела,Да,структура,эвристика,индивидуальные/дискретные,универсален
78,Работа с шейно-затылочными соединениями,Да,структура,эвристика,индивидуальные/дискретные,уникален
79,Коррекция сколиотических деформаций мягкими техниками,Да,структура,эвристика,индивидуальные/постепенные,уникален
80,Техника «мягкого насоса» для лимфы,Да,функция,эвристика,индивидуальные/цикличные,уникален
81,Диагностика соматических дисфункций у новорождённых,Да,структура,эвристика,индивидуальные/дискретные,уникален
82,Коррекция краниальных дисфункций у детей,Да,структура,эвристика,индивидуальные/дискретные,уникален
83,Регуляция функций ЖКТ через висцеральную остеопатию,Да,функция,эвристика,индивидуальные/постепенные,уникален
84,Работа с грудобрюшной диафрагмой,Да,структура,эвристика,индивидуальные/цикличные,универсален
85,Мобилизация кисти,Да,структура,эвристика,индивидуальные/дискретные,универсален
86,Диагностика краниосакральных нарушений,Да,структура,эвристика,индивидуальные/дискретные,уникален
87,Коррекция давления в полости черепа,Да,структура,эвристика,индивидуальные/дискретные,уникален
88,Техника «височного релиза»,Да,структура,эвристика,индивидуальные/дискретные,уникален
89,Регуляция функций дыхания у младенцев,Да,функция,эвристика,индивидуальные/дискретные,уникален
90,Мобилизация голеностопного сустава,Да,структура,эвристика,индивидуальные/дискретные,универсален
91,Диагностика напряжений в крестце,Да,структура,эвристика,индивидуальные/дискретные,универсален
92,Регуляция циркуляции спинномозговой жидкости,Да,функция,эвристика,индивидуальные/цикличные,уникален
93,Работа с реберными дугами,Да,структура,эвристика,индивидуальные/дискретные,универсален
94,Коррекция функциональных нарушений таза у женщин,Да,структура,эвристика,индивидуальные/дискретные,уникален
95,Мобилизация позвонков шейного отдела,Да,структура,эвристика,индивидуальные/дискретные,универсален
96,Диагностика нарушений оси тела,Да,структура,эвристика,индивидуальные/дискретные,универсален
97,Регуляция черепно-мозговых мембран,Да,структура,эвристика,индивидуальные/дискретные,уникален
98,Техника «мягкой компрессии»,Да,структура,эвристика,индивидуальные/дискретные,универсален
99,Коррекция височно-нижнечелюстного сустава,Да,структура,эвристика,индивидуальные/дискретные,аналоги в стоматологии
100,Работа с ритмом ликвора,Да,состояние,эвристика,индивидуальные/цикличные,уникален
101,Диагностика соматических дисфункций позвоночника,Да,структура,эвристика,индивидуальные/дискретные,универсален
102,Регуляция симпатической нервной системы,Да,функция,эвристика,индивидуальные/цикличные,уникален
103,Мобилизация ключицы,Да,структура,эвристика,индивидуальные/дискретные,универсален
104,Коррекция кифотической деформации мягкими техниками,Да,структура,эвристика,индивидуальные/постепенные,уникален
105,Диагностика функциональной асимметрии конечностей,Да,структура,эвристика,индивидуальные/дискретные,универсален
106,Регуляция тонуса мышц лица,Да,функция,эвристика,индивидуальные/дискретные,уникален
107,Техника «висцерального баланса»,Да,функция,эвристика,индивидуальные/постепенные,уникален
108,Работа с затылочно-атлантным соединением,Да,структура,эвристика,индивидуальные/дискретные,уникален
109,Коррекция постурального дисбаланса у детей,Да,структура,эвристика,индивидуальные/постепенные,уникален
110,Мобилизация запястья,Да,структура,эвристика,индивидуальные/дискретные,универсален
111,Диагностика напряжений височных костей,Да,структура,эвристика,индивидуальные/дискретные,уникален
112,Регуляция тонуса мышц шеи,Да,функция,эвристика,индивидуальные/дискретные,универсален
113,Техника «пассивного растяжения»,Да,структура,эвристика,индивидуальные/дискретные,универсален
114,Коррекция таза при беременности,Да,структура,эвристика,индивидуальные/дискретные,уникален
115,Работа с грудной диафрагмой,Да,структура,эвристика,индивидуальные/цикличные,универсален
116,Диагностика соматических блоков стопы,Да,структура,эвристика,индивидуальные/дискретные,уникален
117,Регуляция функций парасимпатической системы,Да,функция,эвристика,индивидуальные/цикличные,уникален
118,Мобилизация позвоночника при болевом синдроме,Да,структура,эвристика,индивидуальные/дискретные,универсален
119,Коррекция рёберных сочленений,Да,структура,эвристика,индивидуальные/дискретные,универсален
120,Работа с тонусом жевательных мышц,Да,функция,эвристика,индивидуальные/дискретные,аналоги в стоматологии
121,Диагностика краниальных напряжений у новорождённых,Да,структура,эвристика,индивидуальные/дискретные,уникален
122,Регуляция подвижности костей черепа,Да,структура,эвристика,индивидуальные/постепенные,уникален
123,Техника «краниального насоса»,Да,структура,эвристика,индивидуальные/цикличные,уникален
124,Работа с подъязычной костью,Да,структура,эвристика,индивидуальные/дискретные,уникален
