№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Проводить лесные купания (shinrin‑yoku) для снижения стресса,Да,состояние,теория восстановления внимания,индивидуальные/постепенные,аналогично биофилии
2,Организовать терапию садоводством (community gardening),Да,идентичность/границы,эко‑социальная терапия,коллективные/постепенные,уникально для экотерапии
3,Проводить терапевтические прогулки в природных парках,Да,состояние,экопсихологическая модель,индивидуальные/дискретные,пересечение с физической активностью
4,"Использовать терапию с животными (контакт с лошадьми, собаками)",Да,поведение,биофилия,индивидуальные/неформальные,родственно биофилии
5,"Применять приключенческую терапию (походы, каньонинг)",Условно,идентичность/границы,концепция самоэффективности,коллективные/дискретные,аналогично тренингу выживания
6,Проводить плоггинг (сбор мусора во время пробежки),Да,поведение,социальная ответственность,коллективные/непрерывные,пересечение с устойчивым стилем жизни
7,Назначать прописанные визиты в парки (park prescriptions),Да,нормы,зеленая терапия,институциональные/дискретные,уникально для системы здравоохранения
8,Практиковать медитацию на природе (outdoor mindfulness),Да,состояние,майндфулнесс,индивидуальные/постепенные,связь с медитативными практиками
9,Использовать цифровые технологии для доступа к виртуальным природным ландшафтам,Условно,технология/инфраструктура,цифровая терапия,индивидуальные/экзогенные,пересечение с VR‑кинематографией
10,Проводить обучение устойчивым практикам через взаимодействие с природой,Условно,нормы,экологическое образование,коллективные/постепенные,пересечение с социальной экологией
11,Применять терапевтический ландшафтный дизайн (сады исцеления),Да,пространство,ландшафтная терапия,институциональные/постепенные,аналогично садовой терапии
12,Использовать фитнес‑терапию на открытом воздухе (тренировки на природе),Да,функция,принцип физической активности,индивидуальные/непрерывные,пересечение со спортивной наукой
13,"Проводить арт‑терапию с природными материалами (камни, листья)",Да,значения,арт‑терапевтический подход,индивидуальные/дискретные,аналогично арт‑терапии
14,Проводить экологическую психотерапию для лечения тревоги и депрессии,Условно,состояние,экопсихотерапия,индивидуальные/постепенные,уникально для психотерапии природы
15,Пропагандировать экологическое волонтёрство как терапевтическую активность,Да,отношения,общественная вовлеченность,коллективные/непрерывные,пересечение с гражданским активизмом
